target_column,train_size_,method,n_estimators,lr,tree_size,val_rmse
Dgv,475,TradaBoostR2,20,0.1,2,8.998167319394733
Dgv,475,TradaBoostR2,20,0.1,3,12.117342987270844
Dgv,475,TradaBoostR2,20,0.1,4,40.98244194619938
Dgv,475,TradaBoostR2,20,0.1,5,20.21063283110652
Dgv,475,TradaBoostR2,20,0.5,1,10.221824336881827
Dgv,475,TradaBoostR2,20,0.5,2,9.963926448919391
Dgv,475,TradaBoostR2,20,0.5,3,10.750937500632114
Dgv,475,TradaBoostR2,20,0.5,4,12.41307219220379
Dgv,475,TradaBoostR2,20,0.5,5,32.67999059069744
Dgv,475,TradaBoostR2,20,1.0,1,11.40337525616601
Dgv,475,TradaBoostR2,20,1.0,2,14.49443799344022
Dgv,475,TradaBoostR2,20,1.0,3,11.162141346715284
Dgv,475,TradaBoostR2,20,1.0,4,15.827855580106103
Dgv,475,TradaBoostR2,20,1.0,5,31.493314584246058
Dgv,475,TradaBoostR2,30,0.1,1,8.835469151651079
Dgv,475,TradaBoostR2,30,0.1,2,11.17194508049456
Dgv,475,TradaBoostR2,30,0.1,3,12.350836561248675
Dgv,475,TradaBoostR2,30,0.1,4,31.936119972761684
Dgv,475,TradaBoostR2,30,0.1,5,17.84034377470639
Dgv,475,TradaBoostR2,30,0.5,1,10.392044661725908
Dgv,475,TradaBoostR2,30,0.5,2,11.613746073362552
Dgv,475,TradaBoostR2,30,0.5,3,9.826674161899527
Dgv,475,TradaBoostR2,30,0.5,4,17.127406496073746
Dgv,475,TradaBoostR2,30,0.5,5,14.366170399836884
Dgv,475,TradaBoostR2,30,1.0,1,10.429832374251584
Dgv,475,TradaBoostR2,30,1.0,2,10.993033132623838
Dgv,475,TradaBoostR2,30,1.0,3,10.701397068064844
Dgv,475,TradaBoostR2,30,1.0,4,19.486018508260628
Dgv,475,TradaBoostR2,30,1.0,5,27.841049587532787
Dgv,475,TradaBoostR2,40,0.1,1,9.255236144432539
Dgv,475,TradaBoostR2,40,0.1,2,11.939323149376438
Dgv,475,TradaBoostR2,40,0.1,3,8.77515267934823
Dgv,475,TradaBoostR2,40,0.1,4,11.30369267032357
Dgv,475,TradaBoostR2,40,0.1,5,17.89793335093247
Dgv,475,TradaBoostR2,40,0.5,1,10.234115973105386
Dgv,475,TradaBoostR2,40,0.5,2,12.300412272646321
Dgv,475,TradaBoostR2,40,0.5,3,10.71614771917356
Dgv,475,TradaBoostR2,40,0.5,4,11.286219996642401
Dgv,475,TradaBoostR2,40,0.5,5,29.043597999935365
Dgv,475,TradaBoostR2,40,1.0,1,10.021019694769237
Dgv,475,TradaBoostR2,40,1.0,2,12.038962317950714
Dgv,475,TradaBoostR2,40,1.0,3,12.211396130163077
Dgv,475,TradaBoostR2,40,1.0,4,13.372074273389893
Dgv,475,TradaBoostR2,40,1.0,5,16.985409138626807
Dgv,475,TradaBoostR2,50,0.1,1,9.958604455853934
Dgv,475,TradaBoostR2,50,0.1,2,12.676912707067753
Dgv,475,TradaBoostR2,50,0.1,3,9.404606935553407
Dgv,475,TradaBoostR2,50,0.1,4,12.824768759052139
Dgv,475,TradaBoostR2,50,0.1,5,34.057982946334484
Dgv,475,TradaBoostR2,50,0.5,1,10.179695481616537
Dgv,475,TradaBoostR2,50,0.5,2,12.156727302625068
Dgv,475,TradaBoostR2,50,0.5,3,10.751425492526888
Dgv,475,TradaBoostR2,50,0.5,4,12.148736344562979
Dgv,475,TradaBoostR2,50,0.5,5,28.852397903511644
Dgv,475,TradaBoostR2,50,1.0,1,9.926345238024954
Dgv,475,TradaBoostR2,50,1.0,2,10.243238625335675
Dgv,475,TradaBoostR2,50,1.0,3,10.86672215253726
Dgv,475,TradaBoostR2,50,1.0,4,13.479084177565053
Dgv,475,TradaBoostR2,50,1.0,5,260.7559033862023
Dgv,570,TradaBoostR2,10,0.1,1,7.747016144323354
Dgv,570,TradaBoostR2,10,0.1,2,14.632928718101677
Dgv,570,TradaBoostR2,10,0.1,3,18.233863834589524
Dgv,570,TradaBoostR2,10,0.1,4,22.578273279823314
Dgv,570,TradaBoostR2,10,0.1,5,43.518671181657844
Dgv,570,TradaBoostR2,10,0.5,1,9.39899541646671
Dgv,570,TradaBoostR2,10,0.5,2,8.891923003454021
Dgv,570,TradaBoostR2,10,0.5,3,9.939544264323876
Dgv,570,TradaBoostR2,10,0.5,4,13.320060712865375
Dgv,570,TradaBoostR2,10,0.5,5,14.410288849436423
Dgv,570,TradaBoostR2,10,1.0,1,10.195829506757764
Dgv,570,TradaBoostR2,10,1.0,2,15.224510262513869
Dgv,570,TradaBoostR2,10,1.0,3,14.52342998132678
Dgv,570,TradaBoostR2,10,1.0,4,15.343736123616187
Dgv,570,TradaBoostR2,10,1.0,5,15.289757973572472
Dgv,570,TradaBoostR2,20,0.1,1,8.061748161118306
Dgv,570,TradaBoostR2,20,0.1,2,7.90107770301064
Dgv,570,TradaBoostR2,20,0.1,3,8.498660847292086
Dgv,570,TradaBoostR2,20,0.1,4,18.973495363026682
Dgv,570,TradaBoostR2,20,0.1,5,20.15706310488063
Dgv,570,TradaBoostR2,20,0.5,1,11.309684380862084
Dgv,570,TradaBoostR2,20,0.5,2,11.413668064858953
Dgv,570,TradaBoostR2,20,0.5,3,9.427198327011475
Dgv,570,TradaBoostR2,20,0.5,4,9.3190224143364
Dgv,570,TradaBoostR2,20,0.5,5,48.53554566485184
Dgv,570,TradaBoostR2,20,1.0,1,11.467651036297372
Dgv,570,TradaBoostR2,20,1.0,2,9.593777549806077
Dgv,570,TradaBoostR2,20,1.0,3,10.934868958674244
Dgv,570,TradaBoostR2,20,1.0,4,12.111678595701244
Dgv,570,TradaBoostR2,20,1.0,5,19.03125465363323
Dgv,570,TradaBoostR2,30,0.1,1,8.436103951416086
Dgv,570,TradaBoostR2,30,0.1,2,8.264468854408678
Dgv,570,TradaBoostR2,30,0.1,3,9.787494875603244
Dgv,570,TradaBoostR2,30,0.1,4,10.622326123059
Dgv,570,TradaBoostR2,30,0.1,5,21.75942151657765
Dgv,570,TradaBoostR2,30,0.5,1,11.277470709830572
Dgv,570,TradaBoostR2,30,0.5,2,9.422159862171267
Dgv,570,TradaBoostR2,30,0.5,3,10.09026927431617
Dgv,570,TradaBoostR2,30,0.5,4,10.514191965556503
Dgv,570,TradaBoostR2,30,0.5,5,13.772426409157877
Dgv,570,TradaBoostR2,30,1.0,1,10.157150189456713
Dgv,570,TradaBoostR2,30,1.0,2,8.986574617855775
Dgv,570,TradaBoostR2,30,1.0,3,11.633096861450426
Dgv,570,TradaBoostR2,30,1.0,4,13.932813745768916
Dgv,570,TradaBoostR2,30,1.0,5,15.594601984518045
Dgv,570,TradaBoostR2,40,0.1,1,8.836522240864078
Dgv,570,TradaBoostR2,40,0.1,2,8.561478256176645
Dgv,570,TradaBoostR2,40,0.1,3,9.693980417850153
Dgv,570,TradaBoostR2,40,0.1,4,10.032723414370073
Dgv,570,TradaBoostR2,40,0.1,5,15.060939681861573
Dgv,570,TradaBoostR2,40,0.5,1,10.46411717515292
Dgv,570,TradaBoostR2,40,0.5,2,9.941900326707234
Dgv,570,TradaBoostR2,40,0.5,3,9.362311700463716
Dgv,570,TradaBoostR2,40,0.5,4,33.31148579783406
Dgv,570,TradaBoostR2,40,0.5,5,27.083657791259036
Dgv,570,TradaBoostR2,40,1.0,1,10.00252361431913
Dgv,570,TradaBoostR2,40,1.0,2,8.916305596838168
Dgv,570,TradaBoostR2,40,1.0,3,11.71587637550882
Dgv,570,TradaBoostR2,40,1.0,4,15.26742426368079
