,seed,rmse,mae,target_tree_size,v,epochs,method
68,2,75.94330689967383,51.12946482858361,4,0.05,1000,Baseline (XGBoost)
69,2,76.65998281775518,51.65300788955798,5,0.05,1000,Baseline (XGBoost)
70,2,81.46970515541884,56.13056898791491,1,0.08,1000,Baseline (XGBoost)
71,2,77.91244860992289,52.753846686392244,2,0.08,1000,Baseline (XGBoost)
72,2,76.33782922044125,51.401747096538884,3,0.08,1000,Baseline (XGBoost)
73,2,76.25741281603086,51.425802022144765,4,0.08,1000,Baseline (XGBoost)
74,2,75.04290158664224,50.763870570460945,5,0.08,1000,Baseline (XGBoost)
75,2,81.49458121659413,56.18569780132574,1,0.1,1000,Baseline (XGBoost)
76,2,78.19800069309099,53.18002803067273,2,0.1,1000,Baseline (XGBoost)
77,2,77.12032542973051,52.52065356050524,3,0.1,1000,Baseline (XGBoost)
78,2,76.32168383627885,51.42434484459233,4,0.1,1000,Baseline (XGBoost)
79,2,76.81597698372497,51.54389122856321,5,0.1,1000,Baseline (XGBoost)
80,2,81.95676751799999,56.46152708014231,1,0.12,1000,Baseline (XGBoost)
81,2,79.07527460115367,53.794727359762966,2,0.12,1000,Baseline (XGBoost)
82,2,76.07926300395124,51.567765835551874,3,0.12,1000,Baseline (XGBoost)
83,2,76.57407464756044,51.83792057015553,4,0.12,1000,Baseline (XGBoost)
84,2,77.42842788274685,51.577996425982754,5,0.12,1000,Baseline (XGBoost)
85,2,82.26479313099078,57.03582158144145,1,0.15,1000,Baseline (XGBoost)
86,2,77.38232843608752,52.33675041577497,2,0.15,1000,Baseline (XGBoost)
87,2,77.81413998261634,53.125649334335314,3,0.15,1000,Baseline (XGBoost)
88,2,75.7299398304865,51.23972588207712,4,0.15,1000,Baseline (XGBoost)
89,2,76.84053780781683,51.47934526273483,5,0.15,1000,Baseline (XGBoost)
90,3,97.37243861082179,64.04897278445577,1,0.005,1000,Baseline (XGBoost)
91,3,83.31796574470943,56.43241602980365,2,0.005,1000,Baseline (XGBoost)
92,3,78.37097373698184,53.19955662977182,3,0.005,1000,Baseline (XGBoost)
93,3,74.71692439028385,50.71196932198728,4,0.005,1000,Baseline (XGBoost)
94,3,73.2576440363952,49.76085187604531,5,0.005,1000,Baseline (XGBoost)
95,3,81.4488008431115,55.311633193277856,1,0.01,1000,Baseline (XGBoost)
96,3,81.28259896165557,55.416942310289315,2,0.01,1000,Baseline (XGBoost)
97,3,77.23388779294204,52.29662672577956,3,0.01,1000,Baseline (XGBoost)
98,3,74.28965939418804,50.305501086711594,4,0.01,1000,Baseline (XGBoost)
99,3,73.8444548675872,50.57497354779661,5,0.01,1000,Baseline (XGBoost)
100,3,80.69042262254736,54.931697134075684,1,0.02,1000,Baseline (XGBoost)
101,3,81.72166417675102,55.539083082805384,2,0.02,1000,Baseline (XGBoost)
102,3,78.7865962128669,53.39518260492896,3,0.02,1000,Baseline (XGBoost)
103,3,74.1150157073144,50.21267290409945,4,0.02,1000,Baseline (XGBoost)
104,3,73.69450901476324,50.3238490922049,5,0.02,1000,Baseline (XGBoost)
105,3,81.065871700901,55.08939354642317,1,0.03,1000,Baseline (XGBoost)
106,3,81.77616061408465,55.648766458222006,2,0.03,1000,Baseline (XGBoost)
107,3,76.86835591048796,52.100768832240746,3,0.03,1000,Baseline (XGBoost)
