,seed,rmse,mae,target_tree_size,v,epochs,method
48,2,76.52415834310263,53.96324918452628,4,0.005,1000,Baseline (XGBoost)
49,2,78.08528847002158,54.62177632197571,5,0.005,1000,Baseline (XGBoost)
50,2,76.42981468985694,55.26994195310211,1,0.01,1000,Baseline (XGBoost)
51,2,76.80486674251323,54.928440264233124,2,0.01,1000,Baseline (XGBoost)
52,2,75.85700498499173,53.69917385765376,3,0.01,1000,Baseline (XGBoost)
53,2,76.56169665565831,54.06067175022989,4,0.01,1000,Baseline (XGBoost)
54,2,78.49322907728167,55.354068281469445,5,0.01,1000,Baseline (XGBoost)
55,2,76.43759006072355,55.20005230006782,1,0.02,1000,Baseline (XGBoost)
56,2,76.85624023847853,54.927164829244035,2,0.02,1000,Baseline (XGBoost)
57,2,75.73031432445929,53.42135541146058,3,0.02,1000,Baseline (XGBoost)
58,2,76.71098985057343,54.07371892435394,4,0.02,1000,Baseline (XGBoost)
59,2,78.76318471220424,55.22883028536911,5,0.02,1000,Baseline (XGBoost)
60,2,76.33901162896208,55.02774792519918,1,0.03,1000,Baseline (XGBoost)
61,2,76.82478055454843,54.425444719248745,2,0.03,1000,Baseline (XGBoost)
62,2,75.72111668407844,53.511955117746346,3,0.03,1000,Baseline (XGBoost)
63,2,76.48825740643682,54.08643985642311,4,0.03,1000,Baseline (XGBoost)
64,2,78.98855448255006,55.09064599907257,5,0.03,1000,Baseline (XGBoost)
65,2,76.30958059427344,54.77723876755732,1,0.05,1000,Baseline (XGBoost)
66,2,76.67841060654303,53.97497687496174,2,0.05,1000,Baseline (XGBoost)
67,2,75.60770456754697,53.09173160246126,3,0.05,1000,Baseline (XGBoost)
68,2,76.45102097609686,53.52958795049486,4,0.05,1000,Baseline (XGBoost)
69,2,78.33802121262455,54.981568510852384,5,0.05,1000,Baseline (XGBoost)
70,2,75.93187932801314,54.63388080198799,1,0.08,1000,Baseline (XGBoost)
71,2,76.69898558959511,54.26641893527842,2,0.08,1000,Baseline (XGBoost)
72,2,75.32509392147401,52.79072955581497,3,0.08,1000,Baseline (XGBoost)
73,2,76.0258808036904,53.65190042482118,4,0.08,1000,Baseline (XGBoost)
