,seed,method,v,target_tree_size,rmse,mae
257,3,xgboost_naive_transfer,0.005,3,76.16907348190878,56.09082239645095
258,3,xgboost,0.005,4,80.3811019783964,55.92307923881229
259,3,xgboost_naive_transfer,0.005,4,76.460873180823,56.7650018808685
260,3,xgboost,0.005,5,82.19841977041563,57.404515418093816
261,3,xgboost_naive_transfer,0.005,5,77.18761112587846,57.302024437174154
262,3,xgboost,0.005,6,83.77967079349229,58.7803715225041
263,3,xgboost_naive_transfer,0.005,6,77.8371822489892,57.59768747512602
264,3,xgboost,0.005,7,84.50666120064062,59.180856012446505
265,3,xgboost_naive_transfer,0.005,7,79.29226233294902,58.201894573269115
266,3,xgboost,0.01,1,75.88750353236169,53.05219526314381
267,3,xgboost_naive_transfer,0.01,1,77.76930028140794,57.044839687396745
268,3,xgboost,0.01,2,76.45278082091912,53.23484287927458
269,3,xgboost_naive_transfer,0.01,2,77.22687207939852,56.470419462265596
270,3,xgboost,0.01,3,77.34415615542036,53.8187678386239
271,3,xgboost_naive_transfer,0.01,3,76.20832074993606,56.02465192852545
272,3,xgboost,0.01,4,80.36176375883186,56.02222070920507
273,3,xgboost_naive_transfer,0.01,4,76.57182396103676,56.79599862660401
274,3,xgboost,0.01,5,82.06771855805057,57.23145158421066
275,3,xgboost_naive_transfer,0.01,5,77.14242049224264,57.25605954267173
276,3,xgboost,0.01,6,83.68353675490782,57.85618378472303
277,3,xgboost_naive_transfer,0.01,6,77.9321182490379,57.6712387915404
278,3,xgboost,0.01,7,84.40644620615956,59.20939816834585
279,3,xgboost_naive_transfer,0.01,7,79.11596054551163,58.106072779375886
280,3,xgboost,0.02,1,75.90243619100781,53.030203117676876
281,3,xgboost_naive_transfer,0.02,1,77.82185326549606,57.05983173053831
282,3,xgboost,0.02,2,76.4080854258649,53.10714613119575
283,3,xgboost_naive_transfer,0.02,2,77.39615250933532,56.44496363902259
284,3,xgboost,0.02,3,77.43925706381533,53.88591914927242
285,3,xgboost_naive_transfer,0.02,3,76.08498553649866,55.864496228809756
286,3,xgboost,0.02,4,80.20299678650674,55.64022441418618
287,3,xgboost_naive_transfer,0.02,4,76.70160489626808,56.660425985222666
288,3,xgboost,0.02,5,82.25394397773346,57.33650877389174
289,3,xgboost_naive_transfer,0.02,5,77.3238687000486,57.24757508289745
290,3,xgboost,0.02,6,83.50375944299813,58.02100919814147
291,3,xgboost_naive_transfer,0.02,6,78.2938360149723,57.6850852416522
292,3,xgboost,0.02,7,84.46479491145682,59.120197427049646
293,3,xgboost_naive_transfer,0.02,7,79.369856623686,58.22756465964397
294,3,xgboost,0.03,1,75.8761587074039,53.063781256163665
295,3,xgboost_naive_transfer,0.03,1,77.9404247095236,57.23833002900157
296,3,xgboost,0.03,2,76.46172179291662,53.238172091899436
297,3,xgboost_naive_transfer,0.03,2,77.47379693489063,56.45896863908935
298,3,xgboost,0.03,3,77.28779792173265,53.638007152939046
299,3,xgboost_naive_transfer,0.03,3,76.53724068017115,56.16848819660546
300,3,xgboost,0.03,4,80.28316999211013,55.77476479262429
301,3,xgboost_naive_transfer,0.03,4,76.71005741396155,56.69823278876181
302,3,xgboost,0.03,5,82.1584030348445,56.91824719121515
303,3,xgboost_naive_transfer,0.03,5,77.69490125255129,57.292303719566725
304,3,xgboost,0.03,6,83.34398970753976,57.87990623353999
305,3,xgboost_naive_transfer,0.03,6,77.97726409169726,57.602476980987504
306,3,xgboost,0.03,7,84.60285982739292,59.15701839082363
307,3,xgboost_naive_transfer,0.03,7,79.41603318615864,58.17104266559945
308,3,xgboost,0.05,1,75.96480378777851,53.061165449897935
309,3,xgboost_naive_transfer,0.05,1,77.94942486280318,57.138436378031486
310,3,xgboost,0.05,2,76.37716693105673,53.21250855108132
311,3,xgboost_naive_transfer,0.05,2,77.79785656653497,56.61829724454612
312,3,xgboost,0.05,3,77.40058391939479,53.34779066494006
313,3,xgboost_naive_transfer,0.05,3,76.65788429515291,56.18785548347109
314,3,xgboost,0.05,4,80.12361861606567,55.48644686794298
315,3,xgboost_naive_transfer,0.05,4,77.08394763947368,56.6577890217827
316,3,xgboost,0.05,5,82.16899415433294,56.76872394482715
317,3,xgboost_naive_transfer,0.05,5,77.50661383892152,57.06687938577094
318,3,xgboost,0.05,6,82.59257271093965,57.049977358736726
319,3,xgboost_naive_transfer,0.05,6,79.08825785446354,58.082974657268615
320,3,xgboost,0.05,7,84.90373501505557,59.21654713575001
321,3,xgboost_naive_transfer,0.05,7,79.60440626758667,58.24084966431228
