,seed,disturbance_level,rmse,mae,source_tree_size,target_tree_size,v,tau,epochs
108,1.0,2.0,1.3654321587608274,1.0839877368976407,1.0,1.0,0.05,0.97,300.0
109,1.0,2.0,1.4640999181306935,1.1601366847949413,1.0,1.0,0.05,0.99,300.0
110,1.0,2.0,0.8856651221653469,0.6867170587434943,1.0,2.0,0.05,0.97,300.0
111,1.0,2.0,0.9694941931227387,0.7517941258781174,1.0,2.0,0.05,0.99,300.0
112,1.0,2.0,0.882800578617222,0.6864369491859157,1.0,3.0,0.05,0.97,300.0
113,1.0,2.0,0.9106575884449523,0.7078226461722664,1.0,3.0,0.05,0.99,300.0
114,1.0,2.0,1.3628656483655985,1.0834200274760697,2.0,1.0,0.05,0.97,300.0
115,1.0,2.0,1.450373663816032,1.1433089468676525,2.0,1.0,0.05,0.99,300.0
116,1.0,2.0,0.9133528920378876,0.7056564675717143,2.0,2.0,0.05,0.97,300.0
117,1.0,2.0,1.0090635659005713,0.7787926971411417,2.0,2.0,0.05,0.99,300.0
118,1.0,2.0,0.9195827744311831,0.7086575789652482,2.0,3.0,0.05,0.97,300.0
119,1.0,2.0,0.9460349301064744,0.7351316163241433,2.0,3.0,0.05,0.99,300.0
120,1.0,2.0,1.2608256560805204,0.9913246256668775,3.0,1.0,0.05,0.97,300.0
121,1.0,2.0,1.410551115480411,1.1183985754595258,3.0,1.0,0.05,0.99,300.0
122,1.0,2.0,0.88023558847556,0.6771561077614795,3.0,2.0,0.05,0.97,300.0
123,1.0,2.0,0.9393574988500804,0.7245201404163165,3.0,2.0,0.05,0.99,300.0
124,1.0,2.0,0.9080120969825396,0.6998408241733735,3.0,3.0,0.05,0.97,300.0
125,1.0,2.0,0.9228442879214869,0.7095535665026725,3.0,3.0,0.05,0.99,300.0
126,1.0,2.0,1.0204352171721178,0.8051793666661595,1.0,1.0,0.1,0.97,300.0
127,1.0,2.0,1.075215274806322,0.8494281009929827,1.0,1.0,0.1,0.99,300.0
128,1.0,2.0,0.7220140328498311,0.5616526841086809,1.0,2.0,0.1,0.97,300.0
129,1.0,2.0,0.7253002689776649,0.56566323777158,1.0,2.0,0.1,0.99,300.0
130,1.0,2.0,0.8007480479528594,0.624729398479837,1.0,3.0,0.1,0.97,300.0
