,seed,rmse,mae,target_tree_size,v,epochs,method
80,2,84.55430088086781,58.44210307959327,1,0.12,1000,Baseline (XGBoost)
81,2,84.91303610276799,58.161970073077015,2,0.12,1000,Baseline (XGBoost)
82,2,84.975080773702,58.844278642551444,3,0.12,1000,Baseline (XGBoost)
83,2,88.1232972273409,59.75503064314047,4,0.12,1000,Baseline (XGBoost)
84,2,89.20140420560816,61.04709579409141,5,0.12,1000,Baseline (XGBoost)
85,2,84.29336413880593,58.292713414624416,1,0.15,1000,Baseline (XGBoost)
86,2,84.78321854568345,58.81437764666751,2,0.15,1000,Baseline (XGBoost)
87,2,85.77662376432161,58.873644187782936,3,0.15,1000,Baseline (XGBoost)
88,2,87.33140759580004,59.91135296581266,4,0.15,1000,Baseline (XGBoost)
89,2,90.48998101310598,62.320072397192156,5,0.15,1000,Baseline (XGBoost)
90,3,76.65834855226906,54.890207614748455,1,0.005,1000,Baseline (XGBoost)
91,3,76.84324746138672,53.205196686091284,2,0.005,1000,Baseline (XGBoost)
92,3,80.01657750058158,56.400321314705536,3,0.005,1000,Baseline (XGBoost)
93,3,82.50250149085906,58.47166801620561,4,0.005,1000,Baseline (XGBoost)
94,3,86.01838554069754,60.390720515542895,5,0.005,1000,Baseline (XGBoost)
95,3,76.21074160263476,53.48188224801538,1,0.01,1000,Baseline (XGBoost)
96,3,76.79960127594458,52.99542450431066,2,0.01,1000,Baseline (XGBoost)
97,3,80.06230938628569,56.44140631732878,3,0.01,1000,Baseline (XGBoost)
98,3,82.49717558581672,58.44017980155773,4,0.01,1000,Baseline (XGBoost)
99,3,86.03497589963403,60.31052942402886,5,0.01,1000,Baseline (XGBoost)
100,3,76.25308539339647,53.48065517016325,1,0.02,1000,Baseline (XGBoost)
101,3,76.9671384460708,53.05097891543178,2,0.02,1000,Baseline (XGBoost)
102,3,79.9855658997512,56.23013671810067,3,0.02,1000,Baseline (XGBoost)
103,3,82.58583923584722,58.497142405160545,4,0.02,1000,Baseline (XGBoost)
104,3,85.99285923860573,60.13269815550763,5,0.02,1000,Baseline (XGBoost)
105,3,76.27797862157185,53.441695121765704,1,0.03,1000,Baseline (XGBoost)
