,seed,target_column,target_instances,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
103,1,Hgv,95,TradaBoostR2,20,0.5,2,4.9258383078778,3.708601356079898,6.392116732967625,4.002958703241344
104,2,Hgv,380,TradaBoostR2,20,0.5,1,2.375205549121964,1.7488044660875954,2.271547301446075,1.76439528385306
105,2,Hgv,475,TradaBoostR2,20,0.5,2,2.5901652361848875,1.8608209411699104,2.517781463985592,1.9030817556139268
106,1,Hgv,665,TradaBoostR2,20,0.5,2,2.543667707327101,1.860333574208536,2.6673408366705185,1.909380843533508
107,1,Hgv,855,TradaBoostR2,20,0.5,1,2.38472151222704,1.8156014973918624,2.4280676616052976,1.8030036915197465
108,1,Hgv,950,TradaBoostR2,20,0.5,1,2.3362919826101742,1.786067356211697,2.3445562934105246,1.7518463444084136
109,1,Hgv,380,TradaBoostR2,20,0.5,2,2.9389595879942143,2.186528596745849,3.2318786150660643,2.238817473632988
110,2,Hgv,190,TradaBoostR2,20,0.5,2,12.034187676796286,3.337536339580589,8.328552610311206,3.2358845708682287
111,1,Hgv,760,TradaBoostR2,20,0.5,2,2.3680072492342177,1.779912677546812,2.4901706436057256,1.8404038760895245
112,1,Hgv,475,TradaBoostR2,20,0.5,2,2.9482673440411955,2.09708547905426,3.085640575631003,2.210201731327849
113,1,Hgv,285,TradaBoostR2,20,0.5,2,2.899409802441685,2.1458978465527783,3.2081356369341103,2.286954039988106
114,1,Hgv,190,TradaBoostR2,20,0.5,2,3.427606446565942,2.4453437502835085,3.327410131305424,2.37808043865938
115,2,Hgv,285,TradaBoostR2,20,0.5,2,2.965974861900239,2.2686322424978043,2.886140244655654,2.226689283322106
116,1,Hgv,665,TradaBoostR2,30,0.1,1,2.872186284812229,2.251943531515485,2.9121963864768925,2.2635964963689674
117,2,Hgv,475,TradaBoostR2,30,0.1,1,3.3368055110622774,2.617672016089585,3.3180088315498213,2.581681740177027
118,1,Hgv,95,TradaBoostR2,30,0.1,1,5.166447109134877,4.125810259844523,10.04962636055637,4.939828578556059
119,2,Hgv,95,TradaBoostR2,30,0.1,1,5.641801427462911,4.351694121569225,8.506801564307267,5.088080011107092
120,2,Hgv,380,TradaBoostR2,20,0.5,2,2.524855591776165,1.8786811416729925,2.54972104148626,1.955365157741899
