,seed,target_column,target_instances,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
0,2,Hgv,190,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.1861857971602316,1.5763626737629846,2.3793084923361825,1.7903998511809909
0,10,Hgv,190,LSTransferTreeBoost,0.05,2,1,0.01,0.5,2.4374397597417747,1.8208101247917565,2.369462635834064,1.7256357816486811
0,2,Hgv,190,LSTransferTreeBoost,0.05,2,2,0.01,0.5,2.171827850343234,1.5915087213395562,2.294880767482517,1.7295044628364542
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.6491135986033716,1.9842769535680476,2.663399219501418,2.025112250159611
0,2,Hgv,190,LSTransferTreeBoost,0.05,2,2,0.01,0.9,2.1621114639559997,1.5887314888256137,2.2999776391465567,1.7337287329957527
0,2,Hgv,190,LSTransferTreeBoost,0.05,2,2,0.05,0.5,2.4149551590309284,1.8079982542473532,2.684254690845476,2.0752087596681217
0,10,Hgv,190,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.426548747911455,1.8077008726534782,2.3656673632782685,1.722330866034376
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.5835885711148987,1.936249965866923,2.5933319265697037,1.9834611439776668
0,2,Hgv,190,LSTransferTreeBoost,0.05,2,2,0.05,0.9,2.2225763972823316,1.6138445777151074,2.4199999354435664,1.82754067616688
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,3.299924313640718,2.4979121307925687,3.3663888522529426,2.5698910585001427
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,3.127652943095258,2.351989576306167,3.1740538676834724,2.399995659327114
0,2,Hgv,190,LSTransferTreeBoost,0.1,1,1,0.01,0.5,2.1635104879639213,1.6160730718172363,2.3089845006216683,1.750864509801133
0,10,Hgv,190,LSTransferTreeBoost,0.05,2,1,0.05,0.5,2.5746183405524796,1.9464479982506915,2.5275642452580027,1.8586935079935096
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,2.6973432243113016,2.028883297381755,2.711543655945943,2.0372044466915082
0,2,Hgv,190,LSTransferTreeBoost,0.1,1,1,0.01,0.9,2.141758046291195,1.5821534398042698,2.2657853276584254,1.7018666258979958
0,10,Hgv,190,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.446957127655183,1.833643347715349,2.3781378677189933,1.7332013301965525
0,2,Hgv,190,LSTransferTreeBoost,0.1,1,1,0.05,0.5,2.4202236094371306,1.7696794599093255,2.6583514500502137,2.0453587525890082
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.9,2.617408709498349,1.979547980609674,2.6458381226301424,2.028793039575251
0,10,Hgv,190,LSTransferTreeBoost,0.05,2,2,0.01,0.5,2.4936697673816215,1.874619921722343,2.369451619586911,1.7265931585112886
0,2,Hgv,190,LSTransferTreeBoost,0.1,1,1,0.05,0.9,2.254797862063855,1.6172015311174126,2.465187683483067,1.8621631948612638
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.5,3.1987383105171254,2.4419484680252213,3.2658076722151286,2.4767466004472682
0,2,Hgv,190,LSTransferTreeBoost,0.1,1,2,0.01,0.5,2.2150124141046676,1.6284082036257639,2.3439161865052287,1.7840986729515342
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.9,3.0008140365902967,2.2802394847329364,3.06184765580019,2.325076546826595
0,10,Hgv,190,LSTransferTreeBoost,0.05,2,2,0.01,0.9,2.4972873301840948,1.8728951135889154,2.393639301098001,1.7487487765983387
0,2,Hgv,190,LSTransferTreeBoost,0.1,1,2,0.01,0.9,2.158368333832277,1.5907039919613177,2.2899782524680794,1.7315612081372265
0,2,Hgv,190,LSTransferTreeBoost,0.1,1,2,0.05,0.5,2.312753190872319,1.692225307731535,2.4988020680145477,1.9091427656773197
0,10,Hgv,190,LSTransferTreeBoost,0.05,2,2,0.05,0.5,2.5970203620357655,1.9748078605468626,2.5740299840842575,1.915072230234861
0,2,Hgv,190,LSTransferTreeBoost,0.1,1,2,0.05,0.9,2.2769984406491255,1.6563255225898459,2.4766891969909977,1.8870876452718748
0,10,Hgv,190,LSTransferTreeBoost,0.05,2,2,0.05,0.9,2.5117717174625445,1.8958850544698875,2.444291427443641,1.7917630366834754
0,6,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.5,2.6137381840985934,1.9581764004283593,2.6491305753235452,2.0127350165605744
0,2,Hgv,190,LSTransferTreeBoost,0.1,2,1,0.01,0.5,2.1447321263858785,1.589646868032357,2.2749645992242606,1.7101089039081925
0,10,Hgv,190,LSTransferTreeBoost,0.1,1,1,0.01,0.5,2.4198492919219055,1.8037323360084772,2.337858890111625,1.6974159657094405
0,10,Hgv,190,LSTransferTreeBoost,0.1,1,1,0.01,0.9,2.420159402939009,1.807568587290758,2.3599499038512195,1.7246373388007397
0,2,Hgv,190,LSTransferTreeBoost,0.1,2,1,0.01,0.9,2.156498233304916,1.5798830186976087,2.2772426760448212,1.7105575305596286
0,6,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.563785595035317,1.914802978058789,2.583432445957028,1.9641535878650618
