,seed,target_column,target_instances,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
79,1,Hgv,285,TradaBoostR2,20,0.5,1,3.130822514257482,2.3253130566441245,3.157441876000646,2.290967852694831
80,2,Hgv,95,TradaBoostR2,30,0.1,1,2.3395554540667,1.665198336998044,2.4149115165845307,1.76208389620765
81,1,Hgv,380,TradaBoostR2,30,0.1,1,2.4700300250979708,1.7437899773109091,2.541071335204067,1.80502758213772
82,1,Hgv,855,TradaBoostR2,10,0.5,2,2.50195195370402,1.874491851791924,2.557314584772756,1.896268816963648
83,2,Hgv,380,TradaBoostR2,20,0.1,2,2.7072514490015265,1.600229539678268,2.2962459548072127,1.6558211995541643
84,2,Hgv,190,TradaBoostR2,20,0.5,2,3.149630059114918,2.1397975414669563,3.4145801910275444,2.25136523972293
85,2,Hgv,285,TradaBoostR2,30,0.1,1,2.157317320224529,1.553829731875206,2.150045925297721,1.564871563207004
86,1,Hgv,570,TradaBoostR2,20,0.1,1,2.2123535572341884,1.59868198119896,2.2190211878768413,1.5966143299757924
87,1,Hgv,760,TradaBoostR2,10,0.1,2,2.3426833954721347,1.671877027319138,2.521367573420087,1.7636255901696607
88,2,Hgv,475,TradaBoostR2,10,0.5,2,2.455714251524625,1.7137073688047908,2.466674241287496,1.735846284072838
89,1,Hgv,665,TradaBoostR2,20,0.1,2,2.295196376557807,1.6265353391884811,2.368911919455498,1.6884948551252104
90,2,Hgv,380,TradaBoostR2,20,0.5,1,2.399390944416948,1.7595693190482196,2.328800479778913,1.719293547976072
91,1,Hgv,475,TradaBoostR2,20,0.1,2,2.72006793137334,1.8051381727200675,2.602100126547409,1.824684365477631
92,1,Hgv,190,TradaBoostR2,20,0.5,2,4.052332643809224,2.6784132730753414,4.8691661098571295,3.1046433217652623
93,1,Hgv,855,TradaBoostR2,20,0.1,1,2.245753309746745,1.6363872485559157,2.2119911850456924,1.588331136714981
94,1,Hgv,285,TradaBoostR2,20,0.5,2,3.193288223518687,2.3097721639182915,3.257988802344154,2.274838604851617
95,1,Hgv,760,TradaBoostR2,10,0.5,1,2.5244841225637824,1.891257588859246,2.5607229537030496,1.9027022498476212
96,2,Hgv,190,TradaBoostR2,30,0.1,1,2.778483596020865,1.6895242846343317,2.579492780785529,1.7938969803065183
97,1,Hgv,665,TradaBoostR2,20,0.5,1,2.712378540131524,2.0739254231641246,2.7722384618144478,2.105447532641456
98,2,Hgv,475,TradaBoostR2,20,0.1,1,2.155910058822101,1.4971048041978263,2.0495417465827,1.509733112494964
99,1,Hgv,95,TradaBoostR2,30,0.1,2,5.26020480923424,3.1436366106055185,6.740929047611786,3.506550704276904
100,2,Hgv,95,TradaBoostR2,30,0.1,2,2.3137014853835574,1.6753996626351713,2.330552150259265,1.72655426886672
101,1,Hgv,570,TradaBoostR2,20,0.1,2,2.287960174324062,1.611075550730461,2.2086279287112167,1.596642310736101
102,1,Hgv,380,TradaBoostR2,30,0.1,2,3.071959397009055,1.94873087325782,2.8764367486381177,1.901532429654153
103,1,Hgv,475,TradaBoostR2,20,0.5,1,2.9240120699823424,2.2393813497495545,3.2633055639680704,2.399628682088814
104,2,Hgv,285,TradaBoostR2,30,0.1,2,2.424776190994623,1.7407787200869616,2.21567560292504,1.663988294413696
105,1,Hgv,760,TradaBoostR2,10,0.5,2,2.40409606892702,1.8307727000650875,2.664327785369249,1.9346804344700048
106,1,Hgv,190,TradaBoostR2,30,0.1,1,2.393383009894015,1.7105706365040438,2.589606019324417,1.7854184505923811
107,2,Hgv,380,TradaBoostR2,20,0.5,2,2.5450839407917503,1.867529679597964,2.6905168097385634,1.9635671774984416
108,1,Hgv,285,TradaBoostR2,30,0.1,1,2.4093338024373043,1.744330702532555,2.569326218115682,1.8325173129080496
