,seed,target_instances,d,method,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
53,85,100,3,MTransferTreeBoost,0.05,1,2,0.05,0.9,400,2.052376184556272,1.5921262197640025,2.0059522082854957,1.5595708443263765
54,85,100,3,LSTransferTreeBoost,0.05,1,3,0.0,0.1,400,2.246608947067859,1.7579291701405317,2.128517597244961,1.669874706481592
55,85,100,3,LADTransferTreeBoost,0.05,1,3,0.0,0.1,400,2.4818257950986156,1.924686138341024,2.4918054804429346,1.934464993063401
56,85,100,3,MTransferTreeBoost,0.05,1,3,0.0,0.1,400,2.1564049363675752,1.6762160591878406,2.0795622345201306,1.6317789964334517
57,85,100,3,LSTransferTreeBoost,0.05,1,3,0.0,0.5,400,2.1183788121226437,1.6532769772460087,1.9938036915177064,1.5824445949178123
58,85,100,3,LADTransferTreeBoost,0.05,1,3,0.0,0.5,400,2.363034322147216,1.8489734571454226,2.3337817653524473,1.8167274477823083
59,85,100,3,MTransferTreeBoost,0.05,1,3,0.0,0.5,400,2.0719859895116817,1.62889555384982,1.9891993857555088,1.5716987408841616
60,85,100,3,LSTransferTreeBoost,0.05,1,3,0.0,0.9,400,2.421448492424294,1.9063091146910482,2.311450015096502,1.8130535837209525
61,85,100,3,LADTransferTreeBoost,0.05,1,3,0.0,0.9,400,2.831765175103889,2.2387959043385033,2.786078862867009,2.1943668061577544
62,85,100,3,MTransferTreeBoost,0.05,1,3,0.0,0.9,400,2.366592720670543,1.8596092758289926,2.26952239029162,1.7860731149601807
63,85,100,3,LSTransferTreeBoost,0.05,1,3,0.01,0.1,400,2.2982053558589324,1.785775213616848,2.1961159127316363,1.7190532567878165
64,85,100,3,LADTransferTreeBoost,0.05,1,3,0.01,0.1,400,2.5381915228484546,1.967133204890815,2.546084454149799,1.9801957289681682
65,85,100,3,MTransferTreeBoost,0.05,1,3,0.01,0.1,400,2.1309283355159727,1.6511700998904055,2.0520822370257457,1.6155701859374272
66,85,100,3,LSTransferTreeBoost,0.05,1,3,0.01,0.5,400,2.1507149907933334,1.6858402461081206,2.021626811372731,1.597840487423228
67,85,100,3,LADTransferTreeBoost,0.05,1,3,0.01,0.5,400,2.342195129263265,1.7947491220739813,2.344384337393828,1.8117511670917075
68,85,100,3,MTransferTreeBoost,0.05,1,3,0.01,0.5,400,2.1252603491304654,1.6586213202056141,2.0529971166059364,1.6139597072175134
69,85,100,3,LSTransferTreeBoost,0.05,1,3,0.01,0.9,400,2.092772958061862,1.6355477731999155,1.9693297138866983,1.562878120591637
70,85,100,3,LADTransferTreeBoost,0.05,1,3,0.01,0.9,400,2.2007364467307418,1.7149385254933,2.1449351516423496,1.6797350315449424
71,85,100,3,MTransferTreeBoost,0.05,1,3,0.01,0.9,400,2.009528542867652,1.5701363513027515,1.9090713549477847,1.4976121402287421
72,85,100,3,LSTransferTreeBoost,0.05,1,3,0.05,0.1,400,2.245852500321696,1.7559642340791597,2.1674970767593322,1.7030198383987987
73,85,100,3,LADTransferTreeBoost,0.05,1,3,0.05,0.1,400,2.2831661645783945,1.796003921806508,2.271976089223556,1.7907597635512902
74,85,100,3,MTransferTreeBoost,0.05,1,3,0.05,0.1,400,2.132036880219597,1.6516342022214692,2.070581143407992,1.6275825569621025
75,85,100,3,LSTransferTreeBoost,0.05,1,3,0.05,0.5,400,2.1613750616504785,1.6906810952553326,2.0721783887693572,1.6339039714991794
76,85,100,3,LADTransferTreeBoost,0.05,1,3,0.05,0.5,400,2.304288660557105,1.8064495695319032,2.2826618175217757,1.7744481444495268
77,85,100,3,MTransferTreeBoost,0.05,1,3,0.05,0.5,400,2.1458218838208687,1.6647114548157678,2.083549424153061,1.6401987327863137
78,85,100,3,LSTransferTreeBoost,0.05,1,3,0.05,0.9,400,2.1415866706077655,1.6737620358151422,2.0363682655671314,1.610766523519383
79,85,100,3,LADTransferTreeBoost,0.05,1,3,0.05,0.9,400,2.302421140718213,1.7776340286197814,2.2899550113942317,1.7601743911797876
80,85,100,3,MTransferTreeBoost,0.05,1,3,0.05,0.9,400,2.1527718097299804,1.6773333978621867,2.095022291524833,1.6522066814838454
81,85,100,3,LSTransferTreeBoost,0.05,2,1,0.0,0.1,400,1.824830947642561,1.4551617153030247,1.8061921824347802,1.4461843135679655
82,85,100,3,LADTransferTreeBoost,0.05,2,1,0.0,0.1,400,2.5193241040601566,2.027024523594134,2.486241390972526,1.9862520681309201
83,85,100,3,MTransferTreeBoost,0.05,2,1,0.0,0.1,400,1.8575734514520075,1.4718082394174727,1.8551234533578724,1.4769916685579372
84,85,100,3,LSTransferTreeBoost,0.05,2,1,0.0,0.5,400,1.9347635817356739,1.5103213785537701,1.9312714227410779,1.5199096889716714
85,85,100,3,LADTransferTreeBoost,0.05,2,1,0.0,0.5,400,2.427599311343754,1.9016456523577216,2.4168955267710213,1.9006241576469673
86,85,100,3,MTransferTreeBoost,0.05,2,1,0.0,0.5,400,1.9465663500304873,1.522238794961549,1.9639388985666375,1.5424750483793244
87,85,100,3,LSTransferTreeBoost,0.05,2,1,0.0,0.9,400,2.651239430223721,2.0996035576332295,2.625566926546385,2.071722714033174
88,85,100,3,LADTransferTreeBoost,0.05,2,1,0.0,0.9,400,3.026012804236287,2.4361907488181402,3.000486789243761,2.4270401871342857
89,85,100,3,MTransferTreeBoost,0.05,2,1,0.0,0.9,400,2.8466709037010256,2.242150482199674,2.835291869799274,2.2208884500325055
90,85,100,3,LSTransferTreeBoost,0.05,2,1,0.01,0.1,400,1.7593672786465233,1.4080403618897408,1.7407881153426399,1.3902529843035532
91,85,100,3,LADTransferTreeBoost,0.05,2,1,0.01,0.1,400,2.998061591366724,2.403025926051042,2.9438478410916904,2.350249811232466
92,85,100,3,MTransferTreeBoost,0.05,2,1,0.01,0.1,400,1.8788592857796846,1.4966043826452815,1.8801858496206845,1.502621673317954
93,85,100,3,LSTransferTreeBoost,0.05,2,1,0.01,0.5,400,1.8214951304449296,1.4442083369783103,1.8215689449356798,1.4471989282518918
94,85,100,3,LADTransferTreeBoost,0.05,2,1,0.01,0.5,400,2.298029455427199,1.8151520726147325,2.294832093199611,1.8131550033888217
95,85,100,3,MTransferTreeBoost,0.05,2,1,0.01,0.5,400,1.8888313807664225,1.4920120656690383,1.9027661016317305,1.5140386933492245
96,85,100,3,LSTransferTreeBoost,0.05,2,1,0.01,0.9,400,1.8342923067728887,1.4492593939692404,1.8274495872750849,1.4475768095960548
97,85,100,3,LADTransferTreeBoost,0.05,2,1,0.01,0.9,400,2.763421523003485,2.1678168502397304,2.7754956831460404,2.181555301912091
98,85,100,3,MTransferTreeBoost,0.05,2,1,0.01,0.9,400,1.9235375584758723,1.5182581354679032,1.9330050379695942,1.5241793431029778
99,85,100,3,LSTransferTreeBoost,0.05,2,1,0.05,0.1,400,1.7696989737473603,1.4185563197049704,1.7522296720142982,1.4022946549851611
100,85,100,3,LADTransferTreeBoost,0.05,2,1,0.05,0.1,400,3.0795152139608764,2.4498815151715196,3.028932362187356,2.4012734811996137
101,85,100,3,MTransferTreeBoost,0.05,2,1,0.05,0.1,400,1.9721922717040166,1.5882246060643779,1.961595664421732,1.5766788758562433
102,85,100,3,LSTransferTreeBoost,0.05,2,1,0.05,0.5,400,1.8779918148710921,1.5138437685726254,1.860361808328413,1.5036445660297209
103,85,100,3,LADTransferTreeBoost,0.05,2,1,0.05,0.5,400,2.4552538458306987,1.9558419545291024,2.45161131990505,1.9489891454473571
104,85,100,3,MTransferTreeBoost,0.05,2,1,0.05,0.5,400,1.879167408693172,1.5033210681714786,1.8884219126976634,1.5122527717362846
105,85,100,3,LSTransferTreeBoost,0.05,2,1,0.05,0.9,400,1.9684578704618736,1.5879493887242115,1.9451147219642428,1.5699597174971986
106,85,100,3,LADTransferTreeBoost,0.05,2,1,0.05,0.9,400,2.6437222467244568,2.120802220856392,2.6141374157562614,2.108630345613917
107,85,100,3,MTransferTreeBoost,0.05,2,1,0.05,0.9,400,1.9018055761716683,1.522261762064829,1.9100931516976956,1.529906275840897
108,85,100,3,LSTransferTreeBoost,0.05,2,2,0.0,0.1,400,2.0134071824124504,1.559492273190223,1.932595261025717,1.5176000755810182
109,85,100,3,LADTransferTreeBoost,0.05,2,2,0.0,0.1,400,2.4985510468042955,1.9714531373627915,2.4718893746057677,1.9462575303894718
110,85,100,3,MTransferTreeBoost,0.05,2,2,0.0,0.1,400,1.985314704936388,1.5449336157826474,1.9146037765912292,1.4963238113062738
111,85,100,3,LSTransferTreeBoost,0.05,2,2,0.0,0.5,400,1.8054071075682705,1.3956931637036318,1.784172904617509,1.3860684699306713
112,85,100,3,LADTransferTreeBoost,0.05,2,2,0.0,0.5,400,2.4074288138541013,1.8739004227554747,2.3720549930169867,1.8617663825722601
113,85,100,3,MTransferTreeBoost,0.05,2,2,0.0,0.5,400,1.8882521133511874,1.486005531929528,1.8798007058068842,1.476626693083318
114,85,100,3,LSTransferTreeBoost,0.05,2,2,0.0,0.9,400,3.2162655786264893,2.626215952871494,3.157987625666313,2.592325480274363
115,85,100,3,LADTransferTreeBoost,0.05,2,2,0.0,0.9,400,3.4568456270762726,2.750980533221421,3.403091757231128,2.7119107628394605
116,85,100,3,MTransferTreeBoost,0.05,2,2,0.0,0.9,400,3.1553273269084987,2.547993836662809,3.10558246138458,2.5083974158457276
117,85,100,3,LSTransferTreeBoost,0.05,2,2,0.01,0.1,400,1.9388507010199598,1.5135743852819485,1.8520821193772785,1.4520658384162515
118,85,100,3,LADTransferTreeBoost,0.05,2,2,0.01,0.1,400,2.4478683883296704,1.9413404752889378,2.406420946252802,1.9068138562467074
119,85,100,3,MTransferTreeBoost,0.05,2,2,0.01,0.1,400,1.973131805364115,1.5362511316309728,1.9060462769705477,1.494319860907963
120,85,100,3,LSTransferTreeBoost,0.05,2,2,0.01,0.5,400,1.856056013111697,1.427388251255746,1.8113188574072638,1.3865733620961873
121,85,100,3,LADTransferTreeBoost,0.05,2,2,0.01,0.5,400,2.2942273584030812,1.7994805705477175,2.250138582470837,1.7639651666169875
122,85,100,3,MTransferTreeBoost,0.05,2,2,0.01,0.5,400,1.9022563714730414,1.4867795514421744,1.8982951200356737,1.4830792762361171
123,85,100,3,LSTransferTreeBoost,0.05,2,2,0.01,0.9,400,1.8150860741485078,1.4108079701563583,1.8119058646406518,1.4007442798139904
124,85,100,3,LADTransferTreeBoost,0.05,2,2,0.01,0.9,400,2.3484688622573353,1.8373001606215926,2.3219161663213526,1.8422227495280277
125,85,100,3,MTransferTreeBoost,0.05,2,2,0.01,0.9,400,1.8219289265347482,1.4032309613943816,1.820949074916548,1.404757988534012
126,85,100,3,LSTransferTreeBoost,0.05,2,2,0.05,0.1,400,1.9929206326047415,1.5663199479984287,1.9139277677823088,1.5181008170905705
127,85,100,3,LADTransferTreeBoost,0.05,2,2,0.05,0.1,400,2.6601740734370565,2.092584948744594,2.642879015259303,2.077297444054602
128,85,100,3,MTransferTreeBoost,0.05,2,2,0.05,0.1,400,1.9752246497331152,1.5364410087979672,1.912041860658487,1.5064370623731484
129,85,100,3,LSTransferTreeBoost,0.05,2,2,0.05,0.5,400,1.917256804937007,1.479031680324726,1.8645889786184897,1.4432693726449033
