,seed,target_instances,d,method,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
1946,85,300,6,MTransferTreeBoost,0.05,1,1,0.0,0.1,400,1.3104703386051872,1.034240766084428,1.3124087923132282,1.0427943252986844
1947,85,300,6,LSTransferTreeBoost,0.05,1,1,0.0,0.5,400,1.847571297250865,1.4748536992057406,1.8314111164877673,1.4888826332307055
1948,85,300,6,LADTransferTreeBoost,0.05,1,1,0.0,0.5,400,1.8532662855770545,1.4617810865399188,1.878510404921363,1.5240116268102986
1949,85,300,6,MTransferTreeBoost,0.05,1,1,0.0,0.5,400,1.7352677217017638,1.378809599514825,1.7208258971793275,1.3867746575274356
1950,85,300,6,LSTransferTreeBoost,0.05,1,1,0.0,0.9,400,3.0717376729612194,2.453124733587967,3.0372795714248078,2.4708053772308403
1951,85,300,6,LADTransferTreeBoost,0.05,1,1,0.0,0.9,400,3.140027549275678,2.4968463621340935,3.1076920684156586,2.5149090938409526
1952,85,300,6,MTransferTreeBoost,0.05,1,1,0.0,0.9,400,3.0339189862037994,2.423665572320005,2.9994342687378595,2.4465006628951316
1953,85,300,6,LSTransferTreeBoost,0.05,1,1,0.01,0.1,400,1.478671112952062,1.1754542648452027,1.482328320358757,1.1929226811878886
1954,85,300,6,LADTransferTreeBoost,0.05,1,1,0.01,0.1,400,3.3031958653956437,2.656472895302366,3.212335065126681,2.6167118874066766
1955,85,300,6,MTransferTreeBoost,0.05,1,1,0.01,0.1,400,1.2657025248472722,1.0001617572844788,1.2709816009016182,1.011058179942993
1956,85,300,6,LSTransferTreeBoost,0.05,1,1,0.01,0.5,400,1.5148141897913934,1.207101176309523,1.5150893737911828,1.2207661622961
1957,85,300,6,LADTransferTreeBoost,0.05,1,1,0.01,0.5,400,1.472947066081856,1.1680071038097686,1.4876425875936548,1.1948664015676687
1958,85,300,6,MTransferTreeBoost,0.05,1,1,0.01,0.5,400,1.328601225135822,1.0496834136274906,1.3318474350391785,1.0602806076689266
1959,85,300,6,LSTransferTreeBoost,0.05,1,1,0.01,0.9,400,1.574097510440788,1.2539295289454118,1.576840190796407,1.2727823842702677
1960,85,300,6,LADTransferTreeBoost,0.05,1,1,0.01,0.9,400,1.5120955299983165,1.1925403125611598,1.5504683920142646,1.238768464078233
1961,85,300,6,MTransferTreeBoost,0.05,1,1,0.01,0.9,400,1.3957046987601158,1.1011754556083635,1.3960019118302107,1.1120365588140604
1962,85,300,6,LSTransferTreeBoost,0.05,1,1,0.05,0.1,400,1.4806668124431233,1.176470510924676,1.486182484292631,1.1963224415212639
