,seed,target_instances,d,method,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
36,85,100,3,LSTransferTreeBoost,0.05,1,2,0.01,0.1,400,1.8325401932422,1.4598145122391943,1.971351400726579,1.5565129973836385
37,85,100,3,LADTransferTreeBoost,0.05,1,2,0.01,0.1,400,1.9198115757742233,1.516887385600447,1.9359119491723897,1.55364569136454
38,85,100,3,MTransferTreeBoost,0.05,1,2,0.01,0.1,400,1.6265811342152914,1.2626492948411645,1.6985923678281452,1.343840314915612
39,85,100,3,LSTransferTreeBoost,0.05,1,2,0.01,0.5,400,1.795367836151369,1.4038012940700992,1.8995277123186176,1.4924183557935584
40,85,100,3,LADTransferTreeBoost,0.05,1,2,0.01,0.5,400,2.180033507440534,1.6791488540806567,2.184844681291629,1.7185389934034436
41,85,100,3,MTransferTreeBoost,0.05,1,2,0.01,0.5,400,1.576249842188765,1.2166513521375413,1.6212831793448212,1.2866960988323226
42,85,100,3,LSTransferTreeBoost,0.05,1,2,0.01,0.9,400,1.728678568766707,1.345041074256086,1.8229783696168742,1.4355856474696056
43,85,100,3,LADTransferTreeBoost,0.05,1,2,0.01,0.9,400,2.1184672956248622,1.627412411450166,2.1291194273698397,1.6622911633016237
44,85,100,3,MTransferTreeBoost,0.05,1,2,0.01,0.9,400,1.5194575791465794,1.1722384935746724,1.5383602785905568,1.2129138064366962
45,85,100,3,LSTransferTreeBoost,0.05,1,2,0.05,0.1,400,1.799555142560516,1.4332576334702067,1.9427841473729424,1.5402954975948229
46,85,100,3,LADTransferTreeBoost,0.05,1,2,0.05,0.1,400,2.2358493826272348,1.722969654053971,2.2619606584420344,1.7972111446141676
47,85,100,3,MTransferTreeBoost,0.05,1,2,0.05,0.1,400,1.6312625705984782,1.2723667542755979,1.701176612217675,1.3458946874826472
48,85,100,3,LSTransferTreeBoost,0.05,1,2,0.05,0.5,400,1.883971853572921,1.4924020296994303,2.0091181606359823,1.5947577312504913
49,85,100,3,LADTransferTreeBoost,0.05,1,2,0.05,0.5,400,1.901866649356891,1.5001670109608214,1.9452161819546898,1.5713670495615213
50,85,100,3,MTransferTreeBoost,0.05,1,2,0.05,0.5,400,1.6698828322966626,1.2927204060976123,1.7335648886609643,1.3761935751845207
