,seed,method,v,target_tree_size,rmse,mae
184,2,xgboost,0.05,2,76.66325598428591,54.11443667518573
185,2,xgboost_naive_transfer,0.05,2,79.1563556283589,58.853231904904554
186,2,xgboost,0.05,3,76.59515012214727,53.92121690525175
187,2,xgboost_naive_transfer,0.05,3,78.67141411499925,58.53007153618023
188,2,xgboost,0.05,4,77.12623776477889,53.86324472145004
189,2,xgboost_naive_transfer,0.05,4,79.53557906874651,58.8077742789261
190,2,xgboost,0.05,5,78.15931983970518,54.02061120157916
191,2,xgboost_naive_transfer,0.05,5,78.2454292288675,58.128623754959634
192,2,xgboost,0.05,6,78.98817704988319,54.96994904660714
193,2,xgboost_naive_transfer,0.05,6,78.24205509076188,58.22200378162131
194,2,xgboost,0.05,7,80.2960779561589,55.24938073026221
195,2,xgboost_naive_transfer,0.05,7,79.37799478052672,58.79953351037812
196,2,xgboost,0.08,1,76.65812972181286,55.21692996282911
197,2,xgboost_naive_transfer,0.08,1,79.64066894096909,59.36150106541517
198,2,xgboost,0.08,2,76.31685056592568,53.89605507355432
199,2,xgboost_naive_transfer,0.08,2,79.86336874171806,59.224482252776696
200,2,xgboost,0.08,3,75.75187135615798,53.06069527687412
201,2,xgboost_naive_transfer,0.08,3,79.61136182770319,58.80124406529383
202,2,xgboost,0.08,4,77.74834278923545,53.713089690966086
203,2,xgboost_naive_transfer,0.08,4,80.00908337296455,59.02514262783435
204,2,xgboost,0.08,5,78.11480989038881,54.00481123900042
205,2,xgboost_naive_transfer,0.08,5,78.89958959205626,58.37504025315087
206,2,xgboost,0.08,6,79.3199031919004,54.67762064390499
207,2,xgboost_naive_transfer,0.08,6,79.77220325327511,58.592600508948
208,2,xgboost,0.08,7,81.30497108723782,55.66326694815558
209,2,xgboost_naive_transfer,0.08,7,79.70160677785833,58.808179120264434
210,2,xgboost,0.1,1,76.79963988011735,54.74518989308588
211,2,xgboost_naive_transfer,0.1,1,79.73623936929901,59.7550226533915
212,2,xgboost,0.1,2,77.03407377375481,54.25307112828193
213,2,xgboost_naive_transfer,0.1,2,80.35924179952639,59.45073055698319
214,2,xgboost,0.1,3,76.99856792016931,54.048634419569765
215,2,xgboost_naive_transfer,0.1,3,80.50270246747547,58.93472221911482
216,2,xgboost,0.1,4,77.73425312457688,53.833317082496954
217,2,xgboost_naive_transfer,0.1,4,80.88088661040148,59.073814483545675
218,2,xgboost,0.1,5,79.02998640530146,54.44106835551965
219,2,xgboost_naive_transfer,0.1,5,79.32214641072251,58.688975209705255
220,2,xgboost,0.1,6,80.12237881695286,55.028248258732404
221,2,xgboost_naive_transfer,0.1,6,80.05470143830092,58.89624696897164
222,2,xgboost,0.1,7,81.74111834392305,55.71166972166552
223,2,xgboost_naive_transfer,0.1,7,80.74839278638865,59.109794372262634
224,2,xgboost,0.12,1,77.52018562667745,54.88535510533598
225,2,xgboost_naive_transfer,0.12,1,80.126962723798,59.835270866066246
226,2,xgboost,0.12,2,76.2131858311876,54.067154690273505
227,2,xgboost_naive_transfer,0.12,2,80.88179685456865,59.84229989750238
228,2,xgboost,0.12,3,76.59103322654207,53.369567084887215
229,2,xgboost_naive_transfer,0.12,3,81.14440992478755,59.28060091269482
230,2,xgboost,0.12,4,77.74214889722265,53.373843927056775
231,2,xgboost_naive_transfer,0.12,4,80.86864763397894,59.24953384565978
232,2,xgboost,0.12,5,79.69273666624878,54.75241140657333
233,2,xgboost_naive_transfer,0.12,5,79.86427190907352,58.609841801921746
234,2,xgboost,0.12,6,79.48152965591724,54.768428459458974
235,2,xgboost_naive_transfer,0.12,6,81.8023560876006,59.3518375633206
236,2,xgboost,0.12,7,81.39247443891738,55.579404163685645
237,2,xgboost_naive_transfer,0.12,7,80.93222696546628,59.52922671328487
238,2,xgboost,0.15,1,77.00952663421377,54.85295920757721
239,2,xgboost_naive_transfer,0.15,1,80.68438179849426,59.97104739447065
240,2,xgboost,0.15,2,77.26525632099344,54.1089879785136
241,2,xgboost_naive_transfer,0.15,2,81.02865204357464,59.971215563481216
242,2,xgboost,0.15,3,77.27008955382729,52.88530046701649
243,2,xgboost_naive_transfer,0.15,3,80.75655922848154,59.18543484939487
244,2,xgboost,0.15,4,77.55708562739363,53.32309620150759
245,2,xgboost_naive_transfer,0.15,4,81.36707589952886,59.451139959925115
246,2,xgboost,0.15,5,78.13345646160175,53.71546021811458
247,2,xgboost_naive_transfer,0.15,5,81.11990798223778,59.47887783542245
248,2,xgboost,0.15,6,79.57635521312723,54.54138424135699
249,2,xgboost_naive_transfer,0.15,6,81.16393909513769,59.22558234690751
250,2,xgboost,0.15,7,82.53609844904926,56.0443851570321
251,2,xgboost_naive_transfer,0.15,7,82.18463765348756,59.86259645522597
252,3,xgboost,0.005,1,77.2033227672842,54.24981345121919
253,3,xgboost_naive_transfer,0.005,1,78.96797932267847,57.31275119885133
254,3,xgboost,0.005,2,76.71659229590766,52.82111262780217
255,3,xgboost_naive_transfer,0.005,2,78.34460350417837,56.48972820541355
256,3,xgboost,0.005,3,77.25238458987798,53.15023947601861
257,3,xgboost_naive_transfer,0.005,3,77.45188359084325,55.93935018987355
258,3,xgboost,0.005,4,79.22604515078991,54.16538559627198
259,3,xgboost_naive_transfer,0.005,4,77.64057614695024,56.32480027537949
260,3,xgboost,0.005,5,82.36179634770042,55.96621500274245
261,3,xgboost_naive_transfer,0.005,5,77.50160716872215,56.43615117680808
262,3,xgboost,0.005,6,83.01111233806242,56.285527706245745
263,3,xgboost_naive_transfer,0.005,6,78.31769546180588,56.939191962455105
