,seed,method,d,v,target_tree_size,rmse,mae
167,12,xgboost_naive_transfer,3,0.02,7,1.5680630395648285,1.1880062945093204
168,12,xgboost,3,0.03,1,1.688151360583512,1.3517925191731275
169,12,xgboost_naive_transfer,3,0.03,1,1.8893912548174432,1.507051333035216
170,12,xgboost,3,0.03,2,1.5951171223722036,1.254487750235854
171,12,xgboost_naive_transfer,3,0.03,2,1.3480010622940846,1.0753129285923795
172,12,xgboost,3,0.03,3,1.6945700842718627,1.3409418330402356
173,12,xgboost_naive_transfer,3,0.03,3,1.2635409534080897,0.9915297655173244
174,12,xgboost,3,0.03,4,1.7180617289658966,1.3686495491757953
175,12,xgboost_naive_transfer,3,0.03,4,1.3020586914929568,1.0022193162155955
176,12,xgboost,3,0.03,5,1.8068028301619634,1.426279160942011
177,12,xgboost_naive_transfer,3,0.03,5,1.393948976497262,1.0862418577966069
178,12,xgboost,3,0.03,6,1.9273843486002167,1.525391092642586
179,12,xgboost_naive_transfer,3,0.03,6,1.513587572254772,1.1612451141272044
180,12,xgboost,3,0.03,7,2.087638254211117,1.6552096122555644
181,12,xgboost_naive_transfer,3,0.03,7,1.5611707907342574,1.1784930101620263
182,12,xgboost,3,0.05,1,1.6998509538394986,1.360824029297525
183,12,xgboost_naive_transfer,3,0.05,1,1.5569738228538679,1.242059562644645
184,12,xgboost,3,0.05,2,1.6017993836354771,1.2585703521219744
185,12,xgboost_naive_transfer,3,0.05,2,1.3943608612746905,1.1087995070696683
186,12,xgboost,3,0.05,3,1.6963232651147286,1.3390665382776237
187,12,xgboost_naive_transfer,3,0.05,3,1.261528844858448,0.9981246458064327
188,12,xgboost,3,0.05,4,1.758835046684456,1.4006677650771528
189,12,xgboost_naive_transfer,3,0.05,4,1.3127919343879955,1.0178513563432627
190,12,xgboost,3,0.05,5,1.8217903732493337,1.4380330557916439
191,12,xgboost_naive_transfer,3,0.05,5,1.356838396545603,1.0498399020924272
192,12,xgboost,3,0.05,6,1.9063294757692335,1.501908985384731
193,12,xgboost_naive_transfer,3,0.05,6,1.485699647704996,1.1420749717082554
194,12,xgboost,3,0.05,7,2.0614282857527746,1.6244973763064914
195,12,xgboost_naive_transfer,3,0.05,7,1.5972952473301187,1.2236336015699576
196,12,xgboost,3,0.08,1,1.6413245800536342,1.3142270658925586
197,12,xgboost_naive_transfer,3,0.08,1,1.537200072433165,1.2262773610746693
198,12,xgboost,3,0.08,2,1.630603106104708,1.2814802737808861
199,12,xgboost_naive_transfer,3,0.08,2,1.3578832335413178,1.0855866196625452
200,12,xgboost,3,0.08,3,1.700975836270013,1.3529406903006256
201,12,xgboost_naive_transfer,3,0.08,3,1.276929994480608,0.9970286079062979
202,12,xgboost,3,0.08,4,1.6695160839344911,1.3365879123644877
203,12,xgboost_naive_transfer,3,0.08,4,1.31188633006188,1.0134871262228924
204,12,xgboost,3,0.08,5,1.8415363358682113,1.4517475291830675
205,12,xgboost_naive_transfer,3,0.08,5,1.423683048378321,1.1055357657313487
206,12,xgboost,3,0.08,6,1.9056428492728663,1.5114068886692513
207,12,xgboost_naive_transfer,3,0.08,6,1.5060122039726904,1.1500167074749883
208,12,xgboost,3,0.08,7,2.064425508935775,1.639080887085084
209,12,xgboost_naive_transfer,3,0.08,7,1.5889104634320732,1.222064072319972
210,12,xgboost,3,0.1,1,1.636805563795722,1.3115568733030485
211,12,xgboost_naive_transfer,3,0.1,1,1.5085186287698118,1.2020844320098316
212,12,xgboost,3,0.1,2,1.5984914258587632,1.2590575196400051
213,12,xgboost_naive_transfer,3,0.1,2,1.34351748493372,1.0722691620043925
214,12,xgboost,3,0.1,3,1.6585211980586403,1.3154124013085537
215,12,xgboost_naive_transfer,3,0.1,3,1.2344945532414717,0.9710920935745581
216,12,xgboost,3,0.1,4,1.712472751580606,1.3598794700380217
217,12,xgboost_naive_transfer,3,0.1,4,1.2979052086371223,1.0153891443798368
218,12,xgboost,3,0.1,5,1.8057958762159223,1.4244225123953098
219,12,xgboost_naive_transfer,3,0.1,5,1.386583060032175,1.067430929010263
220,12,xgboost,3,0.1,6,1.9895299934595687,1.5775190170209954
221,12,xgboost_naive_transfer,3,0.1,6,1.4942101974907,1.1480022142872772
222,12,xgboost,3,0.1,7,2.0306209181237422,1.6161435723786621
223,12,xgboost_naive_transfer,3,0.1,7,1.5953706316584113,1.2185769288151478
224,12,xgboost,3,0.12,1,1.6571160292195155,1.327303352908718
225,12,xgboost_naive_transfer,3,0.12,1,1.5581943519165804,1.2434000629195257
226,12,xgboost,3,0.12,2,1.5522529860859438,1.228983611249253
227,12,xgboost_naive_transfer,3,0.12,2,1.2414984387877672,0.983015643605546
228,12,xgboost,3,0.12,3,1.7098283665753176,1.3393817288282088
229,12,xgboost_naive_transfer,3,0.12,3,1.226783882114852,0.9688154815265727
230,12,xgboost,3,0.12,4,1.7245650757783457,1.377486756354663
231,12,xgboost_naive_transfer,3,0.12,4,1.3278807247557962,1.0442189016902814
232,12,xgboost,3,0.12,5,1.8833570793444527,1.472957427019991
233,12,xgboost_naive_transfer,3,0.12,5,1.370008345621003,1.0499983650732334
234,12,xgboost,3,0.12,6,1.9048055672523447,1.5104783372536772
235,12,xgboost_naive_transfer,3,0.12,6,1.5500736059144866,1.1833177152765888
236,12,xgboost,3,0.12,7,2.0910613310316513,1.6566372216639176
237,12,xgboost_naive_transfer,3,0.12,7,1.649019360831576,1.2554424678215401
238,12,xgboost,3,0.15,1,1.6220686946940812,1.2919419716953544
239,12,xgboost_naive_transfer,3,0.15,1,1.5856972452866236,1.264195080049852
240,12,xgboost,3,0.15,2,1.5856556993596806,1.2451919592740441
241,12,xgboost_naive_transfer,3,0.15,2,1.3271525394203079,1.0696213340984384
242,12,xgboost,3,0.15,3,1.7430024933138146,1.3798773353184421
243,12,xgboost_naive_transfer,3,0.15,3,1.2327451622214853,0.9752763563640648
244,12,xgboost,3,0.15,4,1.7091366716009657,1.3532302288900815
245,12,xgboost_naive_transfer,3,0.15,4,1.3040355858341883,1.0164163280733864
246,12,xgboost,3,0.15,5,1.8945810051244056,1.4928469051337725
247,12,xgboost_naive_transfer,3,0.15,5,1.4057202964019662,1.098067142463613
248,12,xgboost,3,0.15,6,1.8935705730940504,1.4986800158483824
