,seed,method,v,target_tree_size,rmse,mae
209,2,xgboost_naive_transfer,0.08,7,7.511032077268517,5.46365395341786
210,2,xgboost,0.1,1,7.191129449557796,4.935432352127932
211,2,xgboost_naive_transfer,0.1,1,7.668582501643319,5.640943002304162
212,2,xgboost,0.1,2,7.2491942194049965,4.956585523588456
213,2,xgboost_naive_transfer,0.1,2,7.662526557584216,5.622599934243839
214,2,xgboost,0.1,3,7.421318072462855,5.085667218969026
215,2,xgboost_naive_transfer,0.1,3,7.633403456589465,5.590271607543519
216,2,xgboost,0.1,4,7.549006084962659,5.152438872501812
217,2,xgboost_naive_transfer,0.1,4,7.565771656759093,5.539781817433928
218,2,xgboost,0.1,5,7.6574248120147885,5.259148569763765
219,2,xgboost_naive_transfer,0.1,5,7.579503493509443,5.542100638661543
220,2,xgboost,0.1,6,7.744606042937695,5.278328092980207
221,2,xgboost_naive_transfer,0.1,6,7.520886751413977,5.4999123007399415
222,2,xgboost,0.1,7,7.711936268480173,5.306954718288958
223,2,xgboost_naive_transfer,0.1,7,7.509146041900463,5.456564693945418
224,2,xgboost,0.12,1,7.186210695536552,4.919488772997607
225,2,xgboost_naive_transfer,0.12,1,7.666269313012695,5.6319583037498635
226,2,xgboost,0.12,2,7.225292738707443,4.926383793380349
227,2,xgboost_naive_transfer,0.12,2,7.655535918194732,5.6169800790314195
228,2,xgboost,0.12,3,7.43153251390601,5.132725062577857
229,2,xgboost_naive_transfer,0.12,3,7.629863955143643,5.592374228547484
230,2,xgboost,0.12,4,7.634462064100921,5.214654416219062
231,2,xgboost_naive_transfer,0.12,4,7.618109708387501,5.587601288994572
232,2,xgboost,0.12,5,7.675347707300506,5.213819648119871
233,2,xgboost_naive_transfer,0.12,5,7.5796105687582624,5.569932949744401
234,2,xgboost,0.12,6,7.695118298912004,5.27258061635649
235,2,xgboost_naive_transfer,0.12,6,7.600490876685932,5.560967829447743
236,2,xgboost,0.12,7,7.721077061682608,5.301781769824347
237,2,xgboost_naive_transfer,0.12,7,7.565897651835553,5.49786703636013
238,2,xgboost,0.15,1,7.206133985498738,4.93563615299204
239,2,xgboost_naive_transfer,0.15,1,7.687128373665613,5.659822881976395
240,2,xgboost,0.15,2,7.219311372245141,4.9337648948923345
241,2,xgboost_naive_transfer,0.15,2,7.679909849743153,5.637838428480449
242,2,xgboost,0.15,3,7.499554694550387,5.125245122667723
243,2,xgboost_naive_transfer,0.15,3,7.644667624327261,5.604676080940155
244,2,xgboost,0.15,4,7.59778528612173,5.190947176408375
245,2,xgboost_naive_transfer,0.15,4,7.6253648597715005,5.598504865981896
246,2,xgboost,0.15,5,7.711943407547652,5.248924719542689
247,2,xgboost_naive_transfer,0.15,5,7.635699609475473,5.59792081219834
248,2,xgboost,0.15,6,7.705510633757032,5.288173174331758
249,2,xgboost_naive_transfer,0.15,6,7.591902092961145,5.558751359312183
250,2,xgboost,0.15,7,7.80918857263842,5.357393109008384
251,2,xgboost_naive_transfer,0.15,7,7.536674697527712,5.4688002366979624
252,3,xgboost,0.005,1,7.351346180224518,4.934831436387364
253,3,xgboost_naive_transfer,0.005,1,7.727424032062643,5.67857531236279
254,3,xgboost,0.005,2,7.276304477037269,4.920043727721943
255,3,xgboost_naive_transfer,0.005,2,7.650691289677529,5.611706417663302
