,seed,lr,n_estimators,tree_size,rmse,mae
262,863.0,0.5,150.0,3.0,0.08326649542649989,0.0634574460263334
263,863.0,0.5,150.0,4.0,0.0715664675732641,0.058894812186301694
264,863.0,1.0,10.0,1.0,0.08604889133579773,0.06696524209797375
265,863.0,1.0,10.0,2.0,0.08857569333102638,0.06947220996852811
266,863.0,1.0,10.0,3.0,0.07502893772627206,0.05420937651826918
267,863.0,1.0,10.0,4.0,0.08159123568512192,0.05954190902134052
268,863.0,1.0,20.0,1.0,0.07986090190392961,0.05787194639396106
269,863.0,1.0,20.0,2.0,0.09035359349477014,0.06723327283569444
270,863.0,1.0,20.0,3.0,0.07007936289386282,0.055204290876272155
271,863.0,1.0,20.0,4.0,0.07311597167402083,0.05650114541373845
272,863.0,1.0,30.0,1.0,0.1044608054259588,0.08673322695614769
273,863.0,1.0,30.0,2.0,0.08922923641142103,0.06647050960499747
274,863.0,1.0,30.0,3.0,0.08335176646932169,0.06394557178595572
275,863.0,1.0,30.0,4.0,0.06924366180731592,0.05465612346087756
276,863.0,1.0,50.0,1.0,0.14298149807328311,0.12167340234431799
277,863.0,1.0,50.0,2.0,0.08703759754398442,0.06338512047532842
278,863.0,1.0,50.0,3.0,0.08357714222185203,0.06370299124774506
279,863.0,1.0,50.0,4.0,0.07159098749080695,0.05897270509099795
280,863.0,1.0,100.0,1.0,0.14298149807328311,0.12167340234431799
281,863.0,1.0,100.0,2.0,0.08570279134503302,0.061796358668840375
282,863.0,1.0,100.0,3.0,0.0862192368479949,0.06557387479548649
283,863.0,1.0,100.0,4.0,0.08431661287085579,0.06332208742312169
284,863.0,1.0,150.0,1.0,0.1266210996828002,0.10380317312081791
285,863.0,1.0,150.0,2.0,0.08673802764673468,0.062438378438260174
286,863.0,1.0,150.0,3.0,0.08287394595160802,0.06409337182447036
287,863.0,1.0,150.0,4.0,0.07626744843675219,0.0568975049002733
288,864.0,0.1,10.0,1.0,0.13111009234269538,0.09787700999014488
289,864.0,0.1,10.0,2.0,0.1254352113547304,0.08664864328454956
290,864.0,0.1,10.0,3.0,0.1301810932568491,0.09114733163885756
291,864.0,0.1,10.0,4.0,0.13543207521253098,0.10214271389294484
292,864.0,0.1,20.0,1.0,0.13650552648627878,0.10245768618966392
293,864.0,0.1,20.0,2.0,0.1223460322629997,0.08723886166774576
