,seed,target_column,target_instances,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
0,2,Hgv,95,TradaBoostR2,30,0.5,1,3.6981234172941186,2.5841461312109164,4.379226194362221,2.782769812847075
0,2,Hgv,190,TradaBoostR2,20,0.1,2,5.652869161660698,2.9280007654511437,24.386771839653658,4.541652054106797
0,2,Hgv,285,TradaBoostR2,30,0.1,1,2.7460653003557383,2.12098215554196,3.088791222029459,2.326120536091582
0,1,Hgv,285,TradaBoostR2,20,0.1,2,3.4298415622054135,2.556250263672206,3.8129585229221985,2.5771832113121
0,1,Hgv,760,TradaBoostR2,30,0.1,1,2.47985764042995,1.9190242723227735,2.6377738269696502,1.9509739730637008
0,1,Hgv,190,TradaBoostR2,20,0.1,1,4.187151696740338,2.992125552871039,4.533274986851659,2.9652991255294787
0,1,Hgv,475,TradaBoostR2,20,0.1,2,3.9151383589924222,2.6430230932005467,3.3817730767543854,2.417173097932019
0,2,Hgv,380,TradaBoostR2,10,0.1,1,3.672614252108177,2.7086763666740663,4.339842685699237,2.763681386884097
0,2,Hgv,475,TradaBoostR2,30,0.5,1,2.513935629265133,1.8220232660068063,2.4494683238132207,1.7804007522859402
0,2,Hgv,190,TradaBoostR2,20,0.5,1,2.7297010259444154,2.0589077021341726,2.9454897174306116,2.253863572281551
0,1,Hgv,285,TradaBoostR2,20,0.5,1,2.8031378164564336,2.077296728786573,3.1606112408937626,2.18291272469892
0,1,Hgv,665,TradaBoostR2,30,0.1,2,2.9440784786722647,2.0660857891520763,2.773589110270561,2.0879912264562264
0,1,Hgv,95,TradaBoostR2,30,0.1,2,4.886165847978107,3.569077063902267,5.530252834529458,3.509865981496865
0,1,Hgv,475,TradaBoostR2,20,0.5,1,2.742682007802006,2.0092874104987417,2.9204966335417146,2.127635103992832
0,2,Hgv,380,TradaBoostR2,10,0.1,2,3.716424245262868,2.6984645069148594,5.364326816614341,3.0887659849977327
0,1,Hgv,190,TradaBoostR2,20,0.1,2,7.43844411353168,3.838342136420698,13.672799968919213,4.770809670393405
0,2,Hgv,380,TradaBoostR2,10,0.5,1,2.362903093688027,1.7562710655644516,2.311905077073557,1.811830533233266
0,2,Hgv,95,TradaBoostR2,30,0.5,2,3.439710925819822,2.6923458842078016,3.7177216416250554,2.748891828008622
0,2,Hgv,285,TradaBoostR2,30,0.1,2,3.1275974192046907,2.3860662248534954,3.6505843156350126,2.6504562461685284
0,1,Hgv,95,TradaBoostR2,30,0.5,1,5.472193424785834,3.8952418805874838,6.4670748540367375,3.89259153243616
0,1,Hgv,665,TradaBoostR2,30,0.5,1,2.7261743265675342,2.083485004480896,2.6877895521173945,2.062269972448549
0,2,Hgv,190,TradaBoostR2,20,0.5,2,3.0718095839534127,2.2921535900211314,3.713671026964278,2.613377850016699
0,1,Hgv,570,TradaBoostR2,10,0.1,1,2.9633214435589705,2.23660952511705,2.8169202207894988,2.1644509603585256
0,1,Hgv,760,TradaBoostR2,30,0.1,2,2.670385746515265,1.984484806005812,2.5991516934205596,1.9614446270110042
0,1,Hgv,285,TradaBoostR2,20,0.5,2,3.3617242611741753,2.3925552369873593,4.368298985280391,2.74093418238921
0,2,Hgv,475,TradaBoostR2,30,0.5,2,2.4917491753195757,1.744435804639448,2.3045829303052865,1.6912166698150453
0,2,Hgv,380,TradaBoostR2,10,0.5,2,2.500535287298569,1.872539271520615,2.6527728675698237,1.9774928237363163
0,1,Hgv,190,TradaBoostR2,20,0.5,1,2.8277143726555645,2.1384575658099605,3.1020838074729067,2.237983914988807
0,2,Hgv,285,TradaBoostR2,30,0.5,1,2.4048020841905053,1.7742638114744036,2.4571696892347807,1.8312941187588672
0,1,Hgv,475,TradaBoostR2,20,0.5,2,2.7704049063360743,2.020718907541459,2.863978951905754,2.132155110395787
0,1,Hgv,570,TradaBoostR2,10,0.1,2,3.7748355033435947,2.5842836033165595,3.768779310918852,2.5833342943215962
0,2,Hgv,380,TradaBoostR2,20,0.1,1,3.470335466798264,2.479322674550509,3.8529869499755773,2.478869833991335
