,seed,target_column,target_instances,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
210,3,Hgv,95,TradaBoostR2,10,0.5,2,5.487821820528078,2.4745280429093937,4.976392573574621,2.398282350574807
211,3,Hgv,190,TradaBoostR2,10,0.1,1,16.85117947285604,2.6422746340380696,10.698327218584838,2.419318214632683
212,3,Hgv,285,TradaBoostR2,10,0.5,1,4.916735142657477,2.553210788051591,3.931081995977137,2.2776694349838125
213,3,Hgv,380,TradaBoostR2,10,0.1,2,2.736315076582007,1.8927039911988703,2.548162571600372,1.7380497128766337
214,2,Hgv,855,TradaBoostR2,20,0.1,2,2.3766954840289127,1.6226636458110286,2.20467512766555,1.577320025031613
215,2,Hgv,665,TradaBoostR2,20,0.1,1,2.07559716976751,1.4669747251340717,2.029197713276393,1.501114060854574
216,2,Hgv,950,TradaBoostR2,10,0.1,2,2.3042650988041835,1.579253075307378,2.1078690305875023,1.5683426524180826
217,3,Hgv,190,TradaBoostR2,10,0.1,2,3.119214525831582,1.9380280531830445,2.4498181134763635,1.7104017175590172
218,3,Hgv,380,TradaBoostR2,10,0.5,1,2.932735943283293,2.055679313798717,2.641439411912873,1.8631679978613869
219,3,Hgv,95,TradaBoostR2,20,0.1,1,2.8833660903216227,1.9280445553012715,3.7192344390699095,1.824044147491117
220,2,Hgv,760,TradaBoostR2,20,0.1,2,2.188858197079133,1.5501700667142833,2.249978271186915,1.616896684261736
221,3,Hgv,285,TradaBoostR2,10,0.5,2,4.0391856843425975,2.274364374990302,3.000908899642221,2.0015177638014943
222,2,Hgv,570,TradaBoostR2,30,0.1,2,2.236980402441968,1.6009135244238055,2.1815040403666583,1.6086978432926595
223,3,Hgv,190,TradaBoostR2,10,0.5,1,4.3937526215624025,2.482266777909152,3.162734523521224,2.0672463899015354
224,2,Hgv,950,TradaBoostR2,10,0.5,1,2.4067317870495746,1.778469203120192,2.395274847910565,1.801847257907553
225,2,Hgv,855,TradaBoostR2,20,0.5,1,2.7443566599308817,2.0244668604861644,2.6620733036295343,1.995714676360241
226,3,Hgv,380,TradaBoostR2,10,0.5,2,3.216443441551236,2.11793666202506,2.769855864184011,1.9174829459914389
227,3,Hgv,190,TradaBoostR2,10,0.5,2,2.9616205202603854,2.099943480667367,2.896213866493864,1.955779951647131
228,2,Hgv,760,TradaBoostR2,20,0.5,1,2.62813651165752,1.9282645000367955,2.350063435220892,1.814690221009633
229,3,Hgv,475,TradaBoostR2,10,0.1,1,2.5552378803059903,1.7804293309516872,3.983749740885651,1.6850895268021733
230,3,Hgv,285,TradaBoostR2,20,0.1,1,2.531304917330853,1.7718705267824004,2.2516635328052,1.550462338586008
231,2,Hgv,950,TradaBoostR2,10,0.5,2,2.361020131189484,1.7297744267507646,2.396434851086648,1.7678490161529934
232,2,Hgv,665,TradaBoostR2,20,0.1,2,2.069918217154353,1.475232089190014,2.0549691375911965,1.511050338044749
233,2,Hgv,570,TradaBoostR2,30,0.5,1,2.514117192181107,1.8399964415358627,2.410539063211052,1.854417409573836
234,3,Hgv,95,TradaBoostR2,20,0.1,2,4.502313698301402,2.1696054456746925,2.760864494786467,1.8106666719698457
235,3,Hgv,475,TradaBoostR2,10,0.1,2,2.6357911007787824,1.831026107569107,3.567936370002955,1.7251501840132926
236,3,Hgv,190,TradaBoostR2,20,0.1,1,2.640817610973226,1.8611351057998624,2.6474735767756994,1.78569059384992
237,3,Hgv,380,TradaBoostR2,20,0.1,1,2.5478584680971754,1.813466784081114,2.431197379563606,1.64263358775723
238,3,Hgv,475,TradaBoostR2,10,0.5,1,2.8576239447050606,2.0226606630717483,2.519203819534426,1.7557715185424116
239,2,Hgv,855,TradaBoostR2,20,0.5,2,2.5976683929527824,1.883278336810901,2.437776195195408,1.8359559280055875
240,2,Hgv,950,TradaBoostR2,20,0.1,1,2.130246273692934,1.5364753380561158,2.0764499924413515,1.556101949622935
241,3,Hgv,285,TradaBoostR2,20,0.1,2,3.344166119241641,1.9778090467165912,2.4206072365083124,1.670454750389436
242,3,Hgv,95,TradaBoostR2,20,0.5,1,3.6720590377441975,2.375826689965317,3.1502330885865093,2.184337056023512
243,2,Hgv,665,TradaBoostR2,20,0.5,1,2.641430707893385,1.9623664724227772,2.480015658052456,1.857887182191018
244,2,Hgv,760,TradaBoostR2,20,0.5,2,2.753355580937701,1.996669798270508,2.498233724142992,1.8717117532299967
245,3,Hgv,475,TradaBoostR2,10,0.5,2,3.184310870009895,2.074939886764343,2.6532079318026027,1.825024709836018
246,3,Hgv,190,TradaBoostR2,20,0.1,2,3.262354334555474,1.9977051401719492,2.480628832162983,1.6777318125069156
247,3,Hgv,285,TradaBoostR2,20,0.5,1,4.512205958993182,2.589821756268888,2.8414154694717846,2.096118847069792
248,3,Hgv,380,TradaBoostR2,20,0.1,2,2.896894182866776,2.0278237771990697,3.054360002026824,1.9583057577552712
249,2,Hgv,855,TradaBoostR2,30,0.1,1,2.2401252809031043,1.628349949453128,2.181589162981455,1.637206126233892
250,3,Hgv,475,TradaBoostR2,20,0.1,1,2.631519527034265,1.8475307110927872,2.406452661207421,1.656961476330272
251,2,Hgv,570,TradaBoostR2,30,0.5,2,2.6264552953888285,1.9100801107386087,2.47841414760161,1.83056284347964
252,3,Hgv,190,TradaBoostR2,20,0.5,1,5.7234931024963895,3.1551305534826275,3.9623280526783273,2.602410490199957
253,2,Hgv,760,TradaBoostR2,30,0.1,1,2.1714856341830666,1.547915347544211,2.1050740129250998,1.566055845346018
254,2,Hgv,950,TradaBoostR2,20,0.1,2,2.1463231962679528,1.5314781297164433,2.0505667740693854,1.5240542374827573
255,3,Hgv,95,TradaBoostR2,20,0.5,2,3.873911875007956,2.1813162211509867,2.783016112173517,1.9565444382787271
256,3,Hgv,380,TradaBoostR2,20,0.5,1,3.091799266728537,2.3084474725729254,2.9328445800724734,2.15860181793102
257,2,Hgv,665,TradaBoostR2,20,0.5,2,2.562159087918215,1.8608173529577523,2.5480098419555506,1.8089822687298884
258,3,Hgv,285,TradaBoostR2,20,0.5,2,6.12299151800985,2.723407933414149,3.90432157125597,2.2199819002875336
259,3,Hgv,570,TradaBoostR2,10,0.1,1,2.50322652010966,1.750462468037762,2.356273408428275,1.5772877212464198
260,3,Hgv,190,TradaBoostR2,20,0.5,2,5.740659420738361,2.902736979190581,4.148664089709466,2.45218175270746
261,2,Hgv,950,TradaBoostR2,20,0.5,1,2.593641567021692,1.9660351651888857,2.5795102568258974,1.9563355928028516
262,3,Hgv,475,TradaBoostR2,20,0.1,2,2.5816280095756245,1.7953043236611783,2.395385782153009,1.611804947759489
263,3,Hgv,570,TradaBoostR2,10,0.1,2,2.6952842179731307,1.8360860418982976,2.6374206666330213,1.74452199803632
264,3,Hgv,95,TradaBoostR2,30,0.1,1,2.8063472242380616,1.952855936664671,2.496508338686372,1.749762878969186
265,3,Hgv,380,TradaBoostR2,20,0.5,2,3.142308094930164,2.2011641120891534,3.1905390998778085,2.201938308390892
266,3,Hgv,570,TradaBoostR2,10,0.5,1,2.85608416676463,2.0600721796477437,2.510521330150223,1.8192929274867105
267,2,Hgv,855,TradaBoostR2,30,0.1,2,2.270923376279976,1.6487705893349365,2.0775598966188764,1.5449575692760682
268,3,Hgv,285,TradaBoostR2,30,0.1,1,2.549320939986059,1.8440920602198896,2.4172348576778253,1.664165973559346
269,3,Hgv,475,TradaBoostR2,20,0.5,1,3.221672628967001,2.312012723568112,2.835252935760111,2.074424781313489
270,2,Hgv,665,TradaBoostR2,30,0.1,1,2.178138754198961,1.5653695521818782,2.0660685055591874,1.5393183491789986
271,2,Hgv,760,TradaBoostR2,30,0.1,2,2.149321415081764,1.548283746216224,2.125976995907584,1.5580805535958893
272,3,Hgv,190,TradaBoostR2,30,0.1,1,2.752353738603347,1.9082709861180465,2.367329682121276,1.6381113501648332
273,3,Hgv,570,TradaBoostR2,10,0.5,2,2.9505062460443146,2.0237491690561846,2.767796851390296,1.9168746131633316
274,2,Hgv,950,TradaBoostR2,20,0.5,2,2.45355459986789,1.8307625018909903,2.3592349252468345,1.8018319953592012
275,3,Hgv,380,TradaBoostR2,30,0.1,1,2.702373920727541,1.9254690373500647,2.6857877998619046,1.7651417212895553
