,seed,disturbance_level,rmse,mae,tree_size,v,epochs
177,1.0,2.0,0.9757082667841122,0.7655753154054766,3.0,0.2,300.0
178,1.0,2.0,1.1638848646608877,0.9110089572960478,4.0,0.2,300.0
179,1.0,2.0,1.2942194030155167,1.0158614580567868,5.0,0.2,300.0
180,1.0,2.0,1.1863494390262608,0.9189127771559433,1.0,0.05,400.0
181,1.0,2.0,0.8701233542771869,0.684074141890369,2.0,0.05,400.0
182,1.0,2.0,0.9447858146695822,0.7482918299616936,3.0,0.05,400.0
183,1.0,2.0,1.1138731836403017,0.8737365185005732,4.0,0.05,400.0
184,1.0,2.0,1.299269336240722,1.0182622779518036,5.0,0.05,400.0
185,1.0,2.0,1.0234295879540303,0.7996837438496011,1.0,0.1,400.0
186,1.0,2.0,0.7858418754945312,0.6192966762692447,2.0,0.1,400.0
187,1.0,2.0,0.9808688880003301,0.7707135012660474,3.0,0.1,400.0
188,1.0,2.0,1.117430654269035,0.8806422430610513,4.0,0.1,400.0
189,1.0,2.0,1.3055264885690059,1.02651740612978,5.0,0.1,400.0
190,1.0,2.0,1.0062553848175255,0.7891173010902643,1.0,0.15,400.0
191,1.0,2.0,0.815021816524575,0.6473616080308319,2.0,0.15,400.0
192,1.0,2.0,0.9093171590348231,0.716355509979337,3.0,0.15,400.0
193,1.0,2.0,1.1316796096542634,0.8886013700113017,4.0,0.15,400.0
194,1.0,2.0,1.261021081189195,0.9917955786664532,5.0,0.15,400.0
195,1.0,2.0,1.0160197720128592,0.7989916463488008,1.0,0.2,400.0
196,1.0,2.0,0.7868502166532005,0.6203457198033707,2.0,0.2,400.0
197,1.0,2.0,0.9746299571200284,0.7645273493370791,3.0,0.2,400.0
198,1.0,2.0,1.1638708446476678,0.9109975292373865,4.0,0.2,400.0
199,1.0,2.0,1.2942194030242409,1.015861456864694,5.0,0.2,400.0
200,1.0,2.0,1.1040004316405074,0.8584837943451603,1.0,0.05,500.0
201,1.0,2.0,0.8406564232374693,0.6618668494551297,2.0,0.05,500.0
202,1.0,2.0,0.9399051982412702,0.7445316077087888,3.0,0.05,500.0
203,1.0,2.0,1.113017820647384,0.8730248591084632,4.0,0.05,500.0
204,1.0,2.0,1.299000541344352,1.0179574164120115,5.0,0.05,500.0
205,1.0,2.0,1.0134848017450802,0.7924739058035274,1.0,0.1,500.0
206,1.0,2.0,0.7745123748744037,0.6103786336180358,2.0,0.1,500.0
207,1.0,2.0,0.9787934870004236,0.7690281935435954,3.0,0.1,500.0
208,1.0,2.0,1.1172565538467978,0.8805350170191701,4.0,0.1,500.0
209,1.0,2.0,1.3055286268649957,1.0265189026557004,5.0,0.1,500.0
210,1.0,2.0,1.004538514210953,0.7877495917639559,1.0,0.15,500.0
211,1.0,2.0,0.8118476003133486,0.6448209842605718,2.0,0.15,500.0
212,1.0,2.0,0.9092331046601245,0.7162846309593504,3.0,0.15,500.0
213,1.0,2.0,1.1316791484995952,0.8885980124220568,4.0,0.15,500.0
214,1.0,2.0,1.2610210816892233,0.991795581050639,5.0,0.15,500.0
215,1.0,2.0,1.0160386672887038,0.7987243150499898,1.0,0.2,500.0
216,1.0,2.0,0.7831537703109315,0.6172440585365537,2.0,0.2,500.0
217,1.0,2.0,0.9747413670123527,0.7645900480604,3.0,0.2,500.0
218,1.0,2.0,1.1638708435644536,0.9109975268532007,4.0,0.2,500.0
219,1.0,2.0,1.294219403032998,1.015861455672601,5.0,0.2,500.0
220,1.0,2.0,1.0586013057788486,0.8259732819619767,1.0,0.05,600.0
221,1.0,2.0,0.824104974609467,0.6493079262643406,2.0,0.05,600.0
222,1.0,2.0,0.9366948672439865,0.7419265717598749,3.0,0.05,600.0
223,1.0,2.0,1.1125517400877678,0.8727537793666804,4.0,0.05,600.0
224,1.0,2.0,1.2988929973384489,1.0178161512637454,5.0,0.05,600.0
225,1.0,2.0,1.009923279787352,0.790180879724978,1.0,0.1,600.0
226,1.0,2.0,0.7647453860132739,0.6026670675451525,2.0,0.1,600.0
227,1.0,2.0,0.9782050214745587,0.7686342365413391,3.0,0.1,600.0
228,1.0,2.0,1.11709392239228,0.8804016222668215,4.0,0.1,600.0
229,1.0,2.0,1.3055286268649957,1.0265189026557004,5.0,0.1,600.0
230,1.0,2.0,1.0034030301617387,0.7865919621738708,1.0,0.15,600.0
231,1.0,2.0,0.8090840197078704,0.6427138946284081,2.0,0.15,600.0
232,1.0,2.0,0.9090772755552985,0.7161474561660661,3.0,0.15,600.0
233,1.0,2.0,1.1316791320918824,0.8885979911551196,4.0,0.15,600.0
234,1.0,2.0,1.261021082189274,0.9917955834348248,5.0,0.15,600.0
235,1.0,2.0,1.0176144084081205,0.7997742537644803,1.0,0.2,600.0
236,1.0,2.0,0.7812305482100121,0.61572793529287,2.0,0.2,600.0
237,1.0,2.0,0.9746306092071073,0.764486826563341,3.0,0.2,600.0
238,1.0,2.0,1.1638708424812638,0.9109975244690149,4.0,0.2,600.0
239,1.0,2.0,1.294219403034051,1.0158614555295498,5.0,0.2,600.0
240,1.0,3.0,2.309603963140689,1.8495893847312488,1.0,0.05,100.0
241,1.0,3.0,1.5347561526514808,1.2258785813324296,2.0,0.05,100.0
242,1.0,3.0,1.347383096918582,1.079389237983106,3.0,0.05,100.0
243,1.0,3.0,1.2483577881828976,0.9906667620317138,4.0,0.05,100.0
244,1.0,3.0,1.3580260302264642,1.0731727030328613,5.0,0.05,100.0
245,1.0,3.0,1.6817536685626557,1.3347840368193815,1.0,0.1,100.0
246,1.0,3.0,1.0292239708995679,0.8173354027178336,2.0,0.1,100.0
247,1.0,3.0,1.0429079322457795,0.82687776732272,3.0,0.1,100.0
248,1.0,3.0,1.142116972533092,0.9019675605699089,4.0,0.1,100.0
249,1.0,3.0,1.2717794441714754,0.9997646862923572,5.0,0.1,100.0
250,1.0,3.0,1.3359489176704782,1.0548324770987991,1.0,0.15,100.0
251,1.0,3.0,0.9105050977450525,0.7208661843456601,2.0,0.15,100.0
252,1.0,3.0,1.0243024521760464,0.8137789923935171,3.0,0.15,100.0
253,1.0,3.0,1.1667282821009615,0.9192888705557474,4.0,0.15,100.0
254,1.0,3.0,1.245342612880172,0.9794163221876387,5.0,0.15,100.0
255,1.0,3.0,1.1528071325583262,0.908224106646208,1.0,0.2,100.0
256,1.0,3.0,0.8825615033656542,0.699248974306482,2.0,0.2,100.0
257,1.0,3.0,1.0488255423215473,0.8290175591059505,3.0,0.2,100.0
258,1.0,3.0,1.1480827593874077,0.9010004784640181,4.0,0.2,100.0
259,1.0,3.0,1.277484389986784,1.0080785606867948,5.0,0.2,100.0
260,1.0,3.0,1.6970457553597793,1.3472925394043413,1.0,0.05,200.0
261,1.0,3.0,1.0429787749429054,0.8271302588417164,2.0,0.05,200.0
262,1.0,3.0,1.0670134721863167,0.849485306943606,3.0,0.05,200.0
263,1.0,3.0,1.1002588555431938,0.8665171477570628,4.0,0.05,200.0
264,1.0,3.0,1.2713870543208392,1.0018648642105858,5.0,0.05,200.0
265,1.0,3.0,1.1715244696910465,0.9239979932728134,1.0,0.1,200.0
266,1.0,3.0,0.8319039748154263,0.66026860540661,2.0,0.1,200.0
267,1.0,3.0,0.9940819319300727,0.786574558589221,3.0,0.1,200.0
268,1.0,3.0,1.1206089388155418,0.8842722341127808,4.0,0.1,200.0
269,1.0,3.0,1.2642947751736409,0.9934217364415554,5.0,0.1,200.0
270,1.0,3.0,1.0184032188591063,0.8032669251166493,1.0,0.15,200.0
271,1.0,3.0,0.8385457679775891,0.6649702028295981,2.0,0.15,200.0
272,1.0,3.0,0.9967410931482197,0.7909987866118988,3.0,0.15,200.0
273,1.0,3.0,1.159392351065595,0.9134597879385992,4.0,0.15,200.0
274,1.0,3.0,1.2447235884873238,0.9789356040555158,5.0,0.15,200.0
275,1.0,3.0,0.9859618377418632,0.7778424504603351,1.0,0.2,200.0
276,1.0,3.0,0.8387648184305909,0.6647257812616997,2.0,0.2,200.0
277,1.0,3.0,1.0409747087552372,0.822371689128146,3.0,0.2,200.0
278,1.0,3.0,1.1454230676234691,0.8986252107728998,4.0,0.2,200.0
279,1.0,3.0,1.276855422922094,1.0076221202588465,5.0,0.2,200.0
280,1.0,3.0,1.3679833655466418,1.080507678130029,1.0,0.05,300.0
281,1.0,3.0,0.8946517414508,0.708111321959719,2.0,0.05,300.0
282,1.0,3.0,1.021047172367199,0.8122665568300966,3.0,0.05,300.0
283,1.0,3.0,1.0857210987343677,0.8545071020611791,4.0,0.05,300.0
284,1.0,3.0,1.2653509966611167,0.9967826158849535,5.0,0.05,300.0
285,1.0,3.0,1.024960493485257,0.809050860062631,1.0,0.1,300.0
286,1.0,3.0,0.8065410916068694,0.6387963285800522,2.0,0.1,300.0
287,1.0,3.0,0.9823570095351748,0.7768374896908372,3.0,0.1,300.0
288,1.0,3.0,1.1180589916956722,0.8819798427441056,4.0,0.1,300.0
289,1.0,3.0,1.2632724200823757,0.9925532335614083,5.0,0.1,300.0
290,1.0,3.0,0.9729187669767049,0.7648322129226437,1.0,0.15,300.0
291,1.0,3.0,0.8147700461589499,0.6464767969961839,2.0,0.15,300.0
292,1.0,3.0,0.9901662564326409,0.7855892053730169,3.0,0.15,300.0
293,1.0,3.0,1.1580972054837562,0.9123438832634727,4.0,0.15,300.0
294,1.0,3.0,1.2445968242274088,0.9788333857723525,5.0,0.15,300.0
295,1.0,3.0,0.9711827596655912,0.7642550280495228,1.0,0.2,300.0
296,1.0,3.0,0.8185946018963463,0.6492110430130065,2.0,0.2,300.0
297,1.0,3.0,1.0397019477989495,0.8212597381483613,3.0,0.2,300.0
298,1.0,3.0,1.1453928551432437,0.8985394169788273,4.0,0.2,300.0
299,1.0,3.0,1.276855290061846,1.0076219795918846,5.0,0.2,300.0
300,1.0,3.0,1.181472680323708,0.93102181437974,1.0,0.05,400.0
301,1.0,3.0,0.8534744072329181,0.6748464445937673,2.0,0.05,400.0
302,1.0,3.0,1.0058014391862906,0.7998443606166494,3.0,0.05,400.0
303,1.0,3.0,1.0812803353791236,0.8508130691086255,4.0,0.05,400.0
304,1.0,3.0,1.2640864108471308,0.995721185439205,5.0,0.05,400.0
305,1.0,3.0,0.9827758257895781,0.7744291962252562,1.0,0.1,400.0
306,1.0,3.0,0.7915466134463814,0.6268518575948034,2.0,0.1,400.0
307,1.0,3.0,0.979673709808946,0.7742931305894527,3.0,0.1,400.0
308,1.0,3.0,1.1168175628263777,0.8809285345777087,4.0,0.1,400.0
309,1.0,3.0,1.2632059548580492,0.9924954060603944,5.0,0.1,400.0
310,1.0,3.0,0.9641997580175852,0.7566225820132281,1.0,0.15,400.0
311,1.0,3.0,0.801756624584097,0.6365947037090733,2.0,0.15,400.0
312,1.0,3.0,0.9874111699542146,0.783062821073396,3.0,0.15,400.0
313,1.0,3.0,1.1577854026450907,0.9121252916472419,4.0,0.15,400.0
314,1.0,3.0,1.2445969728934008,0.9788335288234999,5.0,0.15,400.0
315,1.0,3.0,0.9663976957888755,0.759816645590843,1.0,0.2,400.0
316,1.0,3.0,0.8138700867880947,0.6456416934128262,2.0,0.2,400.0
317,1.0,3.0,1.0388315329667102,0.8204596205720228,3.0,0.2,400.0
318,1.0,3.0,1.1453981575270473,0.8985377644832097,4.0,0.2,400.0
319,1.0,3.0,1.2768551572051006,1.007621838924923,5.0,0.2,400.0
320,1.0,3.0,1.0808149913031027,0.8519430867752893,1.0,0.05,500.0
