,seed,disturbance_level,rmse,mae,target_tree_size,v,epochs,method
29,1,1,2.4527357338726476,1.970486174297607,5,0.08,1000,Baseline (XGBoost)
30,1,1,2.0277993174936046,1.5982809783699363,1,0.1,1000,Baseline (XGBoost)
31,1,1,2.0555004059857533,1.6366485442546386,2,0.1,1000,Baseline (XGBoost)
32,1,1,2.1768625545393925,1.7450604431374306,3,0.1,1000,Baseline (XGBoost)
33,1,1,2.3212263410285,1.8597336953680774,4,0.1,1000,Baseline (XGBoost)
34,1,1,2.3754289812219995,1.910428210876047,5,0.1,1000,Baseline (XGBoost)
35,1,1,1.9943987926546978,1.5645499822804496,1,0.12,1000,Baseline (XGBoost)
36,1,1,2.0924836506884334,1.6662155371855674,2,0.12,1000,Baseline (XGBoost)
37,1,1,2.249635945492866,1.8032042657153518,3,0.12,1000,Baseline (XGBoost)
38,1,1,2.328059256985455,1.864691066115821,4,0.12,1000,Baseline (XGBoost)
39,1,1,2.4387801575273524,1.95538780523145,5,0.12,1000,Baseline (XGBoost)
40,1,1,2.0338001664254968,1.5958476516661033,1,0.15,1000,Baseline (XGBoost)
41,1,1,2.037646835522125,1.6249438583570617,2,0.15,1000,Baseline (XGBoost)
42,1,1,2.261724202020209,1.8179253904031303,3,0.15,1000,Baseline (XGBoost)
43,1,1,2.346089668098697,1.8751507146990334,4,0.15,1000,Baseline (XGBoost)
44,1,1,2.4545477603881496,1.9652045663489535,5,0.15,1000,Baseline (XGBoost)
45,2,1,2.195708747079801,1.7503822442414836,1,0.005,1000,Baseline (XGBoost)
46,2,1,1.8616989757676272,1.481656305664887,2,0.005,1000,Baseline (XGBoost)
47,2,1,1.9748066131804092,1.561821770935027,3,0.005,1000,Baseline (XGBoost)
48,2,1,2.1158701988637136,1.6848364018476827,4,0.005,1000,Baseline (XGBoost)
49,2,1,2.4399576325048318,1.9454475423791668,5,0.005,1000,Baseline (XGBoost)
50,2,1,1.7625767134924664,1.4005982433050022,1,0.01,1000,Baseline (XGBoost)
51,2,1,1.639341083166942,1.2967264056287944,2,0.01,1000,Baseline (XGBoost)
52,2,1,1.9083362577249268,1.5093391938917748,3,0.01,1000,Baseline (XGBoost)
53,2,1,2.0841278122699083,1.6584856059046704,4,0.01,1000,Baseline (XGBoost)
54,2,1,2.4376498282117396,1.9437398658047214,5,0.01,1000,Baseline (XGBoost)
55,2,1,1.5413610330735665,1.2169637946138374,1,0.02,1000,Baseline (XGBoost)
56,2,1,1.6338209611596946,1.2912940820746825,2,0.02,1000,Baseline (XGBoost)
57,2,1,1.9023239395861102,1.5058147308890315,3,0.02,1000,Baseline (XGBoost)
58,2,1,2.0966597440117467,1.6651446914470525,4,0.02,1000,Baseline (XGBoost)
59,2,1,2.441728512644583,1.9484424177846036,5,0.02,1000,Baseline (XGBoost)
60,2,1,1.5462720852279013,1.2221149945792786,1,0.03,1000,Baseline (XGBoost)
61,2,1,1.64227415306849,1.3012105727638372,2,0.03,1000,Baseline (XGBoost)
62,2,1,1.948498444901773,1.5428431148300659,3,0.03,1000,Baseline (XGBoost)
63,2,1,2.13782547411393,1.7086616305795514,4,0.03,1000,Baseline (XGBoost)
64,2,1,2.4304467808438566,1.9404124068971877,5,0.03,1000,Baseline (XGBoost)
65,2,1,1.5492092826384678,1.2241059718009746,1,0.05,1000,Baseline (XGBoost)
66,2,1,1.6210997729677306,1.2854221583543872,2,0.05,1000,Baseline (XGBoost)
67,2,1,1.9390117410050796,1.5361053302493954,3,0.05,1000,Baseline (XGBoost)
68,2,1,2.11707949227161,1.6970911142902851,4,0.05,1000,Baseline (XGBoost)
69,2,1,2.414035092920676,1.9309641203361805,5,0.05,1000,Baseline (XGBoost)
70,2,1,1.5220417205613008,1.202651817271385,1,0.08,1000,Baseline (XGBoost)
71,2,1,1.6320046987773449,1.2861908168110046,2,0.08,1000,Baseline (XGBoost)
72,2,1,1.9610222043188936,1.5600578610292857,3,0.08,1000,Baseline (XGBoost)
73,2,1,2.081246261281878,1.6576650571233342,4,0.08,1000,Baseline (XGBoost)
74,2,1,2.310547752972657,1.8511883057791116,5,0.08,1000,Baseline (XGBoost)
75,2,1,1.5253034923018287,1.2023730101274521,1,0.1,1000,Baseline (XGBoost)
76,2,1,1.6329142928757816,1.2843966774061473,2,0.1,1000,Baseline (XGBoost)
77,2,1,1.9604114806828656,1.547235247977589,3,0.1,1000,Baseline (XGBoost)
78,2,1,2.143868160010647,1.7041214504921878,4,0.1,1000,Baseline (XGBoost)
79,2,1,2.349833600215281,1.8757829230617344,5,0.1,1000,Baseline (XGBoost)
80,2,1,1.5058731923900606,1.1880625433646645,1,0.12,1000,Baseline (XGBoost)
81,2,1,1.6392280063973619,1.2942114973577457,2,0.12,1000,Baseline (XGBoost)
82,2,1,1.9403843750855079,1.5485081417305464,3,0.12,1000,Baseline (XGBoost)
83,2,1,2.12622023494372,1.7047268198026972,4,0.12,1000,Baseline (XGBoost)
84,2,1,2.3303490758152337,1.8685182937864497,5,0.12,1000,Baseline (XGBoost)
85,2,1,1.5360016367185871,1.2133783977897428,1,0.15,1000,Baseline (XGBoost)
86,2,1,1.6411210990677225,1.295234429838167,2,0.15,1000,Baseline (XGBoost)
87,2,1,1.9521927059859279,1.561510924638163,3,0.15,1000,Baseline (XGBoost)
88,2,1,2.192646196337992,1.7591914632304297,4,0.15,1000,Baseline (XGBoost)
89,2,1,2.3815310046974845,1.9001982570387301,5,0.15,1000,Baseline (XGBoost)
90,3,1,2.483186595341394,1.9762596162969648,1,0.005,1000,Baseline (XGBoost)
91,3,1,2.2277979556941294,1.7674556686559963,2,0.005,1000,Baseline (XGBoost)
