,seed,lr,n_estimators,tree_size,rmse,mae
265,863.0,1.0,10.0,2.0,216.32468627381763,173.9117080736408
266,863.0,1.0,10.0,3.0,196.15059840817298,160.62206831881588
267,863.0,1.0,10.0,4.0,197.5938447124466,162.60317170345022
268,863.0,1.0,20.0,1.0,215.32173910766628,182.46938900115208
269,863.0,1.0,20.0,2.0,206.27696736264298,175.55520217112965
270,863.0,1.0,20.0,3.0,212.16641067235014,175.0966281657124
271,863.0,1.0,20.0,4.0,207.3026636133048,170.15106590141286
272,863.0,1.0,30.0,1.0,149.48941684895487,131.20309995430392
273,863.0,1.0,30.0,2.0,205.4665147679914,175.23704250008404
274,863.0,1.0,30.0,3.0,210.6091007017276,174.1902112019135
275,863.0,1.0,30.0,4.0,204.18769737108335,172.0763647395911
276,863.0,1.0,50.0,1.0,149.48941684895487,131.20309995430392
277,863.0,1.0,50.0,2.0,206.53526262006753,166.83689605729398
278,863.0,1.0,50.0,3.0,207.1996900843666,168.11282460775368
279,863.0,1.0,50.0,4.0,209.96791372790335,175.62625480545216
280,863.0,1.0,100.0,1.0,152.84831647126057,132.4247011663619
281,863.0,1.0,100.0,2.0,161.9043115377639,136.0155971152608
282,863.0,1.0,100.0,3.0,205.87606324128993,167.80828600263771
283,863.0,1.0,100.0,4.0,208.26599770827082,175.0685552847828
284,863.0,1.0,150.0,1.0,155.24825880621125,131.921399950138
285,863.0,1.0,150.0,2.0,164.03914073671962,138.30628733064935
286,863.0,1.0,150.0,3.0,203.74787826606232,168.89457155309012
287,863.0,1.0,150.0,4.0,209.85288399529855,173.27679638806018
288,864.0,0.1,10.0,1.0,200.03922169879147,170.12056446371858
289,864.0,0.1,10.0,2.0,197.29279493814565,167.71329032287377
290,864.0,0.1,10.0,3.0,185.54762925334967,157.90775055607747
291,864.0,0.1,10.0,4.0,190.62405153464732,162.5418651508825
292,864.0,0.1,20.0,1.0,200.03922169879147,170.12056446371858
293,864.0,0.1,20.0,2.0,202.90573947358894,173.73236310033948
294,864.0,0.1,20.0,3.0,199.63696771623614,169.1580492166181
295,864.0,0.1,20.0,4.0,190.6028493516051,160.50926539643015
296,864.0,0.1,30.0,1.0,200.03922169879147,170.12056446371858
297,864.0,0.1,30.0,2.0,203.09885847094597,173.94089112990022
298,864.0,0.1,30.0,3.0,195.0379774614045,165.10472118558152
299,864.0,0.1,30.0,4.0,196.44681215017147,166.31113863266248
300,864.0,0.1,50.0,1.0,209.0829138177459,182.2406393703451
301,864.0,0.1,50.0,2.0,202.54078427454346,173.44270259427262
302,864.0,0.1,50.0,3.0,198.4304810159904,169.22532933931444
303,864.0,0.1,50.0,4.0,194.33989531984022,164.69984728547078
304,864.0,0.1,100.0,1.0,202.18526489185197,173.0769262484077
305,864.0,0.1,100.0,2.0,192.35716988290696,162.15893049915036
306,864.0,0.1,100.0,3.0,191.47347358706307,164.66474346407952
307,864.0,0.1,100.0,4.0,187.8313467927345,161.9493293714885
308,864.0,0.1,150.0,1.0,193.96491543507753,166.6979256922603
309,864.0,0.1,150.0,2.0,195.37319636211868,164.29026107978717
310,864.0,0.1,150.0,3.0,192.06936063441694,164.94483356761674
311,864.0,0.1,150.0,4.0,193.48833827477748,166.11675524140796
312,864.0,0.5,10.0,1.0,209.0829138177459,182.2406393703451
313,864.0,0.5,10.0,2.0,202.8510636307504,173.71944089405227
314,864.0,0.5,10.0,3.0,200.29468073127597,171.45115048681427
315,864.0,0.5,10.0,4.0,194.21804085299726,163.9040666246301
316,864.0,0.5,20.0,1.0,202.18779507232776,173.1013080073463
317,864.0,0.5,20.0,2.0,194.24299553225106,163.67470865578497
318,864.0,0.5,20.0,3.0,186.5525563625798,160.65550930992453
319,864.0,0.5,20.0,4.0,190.65137303579044,164.3024636361619
320,864.0,0.5,30.0,1.0,193.62331702490695,167.36777745214687
321,864.0,0.5,30.0,2.0,196.20118370201453,166.36172344622287
322,864.0,0.5,30.0,3.0,193.96364515346565,166.80764847321075
323,864.0,0.5,30.0,4.0,196.79099549267605,168.7229647585895
324,864.0,0.5,50.0,1.0,154.66902127491596,139.29846874545777
325,864.0,0.5,50.0,2.0,192.83299359843852,167.12086924045127
326,864.0,0.5,50.0,3.0,189.17744024675739,162.90994325550145
327,864.0,0.5,50.0,4.0,198.90393963315447,169.851963641322
328,864.0,0.5,100.0,1.0,209.0829138177459,182.2406393703451
329,864.0,0.5,100.0,2.0,158.09987727049068,131.28174803721788
330,864.0,0.5,100.0,3.0,187.38521714102947,162.73912502046917
331,864.0,0.5,100.0,4.0,197.31951694740542,171.38457439301683
332,864.0,0.5,150.0,1.0,209.0829138177459,182.2406393703451
333,864.0,0.5,150.0,2.0,199.8915732649841,174.08854540802122
334,864.0,0.5,150.0,3.0,196.90930335547824,171.54609075550118
335,864.0,0.5,150.0,4.0,195.4302631165953,169.1331741080274
336,864.0,1.0,10.0,1.0,199.8741812266108,169.9312347998146
337,864.0,1.0,10.0,2.0,193.51511702477305,163.16664537483467
338,864.0,1.0,10.0,3.0,189.85214779430584,162.33155501252688
339,864.0,1.0,10.0,4.0,184.28875050337598,158.93977318160617
340,864.0,1.0,20.0,1.0,193.6983369005505,167.3088293577045
341,864.0,1.0,20.0,2.0,195.97329390504333,169.6047529132068
342,864.0,1.0,20.0,3.0,196.4057462659535,171.58286172222722
343,864.0,1.0,20.0,4.0,193.4126423002908,164.52098017335726
344,864.0,1.0,30.0,1.0,154.66902127491596,139.29846874545777
345,864.0,1.0,30.0,2.0,186.3371187678508,161.45970061911297
346,864.0,1.0,30.0,3.0,191.60966223363178,164.4235744898908
347,864.0,1.0,30.0,4.0,196.0836358456089,167.04180463278905
