,n_samples,time (s),Method
235,500,3.7185659408569336,LAD
236,500,3.8183629512786865,LAD
237,500,3.9075913429260254,LAD
238,500,3.833252191543579,LAD
239,500,3.7383058071136475,LAD
240,500,3.728748083114624,LAD
241,500,3.68390154838562,LAD
242,500,3.684654474258423,LAD
243,500,3.707383394241333,LAD
244,500,3.6843390464782715,LAD
245,500,3.670948028564453,LAD
246,500,3.711719036102295,LAD
247,500,3.7959156036376953,LAD
248,500,3.6468896865844727,LAD
249,500,3.657938241958618,LAD
250,600,4.738053798675537,LAD
251,600,4.7077062129974365,LAD
252,600,4.722811937332153,LAD
253,600,4.697900056838989,LAD
254,600,4.734063148498535,LAD
255,600,4.679311752319336,LAD
256,600,4.713832378387451,LAD
257,600,4.724943399429321,LAD
258,600,4.670502424240112,LAD
259,600,4.689158201217651,LAD
260,600,4.81421685218811,LAD
261,600,4.848304510116577,LAD
262,600,4.870014905929565,LAD
263,600,4.8860697746276855,LAD
264,600,4.896643877029419,LAD
265,600,4.926772356033325,LAD
266,600,4.944691181182861,LAD
267,600,4.927513122558594,LAD
268,600,4.947164535522461,LAD
269,600,4.918744802474976,LAD
270,600,4.9609997272491455,LAD
271,600,4.8621039390563965,LAD
272,600,4.902112007141113,LAD
273,600,4.606786012649536,LAD
274,600,4.800207853317261,LAD
275,600,4.779006481170654,LAD
276,600,4.798601150512695,LAD
277,600,4.869730710983276,LAD
278,600,4.876140832901001,LAD
279,600,4.8526811599731445,LAD
280,600,4.831195116043091,LAD
281,600,4.80189847946167,LAD
282,600,4.839430809020996,LAD
283,600,4.843767166137695,LAD
284,600,4.8564252853393555,LAD
285,600,4.83449649810791,LAD
286,600,4.693126916885376,LAD
287,600,4.679439306259155,LAD
288,600,4.739120960235596,LAD
289,600,4.766759157180786,LAD
290,600,4.756480693817139,LAD
291,600,4.70301079750061,LAD
292,600,4.711462020874023,LAD
293,600,4.766647100448608,LAD
294,600,4.760518312454224,LAD
295,600,4.865600109100342,LAD
296,600,4.9141809940338135,LAD
297,600,5.009668827056885,LAD
298,600,4.7825281620025635,LAD
299,600,4.789652347564697,LAD
300,700,5.6370320320129395,LAD
301,700,5.660660743713379,LAD
302,700,5.645705699920654,LAD
303,700,5.687525272369385,LAD
304,700,5.717838764190674,LAD
305,700,5.822721719741821,LAD
306,700,5.869098663330078,LAD
307,700,5.870086908340454,LAD
308,700,5.928793430328369,LAD
309,700,5.901299238204956,LAD
310,700,5.963401794433594,LAD
311,700,5.902699947357178,LAD
312,700,5.857700824737549,LAD
313,700,5.810010671615601,LAD
314,700,5.849524259567261,LAD
315,700,5.9598541259765625,LAD
316,700,6.138720512390137,LAD
317,700,5.679489612579346,LAD
318,700,5.810812711715698,LAD
319,700,5.675144195556641,LAD
320,700,5.668165445327759,LAD
321,700,5.637055397033691,LAD
322,700,5.5794408321380615,LAD
323,700,5.632272720336914,LAD
324,700,5.744359731674194,LAD
325,700,5.788934946060181,LAD
326,700,5.887742757797241,LAD
327,700,5.839689493179321,LAD
328,700,5.806522369384766,LAD
329,700,5.7436113357543945,LAD
330,700,5.611706256866455,LAD
331,700,5.627855062484741,LAD
332,700,5.648974657058716,LAD
333,700,5.719108581542969,LAD
334,700,5.6939826011657715,LAD
335,700,5.641845464706421,LAD
336,700,5.773144245147705,LAD
337,700,5.743213415145874,LAD
338,700,5.578338623046875,LAD
339,700,5.760365962982178,LAD
340,700,5.6060755252838135,LAD
341,700,5.59180474281311,LAD
342,700,5.582655668258667,LAD
343,700,5.628483057022095,LAD
344,700,5.589219331741333,LAD
345,700,5.601605653762817,LAD
346,700,5.760658025741577,LAD
347,700,5.842092990875244,LAD
348,700,5.876774072647095,LAD
349,700,5.904424428939819,LAD
350,800,7.248802185058594,LAD
351,800,6.898118495941162,LAD
352,800,6.9898152351379395,LAD
353,800,7.019766569137573,LAD
354,800,6.940126657485962,LAD
355,800,6.9599316120147705,LAD
356,800,6.897933483123779,LAD
357,800,7.039708137512207,LAD
358,800,6.926454782485962,LAD
359,800,6.8349316120147705,LAD
360,800,6.8940253257751465,LAD
361,800,6.793540954589844,LAD
362,800,6.611447334289551,LAD
363,800,6.464092016220093,LAD
364,800,6.492392301559448,LAD
365,800,6.798614978790283,LAD
366,800,6.568200349807739,LAD
367,800,6.719934701919556,LAD
368,800,6.945639133453369,LAD
369,800,6.869955539703369,LAD
370,800,6.874261856079102,LAD
371,800,6.857190132141113,LAD
372,800,6.681658744812012,LAD
373,800,6.672606468200684,LAD
374,800,6.758087873458862,LAD
375,800,6.938870191574097,LAD
376,800,6.8058764934539795,LAD
377,800,6.54394268989563,LAD
378,800,6.477196455001831,LAD
379,800,6.707260370254517,LAD
380,800,6.851205587387085,LAD
381,800,6.816342115402222,LAD
