,seed,target_instances,d,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
0,1,100,4,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.061684033727931,1.639627575702985,2.145187927166758,1.708685435204413
0,1,100,6,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.061684033727931,1.639627575702985,2.145187927166758,1.708685435204413
0,1,100,1,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1.4652301534955936,1.1759585946477313,1.508108382127953,1.2092160852408906
0,1,100,5,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.061684033727931,1.639627575702985,2.145187927166758,1.708685435204413
0,1,100,3,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.003383468385657,1.5969417460086996,2.084049043785669,1.661966273306647
0,1,100,9,LSTransferTreeBoost,0.05,2,1,0.05,0.5,1.986221076709847,1.5762645929990224,2.080126101993644,1.652035391204745
0,1,100,1,LSTransferTreeBoost,0.05,2,1,0.05,0.5,2.4994252119163454,2.0494174145622197,2.5519946546394383,2.0747138681219153
0,1,100,8,LSTransferTreeBoost,0.05,2,1,0.05,0.5,2.0573797822884328,1.6350862762570906,2.151045143184995,1.7184150707664128
0,1,100,10,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1.994377386000597,1.5957113653578205,2.0709740599449034,1.6537686530480307
0,1,100,7,LSTransferTreeBoost,0.05,2,1,0.05,0.5,2.045934308238206,1.6261237513183828,2.132469479894984,1.6997972095387686
0,1,100,3,LSTransferTreeBoost,0.05,2,1,0.05,0.5,2.0589418807557838,1.6370449083501353,2.1421201630512217,1.7085004089466314
0,1,100,9,LSTransferTreeBoost,0.05,2,1,0.05,0.9,1.9904859098074723,1.5872527929951648,2.0899875633862792,1.6623273228282487
0,1,100,2,LSTransferTreeBoost,0.05,2,1,0.05,0.5,1.9440186699255357,1.557092107664279,2.025155082695974,1.6222816087838374
0,1,100,8,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.052302346397241,1.632717805091404,2.1447788009172966,1.7147635468730476
0,1,100,4,LSTransferTreeBoost,0.05,2,1,0.05,0.5,2.0490968098108087,1.6334939172164102,2.126764393775589,1.691590312674282
0,1,100,6,LSTransferTreeBoost,0.05,2,1,0.05,0.5,2.0490968098108087,1.6334939172164102,2.126764393775589,1.691590312674282
0,1,100,5,LSTransferTreeBoost,0.05,2,1,0.05,0.5,2.0490968098108087,1.6334939172164102,2.126764393775589,1.691590312674282
0,1,100,1,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.070109345256264,1.673487447229809,2.108297742525015,1.699331856098048
0,1,100,8,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.9485306072242132,1.5589919415056197,2.0138613689893945,1.587496554936573
0,1,100,10,LSTransferTreeBoost,0.05,2,1,0.05,0.5,1.9914391365372346,1.5944202160777017,2.0653170622304695,1.64888400408654
0,1,100,7,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.065896264496201,1.639231402516883,2.155255524434796,1.7177700485813994
0,1,100,9,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.8736673993632982,1.5120110636766626,1.9504598060641556,1.5381410234542918
0,1,100,3,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.018362748688922,1.607287852146162,2.1015498137163835,1.6754057953244899
0,1,100,1,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.6398031788286762,1.311469464713547,1.6811489471608227,1.3530327824356012
0,1,100,8,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1.9624317274084206,1.5795373087109874,2.0322463313329417,1.598130774056739
0,1,100,7,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.9456568172984734,1.5605777278358928,1.995320947220636,1.56879204519319
0,1,100,2,LSTransferTreeBoost,0.05,2,1,0.05,0.9,1.9320242482934404,1.5447202785520695,2.013278028948942,1.6143037160565386
0,1,100,9,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1.8763599587200601,1.5194678068795155,1.967518694947115,1.5563295110730548
0,1,100,4,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.0459647197334445,1.6299623154651741,2.124987439946517,1.688724992373373
0,1,100,8,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1.9853901203739617,1.5805930565931232,2.0472709827127478,1.6136887315837896
0,1,100,3,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.9660255197606336,1.568256038862032,2.0092804649141986,1.5838058391086798
0,1,100,6,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.0459647197334445,1.6299623154651741,2.124987439946517,1.688724992373373
0,1,100,5,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.0459647197334445,1.6299623154651741,2.124987439946517,1.688724992373373
0,1,100,1,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1.5676664161912557,1.2642914210937957,1.5877756603339157,1.2788480379206968
0,1,100,2,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.936426661527362,1.5337075152531707,1.9521348850441391,1.5439698517551053
0,1,100,10,LSTransferTreeBoost,0.05,2,1,0.05,0.9,1.9944065515655687,1.596903310122458,2.0675625261616335,1.6508917239273846
0,1,100,9,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1.9525285619936168,1.555341449891631,2.005630437513669,1.572535100201751
0,1,100,7,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1.9377359679698298,1.5544445547807342,1.9899099766838961,1.5647050572506107
0,1,100,8,LSTransferTreeBoost,0.05,2,2,0.05,0.9,1.954787190920151,1.567417526328827,2.0141658662862825,1.58976995015235
0,1,100,4,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.9787321226618042,1.5809390821240985,2.022025035291655,1.589419702072058
0,1,100,6,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.9787321226618042,1.5809390821240985,2.022025035291655,1.589419702072058
0,1,100,5,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.9787321226618042,1.5809390821240985,2.022025035291655,1.589419702072058
