,seed,target_column,target_instances,method,base_lr,fine_tuning_lr,dropout_rate,batch_norm,val_rmse,val_mae,rmse,mae
0,1,Dgv,475,MLP,0.0001,5e-05,0.1,False,8.788976,6.341393,8.348402,6.085213
0,1,Volume,570,MLP,0.0005,0.0001,0.0,False,76.71239,53.80281,73.79566,50.26795
0,1,Volume,570,MLP,0.0005,0.0001,0.1,False,90.18955,60.06752,92.98317,60.34253
0,1,Volume,570,MLP,0.0005,5e-05,0.0,False,77.287544,54.18458,73.235794,50.403175
0,1,Volume,570,MLP,0.0005,5e-05,0.1,False,93.69048,62.78486,97.94391,64.77208
0,1,Volume,570,MLP,0.0001,0.0001,0.0,False,78.55765,54.317307,76.60605,51.807606
0,1,Volume,570,MLP,0.0001,0.0001,0.1,False,81.66109,55.322838,81.274185,53.90866
0,1,Volume,570,MLP,0.0001,5e-05,0.0,False,83.65522,59.34471,82.49027,56.63888
0,1,Volume,570,MLP,0.0001,5e-05,0.1,False,78.39108,53.767307,76.83586,50.653908
0,1,Dgv,570,MLP,0.0005,0.0001,0.0,False,7.7612715,5.453487,6.772629,4.790472
0,1,Dgv,570,MLP,0.0005,0.0001,0.1,False,8.378794,6.004536,7.8174844,5.6358914
0,1,Dgv,570,MLP,0.0005,5e-05,0.0,False,7.5146565,5.3560114,6.223743,4.5091777
0,1,Dgv,570,MLP,0.0005,5e-05,0.1,False,8.743391,6.3957887,8.0735855,5.9647336
0,1,Dgv,570,MLP,0.0001,0.0001,0.0,False,7.6435165,5.2711625,6.436745,4.5370584
0,1,Dgv,570,MLP,0.0001,0.0001,0.1,False,8.106944,5.851105,7.546184,5.4845476
0,1,Dgv,570,MLP,0.0001,5e-05,0.0,False,8.042291,5.8238435,7.191844,5.1282434
0,1,Dgv,570,MLP,0.0001,5e-05,0.1,False,9.118027,6.845931,8.714788,6.6025405
0,1,Volume,665,MLP,0.0005,0.0001,0.0,False,76.7781,52.668415,73.50308,49.18092
0,1,Volume,665,MLP,0.0005,0.0001,0.1,False,78.06688,53.579006,76.217224,50.770336
0,1,Volume,665,MLP,0.0005,5e-05,0.0,False,78.14297,55.395065,75.73423,52.13723
0,1,Volume,665,MLP,0.0005,5e-05,0.1,False,77.469604,52.656326,75.5263,50.048576
0,1,Volume,665,MLP,0.0001,0.0001,0.0,False,77.024475,53.361004,73.57802,49.269764
0,1,Volume,665,MLP,0.0001,0.0001,0.1,False,76.68422,52.48287,75.33968,50.18445
0,1,Volume,665,MLP,0.0001,5e-05,0.0,False,77.04791,53.040314,74.40424,50.010986
0,1,Volume,665,MLP,0.0001,5e-05,0.1,False,76.94724,52.771336,74.68819,49.930313
0,1,Dgv,665,MLP,0.0005,0.0001,0.0,False,7.3070574,5.057074,6.2339177,4.4572873
0,1,Dgv,665,MLP,0.0005,0.0001,0.1,False,8.089908,5.9197946,7.502207,5.468814
0,1,Dgv,665,MLP,0.0005,5e-05,0.0,False,7.4453435,5.479823,6.7623653,5.005193
0,1,Dgv,665,MLP,0.0005,5e-05,0.1,False,11.010036,8.4043045,10.529702,8.121024
0,1,Dgv,665,MLP,0.0001,0.0001,0.0,False,7.2661505,4.981307,6.0554566,4.247209
0,1,Dgv,665,MLP,0.0001,0.0001,0.1,False,8.075122,5.6623535,7.169606,5.1098723
0,1,Dgv,665,MLP,0.0001,5e-05,0.0,False,7.2205973,4.864233,5.979895,4.1755614
0,1,Dgv,665,MLP,0.0001,5e-05,0.1,False,9.845711,7.3873816,9.545031,7.2700396
0,1,Volume,760,MLP,0.0005,0.0001,0.0,False,78.8291,54.63875,76.407326,51.992455
0,1,Volume,760,MLP,0.0005,0.0001,0.1,False,77.42766,52.198692,75.54347,49.64748
0,1,Volume,760,MLP,0.0005,5e-05,0.0,False,78.534836,56.322227,75.50889,52.03359
0,1,Volume,760,MLP,0.0005,5e-05,0.1,False,77.49748,52.832294,76.318405,50.793438
0,1,Volume,760,MLP,0.0001,0.0001,0.0,False,77.04671,52.75149,73.34506,49.360996
0,1,Volume,760,MLP,0.0001,0.0001,0.1,False,79.305695,54.58535,77.44376,51.98263
0,1,Volume,760,MLP,0.0001,5e-05,0.0,False,77.45789,53.90151,74.01127,50.828827
0,1,Volume,760,MLP,0.0001,5e-05,0.1,False,76.55476,51.550262,73.71781,48.71056
0,1,Dgv,760,MLP,0.0005,0.0001,0.0,False,7.3266172,5.038201,6.30909,4.447603
0,1,Dgv,760,MLP,0.0005,0.0001,0.1,False,7.997479,5.6088653,7.3463755,5.177382
0,1,Dgv,760,MLP,0.0005,5e-05,0.0,False,7.315489,5.2774124,6.262797,4.581389
0,1,Dgv,760,MLP,0.0005,5e-05,0.1,False,8.808545,6.253033,8.213286,5.8547306
0,1,Dgv,760,MLP,0.0001,0.0001,0.0,False,7.578912,5.1926284,6.534307,4.6131883
0,1,Dgv,760,MLP,0.0001,0.0001,0.1,False,8.221946,5.996445,7.5605893,5.4858656
0,1,Dgv,760,MLP,0.0001,5e-05,0.0,False,7.510613,5.3706875,6.588318,4.6472607
0,1,Dgv,760,MLP,0.0001,5e-05,0.1,False,7.411001,5.23816,6.470158,4.5992885
0,1,Volume,855,MLP,0.0005,0.0001,0.0,False,77.14094,52.78464,74.106346,49.16103
0,1,Volume,855,MLP,0.0005,0.0001,0.1,False,83.445854,56.129322,84.01101,54.766964
0,1,Volume,855,MLP,0.0005,5e-05,0.0,False,77.05655,52.29468,74.011665,49.2215
0,1,Volume,855,MLP,0.0005,5e-05,0.1,False,80.32981,55.13634,79.96035,52.50502
0,1,Volume,855,MLP,0.0001,0.0001,0.0,False,78.145584,55.69156,72.91425,50.586185
0,1,Volume,855,MLP,0.0001,0.0001,0.1,False,103.740776,74.308655,105.0061,74.16742
0,1,Volume,855,MLP,0.0001,5e-05,0.0,False,77.20822,53.80971,74.206535,50.83375
0,1,Volume,855,MLP,0.0001,5e-05,0.1,False,88.68582,60.18109,89.349754,60.04856
0,1,Dgv,855,MLP,0.0005,0.0001,0.0,False,7.097812,4.7313004,5.9241977,3.995977
0,1,Dgv,855,MLP,0.0005,0.0001,0.1,False,8.72114,6.368126,8.192505,5.9218526
0,1,Dgv,855,MLP,0.0005,5e-05,0.0,False,7.4347005,5.3175964,6.5244145,4.719955
0,1,Dgv,855,MLP,0.0005,5e-05,0.1,False,7.831765,5.568477,7.0860453,5.029776
0,1,Dgv,855,MLP,0.0001,0.0001,0.0,False,7.2282367,4.9310927,6.116685,4.209334
0,1,Dgv,855,MLP,0.0001,0.0001,0.1,False,8.2047415,5.929901,7.3236303,5.320793
0,1,Dgv,855,MLP,0.0001,5e-05,0.0,False,7.248587,4.9493885,6.2818546,4.3955793
0,1,Dgv,855,MLP,0.0001,5e-05,0.1,False,8.325457,6.033172,7.6498,5.564116
0,1,Volume,950,MLP,0.0005,0.0001,0.0,False,78.72806,54.254944,74.65474,50.309612
0,1,Volume,950,MLP,0.0005,0.0001,0.1,False,77.131775,52.663887,74.92134,49.79116
0,1,Volume,950,MLP,0.0005,5e-05,0.0,False,76.32962,52.115757,72.952705,49.509113
0,1,Volume,950,MLP,0.0005,5e-05,0.1,False,79.36461,53.554794,79.42072,51.87083
0,1,Volume,950,MLP,0.0001,0.0001,0.0,False,77.47886,52.647816,74.14851,49.889545
0,1,Volume,950,MLP,0.0001,0.0001,0.1,False,81.23805,54.888508,80.87196,53.010822
0,1,Volume,950,MLP,0.0001,5e-05,0.0,False,76.89125,52.755558,74.50837,49.43295
0,1,Volume,950,MLP,0.0001,5e-05,0.1,False,84.13109,56.167458,84.65255,55.168106
0,1,Dgv,950,MLP,0.0005,0.0001,0.0,False,7.178924,4.97333,6.1098547,4.3903966
0,1,Dgv,950,MLP,0.0005,0.0001,0.1,False,8.546339,6.120842,7.978026,5.6570463
0,1,Dgv,950,MLP,0.0005,5e-05,0.0,False,7.473699,5.068582,6.260475,4.365096
0,1,Dgv,950,MLP,0.0005,5e-05,0.1,False,9.094625,6.693645,8.529968,6.358031
0,1,Dgv,950,MLP,0.0001,0.0001,0.0,False,7.436675,5.1502967,6.354269,4.4585094
0,1,Dgv,950,MLP,0.0001,0.0001,0.1,False,8.711082,6.332121,8.223215,5.981642
0,1,Dgv,950,MLP,0.0001,5e-05,0.0,False,7.2233768,4.871931,6.1596885,4.181284
0,1,Dgv,950,MLP,0.0001,5e-05,0.1,False,8.33434,6.038937,7.638431,5.547399
0,2,Volume,95,MLP,0.0005,0.0001,0.0,False,109.289345,79.20538,106.96358,80.84054
0,2,Volume,95,MLP,0.0005,0.0001,0.1,False,132.67784,102.64153,135.84108,105.66258
0,2,Volume,95,MLP,0.0005,5e-05,0.0,False,116.29463,92.32189,125.49893,98.40107
0,2,Volume,95,MLP,0.0005,5e-05,0.1,False,100.441284,74.14626,105.863075,77.37835
0,2,Volume,95,MLP,0.0001,0.0001,0.0,False,107.1873,82.04192,114.01258,85.30363
0,2,Volume,95,MLP,0.0001,0.0001,0.1,False,100.586845,76.03263,106.444824,82.56276
0,2,Volume,95,MLP,0.0001,5e-05,0.0,False,119.18313,88.87475,129.29713,96.43783
0,2,Volume,95,MLP,0.0001,5e-05,0.1,False,120.47367,92.76282,128.40315,99.20243
0,2,Dgv,95,MLP,0.0005,0.0001,0.0,False,12.538145,9.367759,12.616007,9.811512
0,2,Dgv,95,MLP,0.0005,0.0001,0.1,False,28.569233,20.392168,28.497057,20.636793
0,2,Dgv,95,MLP,0.0005,5e-05,0.0,False,15.016239,11.444186,16.287413,12.690424
0,2,Dgv,95,MLP,0.0005,5e-05,0.1,False,27.868143,21.562624,29.741495,23.70277
0,2,Dgv,95,MLP,0.0001,0.0001,0.0,False,14.883055,11.609147,15.985671,12.755361
0,2,Dgv,95,MLP,0.0001,0.0001,0.1,False,21.255934,16.566061,21.100506,16.153885
0,2,Dgv,95,MLP,0.0001,5e-05,0.0,False,12.521092,9.302829,13.627965,10.158771
0,2,Dgv,95,MLP,0.0001,5e-05,0.1,False,26.094326,20.9564,25.89941,20.72644
0,2,Volume,190,MLP,0.0005,0.0001,0.0,False,90.421936,63.95481,94.70666,69.15737
0,2,Volume,190,MLP,0.0005,0.0001,0.1,False,102.13065,75.015175,108.55438,80.493225
0,2,Volume,190,MLP,0.0005,5e-05,0.0,False,97.692764,69.74608,104.27855,75.895195
0,2,Volume,190,MLP,0.0005,5e-05,0.1,False,94.46384,66.93431,98.59399,69.56559
0,2,Volume,190,MLP,0.0001,0.0001,0.0,False,112.720375,85.6363,122.08453,92.7748
0,2,Volume,190,MLP,0.0001,0.0001,0.1,False,98.300224,66.86648,102.94191,70.19634
0,2,Volume,190,MLP,0.0001,5e-05,0.0,False,95.203094,65.775696,98.513885,70.96042
0,2,Volume,190,MLP,0.0001,5e-05,0.1,False,88.275795,58.664783,92.75757,61.802334
0,2,Dgv,190,MLP,0.0005,0.0001,0.0,False,11.032093,8.113198,11.02854,8.206455
0,2,Dgv,190,MLP,0.0005,0.0001,0.1,False,11.265522,8.75381,10.801943,8.584334
0,2,Dgv,190,MLP,0.0005,5e-05,0.0,False,8.849691,6.424431,8.295527,6.0162725
0,2,Dgv,190,MLP,0.0005,5e-05,0.1,False,16.985497,12.327959,17.175228,12.777085
0,2,Dgv,190,MLP,0.0001,0.0001,0.0,False,10.068132,7.2214265,9.116127,6.718756
0,2,Dgv,190,MLP,0.0001,0.0001,0.1,False,11.701225,8.898213,11.325257,8.67407
0,2,Dgv,190,MLP,0.0001,5e-05,0.0,False,9.639506,6.7882385,9.24923,6.6204934
0,2,Dgv,190,MLP,0.0001,5e-05,0.1,False,11.684038,8.896338,11.370368,8.753772
0,2,Volume,285,MLP,0.0005,0.0001,0.0,False,83.65625,60.36351,87.86924,64.14708
0,2,Volume,285,MLP,0.0005,0.0001,0.1,False,110.06935,81.27721,120.615036,89.709496
0,2,Volume,285,MLP,0.0005,5e-05,0.0,False,87.72222,62.392384,91.98891,66.67917
0,2,Volume,285,MLP,0.0005,5e-05,0.1,False,87.63433,62.59803,92.48062,65.459366
0,2,Volume,285,MLP,0.0001,0.0001,0.0,False,87.741714,60.83967,89.26029,63.881947
0,2,Volume,285,MLP,0.0001,0.0001,0.1,False,101.8578,79.20105,107.297195,82.02869
