,seed,target_column,target_instances,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
0,1,Volume,570,LSTransferTreeBoost,0.1,1,2,0.01,0.9,71.81581396256126,47.817901513634524,70.74472089415255,48.45128645839925
0,2,Volume,570,LSTransferTreeBoost,0.1,2,1,0.05,0.9,68.33882652876515,48.51711023783058,77.69565784211055,53.0392874408029
0,1,Volume,570,LSTransferTreeBoost,0.1,1,2,0.05,0.5,72.0537888370844,48.225542411099916,71.58722014063068,48.69398342376774
0,1,Volume,570,LSTransferTreeBoost,0.1,1,2,0.05,0.9,72.00961926484707,47.788209112084495,71.51647778432864,48.606283101816075
0,2,Volume,570,LSTransferTreeBoost,0.1,2,2,0.01,0.5,67.4718780743436,47.097169541861795,78.20565618769326,52.9405289754468
0,1,Volume,570,LSTransferTreeBoost,0.1,2,1,0.01,0.5,72.57818626158331,48.27867077325647,70.13858993954436,47.132363543948955
0,2,Volume,570,LSTransferTreeBoost,0.1,2,2,0.01,0.9,67.56645529355787,47.1769914343732,78.09194427419433,52.720759991201966
0,2,Volume,570,LSTransferTreeBoost,0.1,2,2,0.05,0.5,68.07895082807389,47.46470575583104,78.37325976068179,53.08513605152546
0,1,Volume,570,LSTransferTreeBoost,0.1,2,1,0.01,0.9,72.4641604915934,48.03905599011575,70.47739151669731,47.32465914143036
0,2,Volume,570,LSTransferTreeBoost,0.1,2,2,0.05,0.9,68.22180719645881,47.77263032884579,78.26928642197039,52.969944416264404
0,1,Volume,570,LSTransferTreeBoost,0.1,2,1,0.05,0.5,72.41825187366354,48.44554323248395,70.68002897675962,47.78699007034826
0,1,Volume,570,LSTransferTreeBoost,0.1,2,1,0.05,0.9,72.24399887958002,48.02480931799174,70.6753655294237,47.362374067615406
0,1,Volume,570,LSTransferTreeBoost,0.1,2,2,0.01,0.5,71.85215259565783,48.26605107859919,71.08459017197131,48.452504050242055
0,2,Dgv,570,LSTransferTreeBoost,0.05,1,1,0.01,0.5,6.746172972212468,4.67478685068905,6.5548855925757445,4.506520707444801
0,1,Volume,570,LSTransferTreeBoost,0.1,2,2,0.01,0.9,71.39587467519597,47.38323511206601,70.54903250773438,47.81457368884905
0,1,Volume,570,LSTransferTreeBoost,0.1,2,2,0.05,0.5,71.25922968604416,47.50759799305235,71.33008244683849,48.58894008072288
0,1,Volume,570,LSTransferTreeBoost,0.1,2,2,0.05,0.9,71.57477874720287,47.923532951452636,70.96960543369896,48.60082366055601
0,2,Dgv,570,LSTransferTreeBoost,0.05,1,1,0.01,0.9,6.7351226213368856,4.674573506145618,6.56077316718814,4.502236089294692
0,1,Dgv,570,LSTransferTreeBoost,0.05,1,1,0.01,0.5,6.802268997308966,4.5973300951166856,7.176306348565835,4.435887022122758
0,2,Dgv,570,LSTransferTreeBoost,0.05,1,1,0.05,0.5,6.778475980880678,4.687409829002277,6.552817394133529,4.482055844778127
0,1,Dgv,570,LSTransferTreeBoost,0.05,1,1,0.01,0.9,6.784061807097519,4.58667307733625,7.136945693698828,4.415597731111274
0,2,Dgv,570,LSTransferTreeBoost,0.05,1,1,0.05,0.9,6.7645894960092265,4.672796636843682,6.546855090388306,4.478475418704059
0,1,Dgv,570,LSTransferTreeBoost,0.05,1,1,0.05,0.5,6.845648360185322,4.625412764456802,7.203391501586158,4.457271661251492
0,3,Volume,570,LSTransferTreeBoost,0.05,1,1,0.01,0.5,77.35394290143552,51.6918856328327,77.58499638800161,50.416743102888944
