,seed,target_instances,d,method,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,1,100,2,xgboost,0.01,2,2.0368875376192004,1.6290276567194817,2.053624143430989,1.6383576956772106
0,1,100,1,xgboost,0.01,2,2.0368875376192004,1.6290276567194817,2.053624143430989,1.6383576956772106
0,1,100,5,xgboost,0.01,3,2.2233555465723334,1.7794160277616122,2.29215243779715,1.830687934469017
0,1,100,6,xgboost,0.01,3,2.2233555465723334,1.7794160277616122,2.29215243779715,1.830687934469017
0,1,100,7,xgboost,0.01,3,2.2233555465723334,1.7794160277616122,2.29215243779715,1.830687934469017
0,1,100,xgboost_naive_transfer,4,0.01,2,1.6398590861322286,1.289651702955104,1.7079923007110631,1.350380636494851
0,1,100,8,xgboost,0.01,3,2.2233555465723334,1.7794160277616122,2.29215243779715,1.830687934469017
0,1,100,9,xgboost,0.01,3,2.2233555465723334,1.7794160277616122,2.29215243779715,1.830687934469017
0,1,100,10,xgboost,0.01,3,2.2233555465723334,1.7794160277616122,2.29215243779715,1.830687934469017
0,1,100,xgboost_naive_transfer,2,0.01,2,1.163125510038496,0.9144045706015833,1.1740461842730048,0.9169193690188984
0,1,100,xgboost_naive_transfer,3,0.01,2,1.4161766939386766,1.1319958378363577,1.458528818483176,1.1678095367295704
0,1,100,xgboost_naive_transfer,1,0.01,2,0.9487057948896854,0.7401164054366012,0.9410343972051742,0.756132106311566
0,1,100,4,xgboost,0.01,3,2.2233555465723334,1.7794160277616122,2.29215243779715,1.830687934469017
0,1,100,xgboost_naive_transfer,7,0.01,3,1.8549847699780426,1.4664391539916075,1.85380154360042,1.4374627184752964
0,1,100,xgboost_naive_transfer,6,0.01,3,1.7291801596464889,1.3761063410733745,1.7302366373203646,1.3690578939151175
0,1,100,xgboost_naive_transfer,5,0.01,3,1.6782207130556444,1.318518421189959,1.721722539370313,1.352801093227642
0,1,100,xgboost_naive_transfer,10,0.01,3,2.3683345237243345,1.892716331811289,2.437019133130395,1.9285443768256596
0,1,100,xgboost_naive_transfer,8,0.01,3,2.0188286178000148,1.5880956573390639,2.1043699666927687,1.6591196256326493
0,1,100,xgboost_naive_transfer,9,0.01,3,2.21985652913286,1.7742524787273408,2.271522892514788,1.788993019071178
0,1,100,7,xgboost,0.01,4,2.438696034693717,1.9305717686998678,2.372556666562644,1.8949812684028
0,1,100,6,xgboost,0.01,4,2.438696034693717,1.9305717686998678,2.372556666562644,1.8949812684028
0,1,100,2,xgboost,0.01,3,2.2233555465723334,1.7794160277616122,2.29215243779715,1.830687934469017
0,1,100,1,xgboost,0.01,3,2.2233555465723334,1.7794160277616122,2.29215243779715,1.830687934469017
0,1,100,3,xgboost,0.01,3,2.2233555465723334,1.7794160277616122,2.29215243779715,1.830687934469017
0,1,100,5,xgboost,0.01,4,2.438696034693717,1.9305717686998678,2.372556666562644,1.8949812684028
0,1,100,10,xgboost,0.01,4,2.438696034693717,1.9305717686998678,2.372556666562644,1.8949812684028
0,1,100,8,xgboost,0.01,4,2.438696034693717,1.9305717686998678,2.372556666562644,1.8949812684028
0,1,100,9,xgboost,0.01,4,2.438696034693717,1.9305717686998678,2.372556666562644,1.8949812684028
