,seed,target_column,target_instances,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
0,1,Hgv,570,TradaBoostR2,10,0.1,1,3.190487269955138,2.4959078041576035,3.2373736078630286,2.6063925438072797
0,1,Hgv,285,TradaBoostR2,10,0.5,2,3.226798711901817,2.4545418251214066,3.235120596858769,2.492288187818713
0,2,Hgv,190,TradaBoostR2,20,0.1,1,3.81067510757231,3.0407740204915257,4.233119608627505,3.259098363942259
0,1,Hgv,855,TradaBoostR2,10,0.1,1,3.021406506904461,2.342891168527237,3.0589114056087983,2.332972422113626
0,2,Hgv,95,TradaBoostR2,20,0.5,1,3.2759876812189783,2.4043769511866673,3.494213592978286,2.514118230599572
0,2,Hgv,380,TradaBoostR2,10,0.5,1,2.400676452565703,1.7985615202659846,2.3307478578302367,1.7941111258191955
0,2,Hgv,475,TradaBoostR2,20,0.5,1,3.922337572284167,2.1545930515046967,3.5968257348482195,2.099183063717655
0,1,Hgv,380,TradaBoostR2,20,0.5,1,2.741792925651904,1.9715494354308025,2.754195822224683,2.0134094937272176
0,1,Hgv,665,TradaBoostR2,20,0.5,1,2.3633611553283016,1.8124347102668472,2.448427465146944,1.847113184597525
0,1,Hgv,760,TradaBoostR2,20,0.1,2,3.005556408994404,2.29064025403887,3.055963407181777,2.3164892773602617
0,1,Hgv,950,TradaBoostR2,10,0.1,1,2.9639977775314144,2.3040535827612825,3.0039652963334946,2.293945561121684
0,1,Hgv,95,TradaBoostR2,20,0.5,1,3.778873041632712,2.74559587419147,4.7144400015578976,3.0637258916943018
0,1,Hgv,190,TradaBoostR2,20,0.1,1,4.086271773648619,3.256097901253026,4.241634063841008,3.2567384756259927
0,2,Hgv,285,TradaBoostR2,20,0.1,1,3.2395075346206696,2.511075811877509,3.5133990359941474,2.596375732209464
0,1,Hgv,570,TradaBoostR2,10,0.1,2,3.8601094921536654,2.8163099880025273,5.17364478194936,3.1356609655782233
0,1,Hgv,285,TradaBoostR2,20,0.1,1,3.4462888346178544,2.7181387520972624,3.563604379632492,2.8656277280140365
0,1,Hgv,475,TradaBoostR2,20,0.1,2,3.239853289163108,2.5126067917334285,3.2907463352986417,2.585154038831597
0,1,Hgv,855,TradaBoostR2,10,0.1,2,4.223195990919442,2.4407042624616704,5.7768476998186085,2.7803804240675483
0,2,Hgv,380,TradaBoostR2,10,0.5,2,2.5038618617761634,1.9305231182729627,2.4752238197324243,1.8740675344760447
0,1,Hgv,570,TradaBoostR2,10,0.5,1,2.6206163766884623,1.9985631849966738,2.539300108988337,1.9549888423053563
0,1,Hgv,760,TradaBoostR2,20,0.5,1,2.359934956796709,1.784554684311277,2.435925846012763,1.8059235647041547
0,2,Hgv,95,TradaBoostR2,20,0.5,2,4.247953326637096,2.8873442411711787,6.756257208399757,3.492015261826898
0,1,Hgv,855,TradaBoostR2,10,0.5,1,2.370872481894244,1.8309681916496199,2.3765554407406757,1.8084442533879659
0,2,Hgv,190,TradaBoostR2,20,0.1,2,40.94632841973397,6.616116162814252,42.02140016813739,7.506899161877681
0,1,Hgv,950,TradaBoostR2,10,0.1,2,4.455492155847608,2.475271808998682,6.650987358073834,2.8604780660525897
0,1,Hgv,380,TradaBoostR2,20,0.5,2,3.181124355465527,2.2155131690977177,3.3944362554696226,2.422426800871368
0,2,Hgv,475,TradaBoostR2,20,0.5,2,2.399638609168882,1.700159356580146,2.3871390391122476,1.748936903941247
0,1,Hgv,475,TradaBoostR2,20,0.5,1,2.636593505873709,1.9602071746532004,2.7099424198093587,2.032283037582946
0,1,Hgv,665,TradaBoostR2,20,0.5,2,2.410421922330184,1.7962581745038273,2.5351831967367895,1.8862429780807424
0,2,Hgv,380,TradaBoostR2,20,0.1,1,2.973558960282219,2.363856763088883,2.8691139683368143,2.2749668586470437
0,1,Hgv,95,TradaBoostR2,20,0.5,2,4.4135382400445655,3.3398750131012322,5.280473716184852,3.589183078102195
0,1,Hgv,950,TradaBoostR2,10,0.5,1,2.4082179461263884,1.8678922417573276,2.392136376485763,1.806719251900176
0,1,Hgv,190,TradaBoostR2,20,0.1,2,6.177841186548066,4.036172161319485,9.596531800217976,4.487968923724448
0,2,Hgv,285,TradaBoostR2,20,0.1,2,3.3134265562522742,2.5578248339910408,3.416818771195192,2.550676868192049
0,1,Hgv,570,TradaBoostR2,10,0.5,2,2.7435013221033557,2.056038686600298,2.726524392295435,2.075665961529534
0,1,Hgv,855,TradaBoostR2,10,0.5,2,2.5247785837539913,1.905376925584394,2.5883596517843612,1.9820792567528482
0,2,Hgv,190,TradaBoostR2,20,0.5,1,2.6545202482054617,2.0297030339114315,2.856637004279959,2.173233701367642
0,1,Hgv,285,TradaBoostR2,20,0.1,2,4.221907280655988,3.157380208018599,7.670008510299324,3.7861135281098015
0,1,Hgv,380,TradaBoostR2,30,0.1,1,3.2320190685714647,2.497435816376822,3.1776686799326,2.4705839010056057
0,2,Hgv,95,TradaBoostR2,30,0.1,1,4.356403121609298,3.427244634936079,5.0798982476451995,3.702262458699025
0,1,Hgv,760,TradaBoostR2,20,0.5,2,2.4696491735706525,1.8184484967383836,2.5667730328511142,1.8896602730257732
0,2,Hgv,285,TradaBoostR2,20,0.5,1,2.2993567056189494,1.6990802195470396,2.513090811645803,1.8294645943136216
0,2,Hgv,475,TradaBoostR2,30,0.1,1,2.648139539252242,2.051347618006444,2.535252818305084,1.9808613509200486
0,1,Hgv,950,TradaBoostR2,10,0.5,2,2.388337676890802,1.792269304195795,2.3528206771505116,1.8069712926965626
0,1,Hgv,665,TradaBoostR2,30,0.1,1,2.858086374010425,2.2091927468892845,2.8268295358102096,2.2102571292161186
0,1,Hgv,190,TradaBoostR2,20,0.5,1,2.90768514477844,2.1856001210908476,2.957692802572036,2.242735387594719
0,1,Hgv,475,TradaBoostR2,20,0.5,2,2.6493254770113213,1.9549316215792298,2.8923031444295235,2.09545011513078
0,1,Hgv,570,TradaBoostR2,20,0.1,1,3.0049796276914167,2.359140953438261,3.0485139660936214,2.455962215081773
0,1,Hgv,95,TradaBoostR2,30,0.1,1,4.825376556439192,3.764285764893742,5.829169177526968,3.9516308362803394
