,seed,d,target_instances,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
0,1,8,100,TradaBoostR2,10,0.1,3,2.5162612087726055,1.947762601968887,2.5457482789575607,1.9857039138603918
0,1,4,100,TradaBoostR2,10,0.1,3,2.931350320745593,1.8096837356088604,2.982037708057368,1.8701262811704997
0,1,10,100,TradaBoostR2,10,0.1,3,3.1082408687829846,2.373558058280976,3.264392087198359,2.5256622238485162
0,1,6,100,TradaBoostR2,10,0.1,3,2.2321746220887118,1.6985384489942066,2.140134594831669,1.6144765386782582
0,1,2,100,TradaBoostR2,10,0.1,4,6.065020269299985,2.0516243206784317,5.699158263931835,1.9401636311063934
0,1,3,100,TradaBoostR2,10,0.1,4,7.099068937043655,2.346423873794644,6.567248489991889,2.2028777243270175
0,1,4,100,TradaBoostR2,10,0.1,4,10.753989182072742,4.440424334339454,10.040637769983858,4.1566193580023985
0,1,9,100,TradaBoostR2,10,0.1,4,3.5985906922505593,2.7733521351496035,4.896357343138615,3.100806082988552
0,1,5,100,TradaBoostR2,10,0.1,4,3.366561381667086,2.2209693836606013,3.6960640475248177,2.401403568681561
0,1,7,100,TradaBoostR2,10,0.1,4,3.255226855779557,2.3007372011507976,4.257944480511208,2.5557226061392693
0,1,1,100,TradaBoostR2,10,0.1,4,2.34694965412743,1.3093699598055863,2.1497829597104054,1.3398279243208655
0,1,6,100,TradaBoostR2,10,0.1,4,6.206461032019866,3.26430521132399,6.949692120622234,3.446405889962436
0,1,8,100,TradaBoostR2,10,0.1,4,3.4871586585227043,2.5087042038482132,3.3451205130199133,2.5415786034629786
0,1,10,100,TradaBoostR2,10,0.1,4,5.158450594975435,2.6536331807446247,6.954113481357121,3.018057496098397
0,1,2,100,TradaBoostR2,10,0.1,5,4.603187120535512,2.2224310768468327,4.864260176053308,2.4026036693367843
0,1,4,100,TradaBoostR2,10,0.1,5,9.650553081636652,3.4037162061993467,13.208671323928007,4.205491435479526
0,1,5,100,TradaBoostR2,10,0.1,5,49.23777145586704,6.928882693229289,30.068983353456233,4.256259217301235
0,1,2,100,TradaBoostR2,10,0.5,1,1.8744193230155795,1.524755016750178,1.8699468492144355,1.5185693701230532
0,1,1,100,TradaBoostR2,10,0.1,5,4.516979875055474,2.2238149074705738,5.139257786109475,2.2907439199870265
0,1,9,100,TradaBoostR2,10,0.1,5,10.160092372167638,5.252583436188602,8.50498016788719,4.865566340523186
0,1,3,100,TradaBoostR2,10,0.1,5,5.164502321611911,2.698410150111599,5.694431963102925,2.9268962232716467
0,1,7,100,TradaBoostR2,10,0.1,5,29.21644151287028,8.31316069831307,22.950439475855795,6.239161403315733
0,1,6,100,TradaBoostR2,10,0.1,5,4.028073315806786,2.9213613210630127,4.375835502997476,3.108991162250313
0,1,4,100,TradaBoostR2,10,0.5,1,1.9228760771815216,1.575413475131284,1.9863672322531636,1.6502196962338027
0,1,8,100,TradaBoostR2,10,0.1,5,25.575690994847136,5.8693551450731745,22.423913985498903,5.868145338904389
0,1,5,100,TradaBoostR2,10,0.5,1,1.741836755506443,1.4175320103500613,1.8321564310832028,1.4950482960534823
0,1,1,100,TradaBoostR2,10,0.5,1,2.431895815690897,1.9275401570651916,2.380505772652526,1.905358820622411
0,1,9,100,TradaBoostR2,10,0.5,1,2.321344572490379,1.8181335489572048,2.503880771503969,1.9175016009091785
0,1,3,100,TradaBoostR2,10,0.5,1,1.8305323828663762,1.4995344763990524,1.883691635536844,1.5632997488202771
0,1,7,100,TradaBoostR2,10,0.5,1,2.11791323849067,1.6708517414984123,2.2533009474444783,1.7876045417271982
0,1,6,100,TradaBoostR2,10,0.5,1,2.1638682188987377,1.73866831828966,2.3189233731690595,1.8790411761058243
0,1,8,100,TradaBoostR2,10,0.5,1,2.2346031429711184,1.7499813439619432,2.392404089053643,1.8763612760030086
0,1,2,100,TradaBoostR2,10,0.5,2,1.9668696759291546,1.5638239943499408,1.9539558647671191,1.5463263535673721
0,1,10,100,TradaBoostR2,10,0.1,5,11.504973485430103,5.249844028671018,13.470191648653273,6.101430767962664
0,1,4,100,TradaBoostR2,10,0.5,2,2.0554482483127545,1.643698238132434,2.0388712239608244,1.6069458260814886
0,1,5,100,TradaBoostR2,10,0.5,2,2.275339288257937,1.8056656301866991,2.279572620146205,1.7910014405493164
0,1,10,100,TradaBoostR2,10,0.5,1,3.3821910925978687,2.7041569370027627,3.3396104785671676,2.7095732618111725
0,1,9,100,TradaBoostR2,10,0.5,2,2.286770175708388,1.8304122309561128,2.3392383307159124,1.8782580244265854
0,1,1,100,TradaBoostR2,10,0.5,2,1.4812826115219693,1.1553970989068285,1.46980642916103,1.126644201039239
0,1,3,100,TradaBoostR2,10,0.5,2,1.798012474847628,1.3905279658856895,1.8692561521612965,1.438171019221723
0,1,7,100,TradaBoostR2,10,0.5,2,2.283464503090584,1.7205719800919888,2.315765632901149,1.7300495041146928
0,1,6,100,TradaBoostR2,10,0.5,2,2.6352175665370488,1.8666069533718384,2.701106013399048,1.9277460388141947
0,1,8,100,TradaBoostR2,10,0.5,2,2.113018097301622,1.676782357845209,2.1571072222669168,1.7238327338367372
0,1,10,100,TradaBoostR2,10,0.5,2,2.417195584873274,1.9100606123716681,2.4504095733512767,1.9390791213924536
0,1,2,100,TradaBoostR2,10,0.5,3,1.5366554336395855,1.158379585448402,1.544886143010322,1.1457033478498668
0,1,4,100,TradaBoostR2,10,0.5,3,2.8425612857072675,1.947475051846308,3.074209186320603,2.0162763004102104
0,1,5,100,TradaBoostR2,10,0.5,3,2.819857796898352,1.9275574662014867,2.701115403017254,1.912697918029595
0,1,3,100,TradaBoostR2,10,0.5,3,2.030095129571458,1.5361162047245789,1.922438343625734,1.5039599661215328
0,1,9,100,TradaBoostR2,10,0.5,3,2.6331113681656584,1.908944864352876,2.61583239644436,1.8796910110663092
0,1,1,100,TradaBoostR2,10,0.5,3,1.611524980876161,1.1652157830962881,1.5755841096549386,1.155116052777276
0,1,7,100,TradaBoostR2,10,0.5,3,2.274620742665672,1.681181753644925,2.365434919240844,1.691277391685338
0,1,6,100,TradaBoostR2,10,0.5,3,2.4172616652539114,1.8614017098081022,2.311665817071185,1.7502505668176849
0,1,8,100,TradaBoostR2,10,0.5,3,2.6402608528550853,1.8244188573695774,2.324252056981768,1.6712953378816957
0,1,10,100,TradaBoostR2,10,0.5,3,2.431741950622478,1.9519988544684936,2.474064824721775,1.9650206206451575
0,1,2,100,TradaBoostR2,10,0.5,4,1.9424083282491196,1.340176953735343,2.0129254600411226,1.3622678506553993
0,1,4,100,TradaBoostR2,10,0.5,4,104.55855460413223,28.658842224036054,84.62885120704657,20.93169439047346
0,1,5,100,TradaBoostR2,10,0.5,4,2.5329368688124188,1.863155618778571,2.539979118825668,1.8694064551433358
0,1,3,100,TradaBoostR2,10,0.5,4,2.833286696764745,1.9600014756411197,3.060173643933095,2.0629542981006983
0,1,9,100,TradaBoostR2,10,0.5,4,2.4814813661209723,1.8965079368414386,4.035819968922734,2.1065984705039633
0,1,7,100,TradaBoostR2,10,0.5,4,3.7261733761333247,2.5570865909456337,3.644627121188412,2.5551696642352755
0,1,1,100,TradaBoostR2,10,0.5,4,2.0640819923074716,1.2163241706463972,1.7953946396265499,1.174821034696392
0,1,6,100,TradaBoostR2,10,0.5,4,6.255556547320641,2.8540281252297746,7.58427966331137,3.1639433642214394
0,1,8,100,TradaBoostR2,10,0.5,4,4.319032911855824,2.7235301244049617,4.652018998369126,2.7429233780490048
0,1,10,100,TradaBoostR2,10,0.5,4,2.9486979636572968,2.1875995307396123,77.98445512925008,5.3190309348440445
0,1,4,100,TradaBoostR2,10,0.5,5,4.1029247551559385,2.608728752627053,3.8433937207457642,2.482031811134724
0,1,2,100,TradaBoostR2,10,0.5,5,2.6264437027844076,1.7319994518418889,2.5968497142512534,1.7201824030577642
0,1,5,100,TradaBoostR2,10,0.5,5,4.394425013523237,2.564107924235102,3.549867364615406,2.4361961620101593
0,1,4,100,TradaBoostR2,10,1.0,1,2.8075736303856327,2.272083141153073,2.693238006913747,2.170038511335978
0,1,3,100,TradaBoostR2,10,0.5,5,4.304636595036631,2.524689685963305,3.6754316565049816,2.3594321456704375
0,1,2,100,TradaBoostR2,10,1.0,1,2.620109348590677,2.1077904432231676,2.6718107750404276,2.162493807702902
0,1,5,100,TradaBoostR2,10,1.0,1,2.5465864903714754,2.087533409053492,2.4815700608646285,1.9964109237133818
0,1,3,100,TradaBoostR2,10,1.0,1,2.6351673916083747,2.147975988722146,2.561467797379958,2.0387270241356457
0,1,9,100,TradaBoostR2,10,0.5,5,56.47503411456734,12.968443731394176,51.69384361771145,12.587676936179236
0,1,4,100,TradaBoostR2,10,1.0,2,2.1237174537111114,1.6895057989351334,2.1930210525862903,1.7408380370018568
0,1,1,100,TradaBoostR2,10,0.5,5,2.595691190453572,1.5457286934578542,2.9100929802627866,1.629872478060585
0,1,6,100,TradaBoostR2,10,0.5,5,8.246427432540107,3.742198502986694,7.091743404188584,3.751469888489812
0,1,2,100,TradaBoostR2,10,1.0,2,2.5651371013425117,2.0514377832536836,2.579508332924984,2.0649473805249823
0,1,5,100,TradaBoostR2,10,1.0,2,2.190401772829473,1.7178828601037854,2.1720202593028857,1.7274488112741209
0,1,7,100,TradaBoostR2,10,0.5,5,3.17337275024772,2.276264949362635,3.1853781830533467,2.2733042590231807
0,1,8,100,TradaBoostR2,10,0.5,5,34.37118176992167,10.674497772030175,41.08657717231624,12.04421282013936
