,seed,target_instances,d,method,base_lr,fine_tuning_lr,dropout_rate,batch_norm,val_rmse,val_mae,rmse,mae
0,1,300,2,MLP,0.0005,5e-05,0.1,False,1.1898695,0.93556297,1.2426947,0.9663921
0,1,300,1,MLP,0.0001,0.0001,0.0,False,1.4550527,1.1673443,1.469821,1.1752981
0,1,300,3,MLP,0.0005,5e-05,0.1,False,1.1648798,0.90191543,1.1956953,0.9288376
0,1,300,2,MLP,0.0001,0.0001,0.0,True,1.6032339,1.2698282,1.5095998,1.1874083
0,1,300,1,MLP,0.0001,0.0001,0.1,True,1.2360506,0.9710959,1.2328036,0.9752188
0,1,300,3,MLP,0.0001,0.0001,0.0,True,1.6513572,1.3309664,1.6649044,1.3266145
0,1,300,3,MLP,0.0001,0.0001,0.0,False,1.6552222,1.3455224,1.716834,1.3769883
0,1,300,2,MLP,0.0001,0.0001,0.0,False,1.319509,1.0597317,1.3745836,1.0979344
0,1,300,1,MLP,0.0001,0.0001,0.1,False,1.2710476,1.0100768,1.3173913,1.0443106
0,1,300,2,MLP,0.0001,0.0001,0.1,True,3.965382,3.7535326,3.9463336,3.7194088
0,1,300,3,MLP,0.0001,0.0001,0.1,True,1.9358771,1.6445786,2.0133069,1.7142779
0,1,300,1,MLP,0.0001,5e-05,0.0,True,2.042939,1.6927768,2.0419219,1.6495899
0,1,300,2,MLP,0.0001,0.0001,0.1,False,1.2055937,0.9669188,1.22465,0.97252584
0,1,300,3,MLP,0.0001,0.0001,0.1,False,1.0978031,0.85653245,1.1527346,0.8982201
0,1,300,1,MLP,0.0001,5e-05,0.0,False,1.1109115,0.89401853,1.1185293,0.88108146
0,1,300,3,MLP,0.0001,5e-05,0.0,True,1.6011262,1.2890153,1.6487297,1.3257563
0,1,300,2,MLP,0.0001,5e-05,0.0,True,1.5348709,1.219892,1.5189064,1.2015862
0,1,300,1,MLP,0.0001,5e-05,0.1,True,1.3620015,1.0880013,1.3127776,1.036606
0,1,300,3,MLP,0.0001,5e-05,0.0,False,1.2281107,0.96388197,1.2712146,0.9982693
0,1,300,2,MLP,0.0001,5e-05,0.0,False,1.1031665,0.8843013,1.1295372,0.9010063
0,1,300,1,MLP,0.0001,5e-05,0.1,False,1.1864138,0.9392959,1.2296495,0.96067274
