,seed,target_column,train_size_,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
0,2,Volume,570,TradaBoostR2,10,0.1,3,332.6754471876148,130.52401971025847,388.95303652037416,147.51248057639575
0,2,Volume,950,TradaBoostR2,10,0.1,3,111.04142675283721,64.802710324149,133.55944330987268,68.78816419983076
0,2,Volume,760,TradaBoostR2,10,0.1,3,116.84535534822666,63.186852831928356,127.77896989699799,70.81629222304382
0,1,Volume,760,TradaBoostR2,10,0.1,3,93.32912602090306,60.61035182642826,118.02555107085009,65.15404280066885
0,1,Volume,855,TradaBoostR2,10,0.1,3,110.0392677483964,66.8302933503253,87.41607940945975,57.570472545965224
0,2,Volume,665,TradaBoostR2,10,0.1,3,101.21570339969419,61.77141814119854,124.74181957184413,67.13124444237187
0,2,Volume,855,TradaBoostR2,10,0.1,3,115.60209394707503,65.9464442616444,143.17386623258037,68.68550256254544
0,1,Volume,95,TradaBoostR2,10,0.1,4,152.22586330188133,102.76391384381286,169.9159240646469,102.5828940125206
0,1,Volume,285,TradaBoostR2,10,0.1,4,185.54778829946872,114.56920593355714,213.10316827162117,115.90036107958224
0,3,Volume,285,TradaBoostR2,10,0.1,4,169.9302200520148,97.51467228714695,177.85438858009206,104.6454477630531
0,3,Volume,380,TradaBoostR2,10,0.1,4,211.98622657914856,115.59162976985453,210.45256719740448,116.43609838929805
0,3,Volume,95,TradaBoostR2,10,0.1,4,185.1155297746777,106.09013993311413,177.8958139547938,113.47249884068408
0,3,Volume,190,TradaBoostR2,10,0.1,4,252.61639814829869,117.92210737349187,227.47946152331184,122.9197349214646
0,1,Volume,190,TradaBoostR2,10,0.1,4,552.8211247160591,199.85205493752017,946.8253154308061,239.33947387763737
0,2,Volume,95,TradaBoostR2,10,0.1,4,1070.7004092087295,248.87608685372112,1794.2630049093082,285.6942515267171
0,2,Volume,190,TradaBoostR2,10,0.1,4,233.38649940418438,132.9408717764905,406.7827518329454,154.85104824881375
0,2,Volume,285,TradaBoostR2,10,0.1,4,174.7460882909393,105.66841032196557,352.3461488862071,132.75505651901645
0,1,Volume,380,TradaBoostR2,10,0.1,4,194.40864424243784,108.73729735108206,522.39282718613,146.02931062005877
0,1,Volume,475,TradaBoostR2,10,0.1,4,656.9407043840714,209.66100818968917,395.6553961303928,166.74481508327628
0,2,Volume,380,TradaBoostR2,10,0.1,4,546.2548071951534,158.65057684478745,796.8711744166459,169.73108768770607
0,2,Volume,475,TradaBoostR2,10,0.1,4,170.61877814292222,101.97055495144917,184.7002427186208,108.71880310729321
0,1,Volume,950,TradaBoostR2,10,0.1,4,136.46007606155337,81.0567904085473,175.18714251708158,76.45162982505005
0,1,Volume,665,TradaBoostR2,10,0.1,4,222.03082175288344,115.43658742343011,185.54269882958542,97.68835780600321
0,3,Volume,475,TradaBoostR2,10,0.1,4,304.015767540526,137.8277360414785,278.06867399760955,146.31726689201952
0,2,Volume,570,TradaBoostR2,10,0.1,4,173.08239183123894,96.03941315985931,181.64759156456464,106.2123149572258
0,1,Volume,570,TradaBoostR2,10,0.1,4,251.26748385408928,125.13776390093459,257.00461653221845,125.54170646655733
0,1,Volume,855,TradaBoostR2,10,0.1,4,184.82014795703415,87.22854983838998,153.74921355694505,81.35822481251526
0,2,Volume,950,TradaBoostR2,10,0.1,4,128.9931852415774,69.28422599110863,131.60989493154844,75.1081128040456
0,1,Volume,760,TradaBoostR2,10,0.1,4,155.79118210511731,85.41058036546106,157.91205930607134,86.79321727382374
0,2,Volume,760,TradaBoostR2,10,0.1,4,114.46280653480049,70.96083370938116,141.2857105735454,76.8921797969134
0,2,Volume,665,TradaBoostR2,10,0.1,4,204.09953751956277,95.22999163032215,226.83702710718975,114.37269926906183
0,2,Volume,855,TradaBoostR2,10,0.1,4,132.74275754554387,75.78786410856851,152.67131023821295,84.06076258944137
0,1,Volume,285,TradaBoostR2,10,0.1,5,166.9326939911112,99.62043283887476,142.476070635514,91.33495338780203
0,1,Volume,95,TradaBoostR2,10,0.1,5,213.86705674848264,117.6526494622987,240.54588647035317,117.34038014289726
0,3,Volume,285,TradaBoostR2,10,0.1,5,208.34505179070015,100.81086459145398,233.830573977707,124.03612398794355
0,3,Volume,380,TradaBoostR2,10,0.1,5,141.7108458282467,85.37177800454361,146.28014793525193,92.88992703711527
0,3,Volume,95,TradaBoostR2,10,0.1,5,166.10510141026242,102.15431525448963,182.39522818291857,110.38825180396296
0,1,Volume,285,TradaBoostR2,10,0.5,1,88.11394711651614,58.92213285677417,90.60882671337555,57.994136115862055
0,1,Volume,95,TradaBoostR2,10,0.5,1,107.58144751942524,74.0742975115426,110.70905406239385,72.86443547475035
0,1,Volume,190,TradaBoostR2,10,0.1,5,273.9324132115443,143.27986393981894,263.9914017122306,146.4904149012641
0,3,Volume,190,TradaBoostR2,10,0.1,5,244.1115268704797,120.25063295487766,181.3849137455118,112.61606935628339
0,2,Volume,95,TradaBoostR2,10,0.1,5,594.5073622383848,136.95536981478782,287.69493870664536,132.67775917928427
0,3,Volume,285,TradaBoostR2,10,0.5,1,156.1485889063231,74.12525628639438,93.74571245045446,66.43126553234735
0,3,Volume,380,TradaBoostR2,10,0.5,1,95.43484737585376,65.31615513379293,88.98494039176606,64.1843387816049
0,3,Volume,95,TradaBoostR2,10,0.5,1,572.2927257775294,114.03365378517154,137.03207023765788,79.33382626492936
0,1,Volume,190,TradaBoostR2,10,0.5,1,109.50636506215646,72.39857967272188,110.21456844367124,72.03566527416632
0,2,Volume,285,TradaBoostR2,10,0.1,5,198.05313328893524,115.3471716387334,329.04243108508103,132.79407389775756
0,3,Volume,190,TradaBoostR2,10,0.5,1,108.69116299745261,68.99186775325953,102.0497234701572,69.79624511942524
0,2,Volume,190,TradaBoostR2,10,0.1,5,427.8240934875937,121.43356464527594,410.21197665841873,145.86271849734698
0,1,Volume,285,TradaBoostR2,10,0.5,2,92.26087637723819,61.9146030248869,95.64831017612728,61.73713311570208
0,2,Volume,95,TradaBoostR2,10,0.5,1,142.68663557283838,72.38926755575615,126.81427170545759,73.70810276916066
0,1,Volume,380,TradaBoostR2,10,0.1,5,169.6968590019747,99.79099163628793,166.43521600927448,98.54096450270873
0,1,Volume,95,TradaBoostR2,10,0.5,2,323.30991898836464,156.2817073375099,327.787665094284,151.0904791566386
