,Description,radius,datum,east,north,ForestClass,Biomassa_above,Biomassa_below,Basal_area,Basal_Area_Pine,Basal_Area_Spruce,Basal_Area_Contorta,Basal_Area_Decideous,Volume,Volume_Pine,Volume_Spruce,Volume_Contorta,Volume_Decideous,Dgv,Hgv,Mean_Age_basal_area_weighted,ScanDatum,leaveson,scanner_type,Plot,zmax,zmean,zsd,zskew,zkurt,zentropy,pzabovezmean,pzabove2,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9,itot,imax,imean,isd,iskew,ikurt,ipground,ipcumzq10,ipcumzq30,ipcumzq50,ipcumzq70,ipcumzq90,p1th,p2th,p3th,p4th,p5th,pground,n,area,l_1,l_2,t_3,t_4,raster_image_path,north_processed,east_processed,area_code,gh,mahalanobi
1041,201826914060,10,2018-06-09,871000,7398300,31,128.677948964742,44.7927001033269,30.7851252451583,3.69,13.212,0.0,13.8831252451583,193.539841202661,28.684,86.312,0.0,78.543841202661,17.9,13.34,59.4,2020-09-22,2,0,201826914060,16.55,5.65399326032014,5.29728826487371,0.181990704320375,1.46223989630202,0.772671043259278,50.2106149957877,58.3824768323505,0.0,0.0,0.0,0.0,0.02,0.05,0.1,0.28,3.647,5.87,7.339,8.13,9.14,10.03,10.65,11.318,11.86,12.42,13.625,23.9912758996728,27.3718647764449,31.8429661941112,38.9312977099237,49.4002181025082,60.3053435114504,77.2082878953108,92.257360959651,97.4918211559433,3774405,13464,3179.7851727043,4531.16569605535,1.39794423753137,3.03635777544654,69.9370894220414,41.1877368750836,56.9626735869627,78.4970611261907,86.6657923566761,95.1231518610218,54.5914069081719,36.7312552653749,8.17186183656276,0.50547598989048,0.0,37.2367312552654,1187,389.2713,5.65399326032013,2.94490169642743,0.110495593596627,-0.119188562086519,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201826914060.tif,7398300,871000,4,1.6633116463229998e-06,1.3836395959137011
1042,201826921060,10,2018-08-27,896900,7364200,41,91.8956283026352,31.3113023998211,18.6761967346913,0.0,7.71,0.0,10.9661967346913,151.805974169856,0.0,67.96,0.0,83.845974169856,23.5,18.0,99.8,2018-09-08,2,0,201826921060,19.63,6.82145631067961,6.33376464255652,0.263023500600123,1.55462111767252,0.822399480726704,48.6650485436893,61.1650485436893,0.0,0.0,0.01,0.05,0.08,0.15,0.3405,2.56,4.31,6.25,8.329,9.526,10.4995,11.555,12.7225,13.534,14.51,15.857,16.7885,28.954802259887,35.0282485875706,40.6779661016949,46.6101694915254,54.9435028248588,66.1016949152542,78.3898305084746,87.7118644067797,96.4689265536723,3087665,12738,3747.16626213592,4718.89220532429,1.141112939439,2.39801141440595,60.3234806884814,33.3433516913266,59.5457732623196,72.3466438230831,81.9278321968219,94.1804891398516,56.3106796116505,30.4611650485437,11.6504854368932,1.45631067961165,0.121359223300971,31.9174757281553,824,388.245,6.82145631067961,3.55248142009461,0.127248189451421,-0.0985580339378069,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201826921060.tif,7364200,896900,4,7.479023289962458e-06,0.9469757912386584
1043,201826922060,10,2018-08-27,897600,7363600,41,79.7576005801433,24.9927092698582,19.7714655824599,0.0,4.13,0.0,15.6414655824599,108.079054335047,0.0,17.36,0.0,90.719054335047,13.6,11.6,64.0,2018-09-08,2,0,201826922060,14.42,4.76058441558442,4.59544292200665,0.280097724380054,1.40794535517658,0.777292341638948,46.1038961038961,56.1688311688312,0.0,0.02,0.04,0.07,0.09,0.13,0.21,1.112,2.2815,3.635,5.056,6.45800000000001,7.82850000000001,9.064,9.7575,10.178,10.6455,10.98,11.5525,35.909631391201,42.9250891795482,46.8489892984542,53.0321046373365,59.3341260404281,65.2794292508918,77.1700356718193,94.5303210463734,99.6432818073722,3557813,26401,3850.44696969697,4705.73727767982,1.21538046202662,2.8540010387398,65.4054049496137,20.8089632591707,53.8002981044816,74.8919631245375,82.2123591093742,93.1330848473486,53.1385281385281,38.961038961039,7.68398268398268,0.216450216450216,0.0,35.4978354978355,924,373.5333,4.76058441558442,2.54765989878666,0.13738690727144,-0.133200839219226,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201826922060.tif,7363600,897600,4,6.680012065342872e-07,0.43455143826071696
1044,201826922120,10,2018-08-27,897600,7363000,41,38.7292101859237,12.6406256738958,10.7784193161842,3.14,0.0,0.0,7.6384193161842,48.7030165554868,14.95,0.0,0.0,33.7530165554868,13.5,9.2,70.3,2018-09-08,2,0,201826922120,12.42,2.36017118402282,3.23067060253483,1.03266275607171,2.61624867846796,0.592411816789213,35.3780313837375,36.6619115549215,0.0,0.0,0.0,0.0,0.02,0.04,0.07,0.09,0.13,0.16,0.22,0.34,2.58000000000001,3.95,4.95,5.57,7.08000000000001,7.87,8.54,50.0927643784787,54.1743970315399,58.8126159554731,67.9035250463822,77.1799628942486,82.3747680890538,94.2486085343228,99.0723562152134,99.6289424860853,4131093,13800,5893.14265335235,5489.09777959062,0.236363422077279,1.09160838286663,84.394977309879,37.7452407873655,50.5883309816555,80.0077848646835,95.112988257587,98.4067170601098,65.4778887303852,30.9557774607703,3.56633380884451,0.0,0.0,53.7803138373752,701,372.3219,2.36017118402282,1.62215700020379,0.415486878339264,0.030691717957659,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201826922120.tif,7363000,897600,4,0.0,0.5053946633218108
1045,201826923060,10,2018-08-27,897000,7363000,11,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-08,2,0,201826923060,3.0,0.0754977375565611,0.221538326601967,8.29871259473501,88.8636200155915,0.0655180488855082,27.1493212669683,0.226244343891403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.04,0.05,0.07,0.08,0.09,0.12,0.169,0.25,95.9183673469388,97.5510204081633,97.5510204081633,98.3673469387755,99.1836734693877,100.0,100.0,100.0,100.0,5224004,12630,11819.0135746606,1729.38002858308,-5.49618105789748,31.8559758219369,95.2147241847441,44.0254448503485,44.0254448503485,53.105453211751,73.3817967980116,90.8222888037605,99.0950226244344,0.904977375565611,0.0,0.0,0.0,94.1176470588235,442,386.317,0.075497737556561,0.0584825212136136,0.647092085056458,0.435207769045367,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201826923060.tif,7363000,897000,4,0.0,1.297469332901164
1046,201826923120,10,2018-08-27,896400,7363000,23,31.6400083595888,10.6644661672564,10.4842571155252,0.0,0.48,0.0,10.0042571155252,45.3731516361969,0.0,1.43,0.0,43.9431516361969,8.3,8.8,40.1,2018-09-08,2,0,201826923120,9.76,2.41887886597938,2.61020719103797,0.693486297819537,2.43722737611373,0.7599990536049,46.9072164948454,49.3556701030928,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.21,1.905,2.7325,3.3,3.63,3.975,4.28,4.65,5.2375,6.11,7.155,17.7865612648221,23.9130434782609,33.399209486166,52.5691699604743,72.5296442687747,83.399209486166,89.7233201581028,94.8616600790514,97.0355731225296,3047158,18245,3926.75,4585.4650242246,1.1415343896161,2.4469663068565,62.8387172571951,55.0934346036536,55.0934346036536,67.7863438653329,79.164880849631,92.4331130843888,53.479381443299,43.6855670103093,2.83505154639175,0.0,0.0,42.3969072164948,776,374.7471,2.41887886597938,1.41279166943798,0.247493578097919,-0.0313194509857617,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201826923120.tif,7363000,896400,4,0.0,0.5666863498038974
1048,201826924120,10,2018-08-27,896300,7364100,31,55.408098962206,19.9148001363037,20.3972965023792,0.88,6.26,6.75,6.5072965023792,95.1222888862678,5.08,29.22,40.0,20.8222888862678,8.5,8.7,32.8,2018-09-08,2,0,201826924120,11.62,2.83973544973545,2.99851706109571,0.814406079131856,2.61344633114657,0.788112449492897,43.2539682539683,50.6613756613757,0.0,0.0,0.0,0.02,0.06,0.11,0.1725,0.47,1.4775,2.105,2.6725,3.18,3.785,4.315,4.83,5.36,6.365,7.47,8.66,31.2698412698413,42.6984126984127,54.6031746031746,67.4603174603175,78.5714285714286,86.1904761904762,90.3174603174603,96.1904761904762,99.2063492063492,3660460,23678,4841.87830687831,5134.23998861252,0.772626884263179,1.89362197178559,66.8717319681133,34.3578402714413,60.2272391994449,78.9499680368041,87.733946006786,96.3790889669604,61.3756613756614,33.994708994709,4.1005291005291,0.529100529100529,0.0,36.2433862433862,756,386.496,2.83973544973545,1.63390553277971,0.261198178211373,0.0013492383622722,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201826924120.tif,7364100,896300,4,1.0797497998560157e-06,1.105273406911307
1049,201826931120,10,2018-06-16,821700,7428300,23,29.5184901653766,9.23627410537046,10.6680380020135,10.594,0.0,0.0,0.0740380020135003,52.1540202462537,51.972,0.0,0.0,0.1820202462537,12.94,8.94,35.9,2021-07-06,2,1,201826931120,10.96,2.64508948545861,2.75787329469005,0.767275046763035,2.54102358834808,0.784961667630477,44.9664429530201,48.993288590604,0.02,0.06,0.08,0.1,0.12,0.15,0.19,0.252,1.2785,1.89,2.6415,3.192,3.6645,4.131,4.75,5.148,5.751,6.72100000000001,7.827,42.0023014959724,50.9781357882624,59.6087456846951,71.1162255466053,82.3935558112773,88.722669735328,94.1311852704258,97.5834292289989,99.0794016110472,1445055,4385,1616.39261744966,1006.9121909822,1.04605878395204,2.82978770130838,60.1767406776905,17.5634837428333,48.0810072973001,67.4460141655508,79.6757216853338,92.9685029289543,45.8612975391499,33.2214765100671,15.324384787472,4.47427293064877,1.11856823266219,40.6040268456376,894,383.0994,2.64508948545861,1.50167621144822,0.255283327708723,-0.0130164002369051,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201826931120.tif,7428300,821700,4,2.0809995721194296e-05,0.22287151127717186
1050,201826932060,10,2018-06-16,821800,7427700,31,36.0562207999021,11.763714039702,12.0370966128293,9.502,1.364,0.0,1.1710966128293,56.5027797573926,45.64,4.44,0.0,6.4227797573926,13.74,8.88,37.1,2021-07-06,2,1,201826932060,13.36,3.5294617868676,3.41981663700031,0.476657169365996,2.03744502632996,0.760072302422638,49.0850376749193,56.297093649085,0.0,0.0,0.04,0.07,0.1,0.15,0.22,0.344000000000001,2.296,3.38,4.01,4.638,5.232,5.726,6.19,6.74,7.588,8.35,9.376,35.4916067146283,39.568345323741,49.7601918465228,62.3501199040767,77.3381294964029,86.4508393285372,94.3645083932854,98.0815347721823,99.400479616307,1447306,4376,1557.91819160388,1021.82942125631,1.2876130802333,3.46830902710648,57.9885663432612,15.1478678316818,45.7306886035158,65.8166275825568,78.2562913440558,92.6258856109213,43.702906350915,31.216361679225,17.545748116254,6.13562970936491,1.39935414424112,38.6437029063509,929,385.5312,3.5294617868676,1.89745499424669,0.179020503886296,-0.0517946524033214,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201826932060.tif,7427700,821800,4,3.5398532219998394e-05,0.9054859217080944
1051,201826932120,10,2018-06-16,821800,7427100,23,26.564647323478,8.20357023111533,11.3868534779524,13.982,0.0,0.0,-2.5951465220476,44.8541744637081,55.118,0.0,0.0,-10.2638255362919,9.46,5.74,30.2,2021-07-06,2,1,201826932120,8.58,1.77739884393064,1.95178278292458,0.751794770868609,2.40578287109548,0.691690774191162,44.364161849711,42.1965317919075,0.01,0.03,0.05,0.08,0.09,0.12,0.14,0.17,0.21,0.345,1.662,2.306,2.67,2.98,3.36,3.684,4.1035,4.519,5.418,48.8619119878604,53.1107738998483,61.4567526555387,74.5068285280728,87.1016691957511,93.3232169954477,97.7238239757208,99.6965098634294,99.8482549317147,1301790,4604,1881.19942196532,1137.52520398264,0.814588077688628,2.24542512449413,65.9218460734834,16.6846419161309,48.6893431352215,70.3684157967107,82.2936879220151,94.0606395808848,52.7456647398844,34.393063583815,10.8381502890173,1.58959537572254,0.433526011560694,46.8208092485549,692,389.4396,1.77739884393064,1.04746225207666,0.277340854309866,-0.0293580728393776,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201826932120.tif,7427100,821800,4,5.5180801073062165e-06,0.6683864864610909
1052,201826933120,10,2018-06-16,820700,7427000,23,35.4521323159676,10.5818914743952,14.9751518765528,16.958,0.0,0.0,-1.9828481234472,61.007031608271,70.794,0.0,0.0,-9.786968391729,9.36,6.66,30.0,2021-07-06,2,1,201826933120,8.09,1.71054232804233,1.94459899938384,0.791345183535195,2.43065204258005,0.682417036632569,42.5925925925926,40.4761904761905,0.0,0.0,0.02,0.04,0.06,0.09,0.1125,0.15,0.2,0.27,1.4075,2.09,2.665,2.96,3.2325,3.58,4.0475,4.63500000000001,5.21,46.0388639760837,51.4200298953662,58.2959641255605,71.898355754858,83.1091180866966,91.0313901345291,96.5620328849028,98.355754857997,99.8505231689088,1403711,4928,1856.76058201058,1109.05095140024,0.736173719138504,2.17251848979903,67.4780635045248,17.3429573466333,44.8821018001569,69.9365467678176,81.9313947101647,94.2478188174061,52.5132275132275,35.3174603174603,10.978835978836,0.925925925925926,0.264550264550265,48.2804232804233,756,387.684,1.71054232804233,1.03717013560391,0.294550899545339,-0.0240658766853031,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201826933120.tif,7427000,820700,4,3.0573719709161474e-06,1.1106937415662377
1053,201826934060,10,2018-06-16,820600,7427600,41,47.4990248669125,18.7963615730485,14.844682733566,0.0,8.182,0.0,6.662682733566,56.2467869361805,0.0,29.832,0.0,26.4147869361805,11.5,7.44,103.2,2021-07-06,2,1,201826934060,14.95,3.72182567726737,3.51417273173128,0.48418537717428,1.91776865220261,0.764305075541432,46.0541813898704,55.7126030624264,0.07,0.12,0.17,0.21,0.26,0.31,0.418,0.988000000000004,2.176,3.16,3.938,4.668,5.23400000000001,6.138,6.76,7.44,8.086,8.732,9.78199999999999,40.6738868832732,48.014440433213,57.6413959085439,68.7123947051745,79.7833935018051,90.8543922984356,97.4729241877256,99.8796630565584,100.0,1309801,4432,1542.75736160188,810.153702235484,0.925919679361456,3.12578532012918,45.0337875753645,12.4832703593905,39.884455730298,59.6511225751087,74.5788100635135,91.1010145816044,45.2296819787986,31.5665488810365,15.547703180212,6.36042402826855,1.29564193168433,33.9222614840989,849,394.2204,3.72182567726737,1.95806653776919,0.183157075122807,-0.0584443379755631,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201826934060.tif,7427600,820600,4,4.2402794481635745e-05,2.0947721420382925
