,seed,d,method,v,source_tree_size,target_tree_size,k,m_0,rmse,mae
102,14,1,LSTransferTreeBoost,0.05,1,2,0.05,0.5,1.314899850133309,1.0309237838961174
103,14,1,LSTransferTreeBoost,0.05,1,2,0.05,0.9,1.328298402959991,1.0358485620884457
104,14,1,LSTransferTreeBoost,0.05,2,1,0.01,0.5,1.2686233031172367,1.0012175152430962
105,14,1,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1.264046983116239,1.0072290302905706
106,14,1,LSTransferTreeBoost,0.05,2,1,0.05,0.5,1.3214567832564819,1.0356410099508253
107,14,1,LSTransferTreeBoost,0.05,2,1,0.05,0.9,1.293002074290721,1.014020655134593
108,14,1,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.2816480686132985,1.0098216382955358
109,14,1,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1.2333309667081287,0.9669133535821071
110,14,1,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1.2806770850545295,1.0074656307032464
111,14,1,LSTransferTreeBoost,0.05,2,2,0.05,0.9,1.3161091662610491,1.0317633972852667
112,14,1,LSTransferTreeBoost,0.1,1,1,0.01,0.5,1.317027780043164,1.0379398135021531
113,14,1,LSTransferTreeBoost,0.1,1,1,0.01,0.9,1.2747762493358918,1.0099420500807434
114,14,1,LSTransferTreeBoost,0.1,1,1,0.05,0.5,1.2923878909300641,1.0148341548461066
115,14,1,LSTransferTreeBoost,0.1,1,1,0.05,0.9,1.3351819771954268,1.051067651430873
116,14,1,LSTransferTreeBoost,0.1,1,2,0.01,0.5,1.290364519382948,1.0047130454620234
117,14,1,LSTransferTreeBoost,0.1,1,2,0.01,0.9,1.244218202023394,0.9753906779820306
118,14,1,LSTransferTreeBoost,0.1,1,2,0.05,0.5,1.3557752626888988,1.067462279565407
119,14,1,LSTransferTreeBoost,0.1,1,2,0.05,0.9,1.333314267418172,1.0493021129151394
120,14,1,LSTransferTreeBoost,0.1,2,1,0.01,0.5,1.2635060912788618,1.002885179922729
121,14,1,LSTransferTreeBoost,0.1,2,1,0.01,0.9,1.200776411359722,0.9670673812739983
122,14,1,LSTransferTreeBoost,0.1,2,1,0.05,0.5,1.2871128859918886,1.009678246336727
123,14,1,LSTransferTreeBoost,0.1,2,1,0.05,0.9,1.2735389492253009,1.0039350504074216
124,14,1,LSTransferTreeBoost,0.1,2,2,0.01,0.5,1.1824783883188248,0.9277595417237576
125,14,1,LSTransferTreeBoost,0.1,2,2,0.01,0.9,1.160955770662365,0.9168038201629916
126,14,1,LSTransferTreeBoost,0.1,2,2,0.05,0.5,1.3325712381071615,1.0455286432543207
127,14,1,LSTransferTreeBoost,0.1,2,2,0.05,0.9,1.2393244570396218,0.974385488039564
