,seed,d,method,base_lr,fine_tuning_lr,dropout_rate,batch_norm,rmse,mae
96,16,2,MLP,0.0005,0.0001,0.0,True,4.5820246,4.2622705
97,16,2,MLP,0.0005,0.0001,0.0,False,1.5073797,1.2225535
98,16,2,MLP,0.0005,0.0001,0.1,True,5.418715,5.1601424
99,16,2,MLP,0.0005,0.0001,0.1,False,1.7731544,1.4226851
100,16,2,MLP,0.0005,5e-05,0.0,True,4.4567485,4.148045
101,16,2,MLP,0.0005,5e-05,0.0,False,1.5826391,1.2764328
102,16,2,MLP,0.0005,5e-05,0.1,True,5.4249277,5.170505
103,16,2,MLP,0.0005,5e-05,0.1,False,1.8514616,1.4878182
104,16,2,MLP,0.0001,0.0001,0.0,True,4.7451544,4.46249
105,16,2,MLP,0.0001,0.0001,0.0,False,1.5162293,1.206081
106,16,2,MLP,0.0001,0.0001,0.1,True,4.3983693,4.0593195
107,16,2,MLP,0.0001,0.0001,0.1,False,1.8499343,1.4850825
108,16,2,MLP,0.0001,5e-05,0.0,True,4.9717455,4.7067275
109,16,2,MLP,0.0001,5e-05,0.0,False,1.5975524,1.290817
110,16,2,MLP,0.0001,5e-05,0.1,True,4.976435,4.690947
111,16,2,MLP,0.0001,5e-05,0.1,False,1.8547629,1.494053
112,16,4,MLP,0.0005,0.0001,0.0,True,7.046439,6.7609367
113,16,4,MLP,0.0005,0.0001,0.0,False,1.801404,1.4675753
114,16,4,MLP,0.0005,0.0001,0.1,True,7.381393,7.0529184
115,16,4,MLP,0.0005,0.0001,0.1,False,1.7553166,1.4258287
116,16,4,MLP,0.0005,5e-05,0.0,True,7.509776,7.225666
117,16,4,MLP,0.0005,5e-05,0.0,False,1.7815559,1.4557743
118,16,4,MLP,0.0005,5e-05,0.1,True,7.197655,6.9012356
119,16,4,MLP,0.0005,5e-05,0.1,False,1.7650206,1.42954
120,16,4,MLP,0.0001,0.0001,0.0,True,6.732015,6.425966
121,16,4,MLP,0.0001,0.0001,0.0,False,1.6903918,1.3753146
122,16,4,MLP,0.0001,0.0001,0.1,True,7.6667066,7.3521028
123,16,4,MLP,0.0001,0.0001,0.1,False,1.7951305,1.4615885
124,16,4,MLP,0.0001,5e-05,0.0,True,7.2622757,6.967593
125,16,4,MLP,0.0001,5e-05,0.0,False,1.807988,1.4655781
126,16,4,MLP,0.0001,5e-05,0.1,True,7.343345,7.03914
127,16,4,MLP,0.0001,5e-05,0.1,False,1.8144915,1.4756639
128,16,6,MLP,0.0005,0.0001,0.0,True,9.316767,9.014205
129,16,6,MLP,0.0005,0.0001,0.0,False,1.5802574,1.2742198
130,16,6,MLP,0.0005,0.0001,0.1,True,9.306288,8.971249
131,16,6,MLP,0.0005,0.0001,0.1,False,1.7697275,1.4446679
132,16,6,MLP,0.0005,5e-05,0.0,True,9.394119,9.092393
133,16,6,MLP,0.0005,5e-05,0.0,False,1.7759008,1.4564555
134,16,6,MLP,0.0005,5e-05,0.1,True,9.392167,9.0564375
135,16,6,MLP,0.0005,5e-05,0.1,False,1.7773765,1.4393518
136,16,6,MLP,0.0001,0.0001,0.0,True,9.155234,8.83524
