,seed,method,d,v,target_tree_size,rmse,mae
90,5,xgboost,1,0.1,4,2.119461983202698,1.7055823404574577
91,5,xgboost_naive_transfer,1,0.1,4,1.3726366502852954,1.1669135690708663
92,5,xgboost,1,0.1,5,2.25946675723744,1.8191310088015276
93,5,xgboost_naive_transfer,1,0.1,5,1.3949872565692192,1.18556019642624
94,5,xgboost,1,0.1,6,2.3075291324299463,1.873473378726055
95,5,xgboost_naive_transfer,1,0.1,6,1.4225787800728933,1.18871479123132
96,5,xgboost,1,0.1,7,2.486614720688321,2.0133709775809265
97,5,xgboost_naive_transfer,1,0.1,7,1.4709583855414454,1.23761843882358
98,5,xgboost,1,0.12,1,1.5104829142395735,1.2195818525739597
99,5,xgboost_naive_transfer,1,0.12,1,1.5003518963465636,1.2554618469647951
100,5,xgboost,1,0.12,2,1.7231888733947616,1.3916407880407375
101,5,xgboost_naive_transfer,1,0.12,2,1.3640820224414243,1.1676483583938535
102,5,xgboost,1,0.12,3,1.939084440999516,1.5737600902898656
103,5,xgboost_naive_transfer,1,0.12,3,1.3548175877413768,1.1589329470549345
104,5,xgboost,1,0.12,4,2.144868415592903,1.7271455727457428
105,5,xgboost_naive_transfer,1,0.12,4,1.369321324828818,1.165166026303067
106,5,xgboost,1,0.12,5,2.2624474784853796,1.8097313606027428
107,5,xgboost_naive_transfer,1,0.12,5,1.4091263645875534,1.1910264836467737
108,5,xgboost,1,0.12,6,2.292772883530602,1.8349568559798808
109,5,xgboost_naive_transfer,1,0.12,6,1.4188137898651534,1.193343006010687
110,5,xgboost,1,0.12,7,2.520891397885575,2.0408392481993984
111,5,xgboost_naive_transfer,1,0.12,7,1.4478790876405034,1.22553363906154
112,5,xgboost,1,0.15,1,1.515121785892637,1.2215909619816503
113,5,xgboost_naive_transfer,1,0.15,1,1.5073339303987185,1.259703392320055
114,5,xgboost,1,0.15,2,1.7861676580269745,1.4511141376470549
115,5,xgboost_naive_transfer,1,0.15,2,1.3644899886100228,1.1677551126456525
116,5,xgboost,1,0.15,3,1.9858152030720293,1.6171001808951349
117,5,xgboost_naive_transfer,1,0.15,3,1.3707637485671524,1.1649217203441238
118,5,xgboost,1,0.15,4,2.155676836601687,1.7433894811416475
119,5,xgboost_naive_transfer,1,0.15,4,1.390426739933071,1.1809357307778379
120,5,xgboost,1,0.15,5,2.243583974511036,1.7958167690657403
121,5,xgboost_naive_transfer,1,0.15,5,1.418767943590364,1.1889407437703958
122,5,xgboost,1,0.15,6,2.381144945853211,1.9219939712651917
123,5,xgboost_naive_transfer,1,0.15,6,1.4444583019070527,1.214428382241595
124,5,xgboost,1,0.15,7,2.4103726719066803,1.9566386356788459
125,5,xgboost_naive_transfer,1,0.15,7,1.4742588928342513,1.2231121144466688
126,6,xgboost,1,0.005,1,2.3139101938220423,1.8766634264134174
127,6,xgboost_naive_transfer,1,0.005,1,2.6082400416407507,2.0798758962117154
128,6,xgboost,1,0.005,2,1.7741358908991294,1.4312210978532898
129,6,xgboost_naive_transfer,1,0.005,2,1.8328899282227344,1.4344835449216757
130,6,xgboost,1,0.005,3,1.794104856798422,1.4526140279008655
131,6,xgboost_naive_transfer,1,0.005,3,1.44282277661469,1.1089738781805007
132,6,xgboost,1,0.005,4,2.0071952008151848,1.5998612745082226
133,6,xgboost_naive_transfer,1,0.005,4,1.2385731344094448,0.937921711366455
134,6,xgboost,1,0.005,5,2.159164832396495,1.73561036792574
135,6,xgboost_naive_transfer,1,0.005,5,1.1370453773492932,0.8526074974528924
136,6,xgboost,1,0.005,6,2.4027789852006385,1.9425492108997597
137,6,xgboost_naive_transfer,1,0.005,6,1.1253069986683233,0.8472860682946618
138,6,xgboost,1,0.005,7,2.505458776381095,2.016258765999495
139,6,xgboost_naive_transfer,1,0.005,7,1.1398447291307257,0.8715381415217858
140,6,xgboost,1,0.01,1,1.8532215121666231,1.4980702573984574
141,6,xgboost_naive_transfer,1,0.01,1,1.9913628459068358,1.5580993139524335
142,6,xgboost,1,0.01,2,1.7041554365422062,1.3763094182639062
143,6,xgboost_naive_transfer,1,0.01,2,1.261624903002662,0.9479730819302505
144,6,xgboost,1,0.01,3,1.7663235783212292,1.4227469343913877
145,6,xgboost_naive_transfer,1,0.01,3,1.0511360132236391,0.7831868878760023
146,6,xgboost,1,0.01,4,2.006872649966519,1.5951588138381787
147,6,xgboost_naive_transfer,1,0.01,4,1.0238175524503421,0.7592123210743872
148,6,xgboost,1,0.01,5,2.153752972692018,1.7240673024463564
149,6,xgboost_naive_transfer,1,0.01,5,1.03949386773916,0.7805854017312817
150,6,xgboost,1,0.01,6,2.380263045960866,1.918462514570971
151,6,xgboost_naive_transfer,1,0.01,6,1.089657944710952,0.8158111521400407
152,6,xgboost,1,0.01,7,2.4974382652895666,2.002375266230311
153,6,xgboost_naive_transfer,1,0.01,7,1.1019857641709434,0.8372820490606081
154,6,xgboost,1,0.02,1,1.7802339252970771,1.4359003856228651
155,6,xgboost_naive_transfer,1,0.02,1,1.4510724189984125,1.1113340848998605
156,6,xgboost,1,0.02,2,1.678385882320849,1.3520822124963014
157,6,xgboost_naive_transfer,1,0.02,2,0.952904285433845,0.7006719462002121
158,6,xgboost,1,0.02,3,1.7659883724749423,1.424829190810167
159,6,xgboost_naive_transfer,1,0.02,3,0.9674549566732362,0.7219100108244134
160,6,xgboost,1,0.02,4,1.9893789722909214,1.5819572732266234
161,6,xgboost_naive_transfer,1,0.02,4,0.9847554120409411,0.730640263679453
162,6,xgboost,1,0.02,5,2.145989961160937,1.7251954061051291
163,6,xgboost_naive_transfer,1,0.02,5,1.0253250730273007,0.7684808872547539
164,6,xgboost,1,0.02,6,2.3689617253584507,1.9128437172712378
165,6,xgboost_naive_transfer,1,0.02,6,1.07859584933388,0.8134752064917656
166,6,xgboost,1,0.02,7,2.4676453885776737,1.9785438599277614
167,6,xgboost_naive_transfer,1,0.02,7,1.116228792842311,0.8475505757823144
168,6,xgboost,1,0.03,1,1.7751493589741223,1.4312677054448422
169,6,xgboost_naive_transfer,1,0.03,1,1.2573622826832778,0.9655611756395477
170,6,xgboost,1,0.03,2,1.6691471968799974,1.3456049794868563
171,6,xgboost_naive_transfer,1,0.03,2,0.9738751038988214,0.7160414204569353
172,6,xgboost,1,0.03,3,1.7591521555165255,1.4195236383209466
173,6,xgboost_naive_transfer,1,0.03,3,0.9707805528773538,0.7271673573114594
174,6,xgboost,1,0.03,4,1.9906623239956245,1.5854181603940583
175,6,xgboost_naive_transfer,1,0.03,4,0.991636216917841,0.7446805244347747
176,6,xgboost,1,0.03,5,2.1764759709266155,1.748650775288108
177,6,xgboost_naive_transfer,1,0.03,5,1.013040333666138,0.7594750584560419
178,6,xgboost,1,0.03,6,2.3463709206337344,1.888721190575937
179,6,xgboost_naive_transfer,1,0.03,6,1.0838905345359289,0.8111507239741084
180,6,xgboost,1,0.03,7,2.46927892871824,1.9727130088593006
181,6,xgboost_naive_transfer,1,0.03,7,1.1258539488293027,0.8431119331681561
182,6,xgboost,1,0.05,1,1.7225621344912976,1.3861819149002421
183,6,xgboost_naive_transfer,1,0.05,1,1.1768380891134764,0.909996106869426
184,6,xgboost,1,0.05,2,1.6702518725249813,1.3435589440855165
185,6,xgboost_naive_transfer,1,0.05,2,0.9293920242464832,0.6821876010576672
186,6,xgboost,1,0.05,3,1.7391914931672943,1.3986281004558414
187,6,xgboost_naive_transfer,1,0.05,3,0.9991771742702001,0.7425060697250071
188,6,xgboost,1,0.05,4,1.9856076761621662,1.5753750040396708
189,6,xgboost_naive_transfer,1,0.05,4,0.9930259808343037,0.7409566521249622
190,6,xgboost,1,0.05,5,2.204372233902552,1.7674348557609643
