,seed,method,v,source_tree_size,target_tree_size,m_0,k,val_rmse,val_mae,rmse,mae
18,2,LSTransferTreeBoost,0.05,2,1,0.9,0.01,1.5418458006337117,1.223693399895997,1.4675850970380107,1.1748310871390564
19,2,LADTransferTreeBoost,0.05,2,1,0.9,0.01,1.375528916459221,1.0833158501869355,1.3264358739048068,1.0584593690468578
20,2,LSTransferTreeBoost,0.05,2,1,0.5,0.05,1.5464061580320356,1.2273749980396877,1.470160764309918,1.177058054609067
21,2,LADTransferTreeBoost,0.05,2,1,0.5,0.05,1.3572343143441343,1.0701450936162313,1.3004778481928698,1.0390553467521473
22,2,LSTransferTreeBoost,0.05,2,1,0.9,0.05,1.5251096579984158,1.2087191760497207,1.4537818694162228,1.1624325778687394
23,2,LADTransferTreeBoost,0.05,2,1,0.9,0.05,1.4119643142794083,1.1053750166559497,1.3447568541190975,1.0657048152356756
24,2,LSTransferTreeBoost,0.05,2,2,0.5,0.01,1.4465959609414352,1.1441452648243609,1.4063955475741818,1.1122434959527345
25,2,LADTransferTreeBoost,0.05,2,2,0.5,0.01,1.2602404011532755,1.0004054121709138,1.2668129000054624,1.0102610879362388
26,2,LSTransferTreeBoost,0.05,2,2,0.9,0.01,1.448859411278596,1.1476154122258224,1.4072162445483238,1.1113105786367439
27,2,LADTransferTreeBoost,0.05,2,2,0.9,0.01,1.2947069628188133,1.020665155177625,1.2983090271834536,1.026929311867702
28,2,LSTransferTreeBoost,0.05,2,2,0.5,0.05,1.4879249598744742,1.1794143428232884,1.4512585613707276,1.148745937532027
29,2,LADTransferTreeBoost,0.05,2,2,0.5,0.05,1.2638137049544855,0.9990421012397875,1.260210663355096,0.9906176245540905
30,2,LSTransferTreeBoost,0.05,2,2,0.9,0.05,1.4660712132475,1.1563235096567348,1.4271756969788512,1.1263284493017414
31,2,LADTransferTreeBoost,0.05,2,2,0.9,0.05,1.258603528397731,1.0015239636716509,1.2604148316334067,1.0031602199702625
32,2,LSTransferTreeBoost,0.1,1,1,0.5,0.01,1.5058565527249017,1.192895153772213,1.4405361157405658,1.1552036760219533
33,2,LADTransferTreeBoost,0.1,1,1,0.5,0.01,1.3216687582594495,1.044310622209085,1.2845031867748964,1.0320448931165953
34,2,LSTransferTreeBoost,0.1,1,1,0.9,0.01,1.4994501695473508,1.1867792914090336,1.4357654892681435,1.1515961697311696
35,2,LADTransferTreeBoost,0.1,1,1,0.9,0.01,1.2887211598925548,1.0205190804143334,1.2512662108199393,1.0025779215500499
36,2,LSTransferTreeBoost,0.1,1,1,0.5,0.05,1.5281115882028196,1.212621444248121,1.4512722361369392,1.1622913597652864
37,2,LADTransferTreeBoost,0.1,1,1,0.5,0.05,1.3526003920333705,1.069490204063014,1.3045459182780388,1.0462747854384347
