,seed,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
30,1,LADTransferTreeBoost,0.1,2,2,0.05,0.5,1.5920096772995922,1.2710090288317997,1.64983214996217,1.331817791910879
31,1,LADTransferTreeBoost,0.1,2,2,0.05,0.9,1.5809577289667427,1.2670466841602723,1.6170794155836625,1.303547998053416
32,2,LADTransferTreeBoost,0.05,1,1,0.01,0.5,2.0825295961817125,1.610663604062679,1.9543718829698193,1.5218783362296244
33,2,LADTransferTreeBoost,0.05,1,1,0.01,0.9,1.9109127021995822,1.4808727514027522,1.793965165376502,1.3960722075762888
34,2,LADTransferTreeBoost,0.05,1,1,0.05,0.5,2.021438765940251,1.5603347820562858,1.8968213427333322,1.4695544090747867
35,2,LADTransferTreeBoost,0.05,1,1,0.05,0.9,2.013882173555079,1.5564472917255836,1.885904080263192,1.4680154307783595
36,2,LADTransferTreeBoost,0.05,1,2,0.01,0.5,1.687260877487341,1.3196830285899275,1.7292098286428037,1.3517798656200066
37,2,LADTransferTreeBoost,0.05,1,2,0.01,0.9,1.629502578523763,1.276715395924294,1.66241558838143,1.3001960236307575
38,2,LADTransferTreeBoost,0.05,1,2,0.05,0.5,1.5270948685795374,1.2044177657358686,1.5526385034530505,1.2247836169403572
39,2,LADTransferTreeBoost,0.05,1,2,0.05,0.9,1.6662363571248233,1.3047813755952975,1.6967396954563108,1.3237103554282486
40,2,LADTransferTreeBoost,0.05,2,1,0.01,0.5,1.9280107762392253,1.4904550751425858,1.808725748093015,1.4060739718624415
41,2,LADTransferTreeBoost,0.05,2,1,0.01,0.9,1.9810695901289732,1.5325987987509093,1.8650770115888087,1.4480722470190939
42,2,LADTransferTreeBoost,0.05,2,1,0.05,0.5,1.96988937081766,1.5231268495774444,1.848123663083965,1.4316679413642086
43,2,LADTransferTreeBoost,0.05,2,1,0.05,0.9,1.9502744036429676,1.5048353897170603,1.8236153848873704,1.4165632400321675
44,2,LADTransferTreeBoost,0.05,2,2,0.01,0.5,1.6749489343726893,1.3127971810688315,1.7015652875317173,1.3260144274854309
45,2,LADTransferTreeBoost,0.05,2,2,0.01,0.9,1.671741251159441,1.3073409957172335,1.6958877206677785,1.3193068401895778
46,2,LADTransferTreeBoost,0.05,2,2,0.05,0.5,1.601203208805074,1.2541214482810297,1.6391456546889895,1.2767631712716407
47,2,LADTransferTreeBoost,0.05,2,2,0.05,0.9,1.6435875760962402,1.2893919763902368,1.675144341293431,1.306042557478672
48,2,LADTransferTreeBoost,0.1,1,1,0.01,0.5,1.9847706634257916,1.5322878920387477,1.858291772391348,1.4407789191438891
49,2,LADTransferTreeBoost,0.1,1,1,0.01,0.9,1.9463943036202995,1.505663051271401,1.8172238139519763,1.4091852651895387
50,2,LADTransferTreeBoost,0.1,1,1,0.05,0.5,2.082357456768333,1.6091412636553712,1.9551027881237064,1.519848802134994
51,2,LADTransferTreeBoost,0.1,1,1,0.05,0.9,1.9362556781846214,1.4948655198368548,1.8145246479026123,1.4097235522767477
52,2,LADTransferTreeBoost,0.1,1,2,0.01,0.5,1.6673962829075566,1.2981881035234093,1.703093005304744,1.3198701439127212
