,seed,method,d,v,target_tree_size,rmse,mae
67,11,xgboost_naive_transfer,3,0.05,6,2.1052338934297388,1.7088050823081307
68,11,xgboost,3,0.05,7,2.36681198582814,1.9045228492327597
69,11,xgboost_naive_transfer,3,0.05,7,2.1721364188692043,1.7726473551454325
70,11,xgboost,3,0.08,1,1.7989553770359954,1.4413543685118007
71,11,xgboost_naive_transfer,3,0.08,1,2.1978868312432254,1.805489075143646
72,11,xgboost,3,0.08,2,1.8320866326727785,1.4622352550745754
73,11,xgboost_naive_transfer,3,0.08,2,1.9837467283828645,1.5967603261463086
74,11,xgboost,3,0.08,3,1.846317683725899,1.473139255749264
75,11,xgboost_naive_transfer,3,0.08,3,2.0140515642391734,1.625671640571824
76,11,xgboost,3,0.08,4,1.960320291778924,1.5527918963526917
77,11,xgboost_naive_transfer,3,0.08,4,2.048739011092643,1.668792670060718
78,11,xgboost,3,0.08,5,2.143015120049327,1.7102959562102105
79,11,xgboost_naive_transfer,3,0.08,5,2.091648455553635,1.7114532522939767
80,11,xgboost,3,0.08,6,2.2071229296388357,1.7846842369715066
81,11,xgboost_naive_transfer,3,0.08,6,2.1102972502698782,1.7190614717298365
82,11,xgboost,3,0.08,7,2.3536947809589654,1.8994468261357096
83,11,xgboost_naive_transfer,3,0.08,7,2.187485159338294,1.792339221449807
84,11,xgboost,3,0.1,1,1.8397194028225645,1.469461356763703
85,11,xgboost_naive_transfer,3,0.1,1,2.175957366231597,1.78157586706784
86,11,xgboost,3,0.1,2,1.8060201130224462,1.4444543454248815
87,11,xgboost_naive_transfer,3,0.1,2,2.0063406689463665,1.6259885025568324
88,11,xgboost,3,0.1,3,1.842707390479344,1.4723095383236633
89,11,xgboost_naive_transfer,3,0.1,3,1.99463197655146,1.6158078075643378
90,11,xgboost,3,0.1,4,2.014656499602876,1.6002239079433047
91,11,xgboost_naive_transfer,3,0.1,4,2.0578656787732523,1.6773553308367102
92,11,xgboost,3,0.1,5,2.119875233284373,1.692663685785673
93,11,xgboost_naive_transfer,3,0.1,5,2.0846495650717354,1.6996983132228223
94,11,xgboost,3,0.1,6,2.281150257112746,1.8392771337630807
95,11,xgboost_naive_transfer,3,0.1,6,2.1202166096918993,1.7372091678018806
96,11,xgboost,3,0.1,7,2.339063987272464,1.8681591033062528
97,11,xgboost_naive_transfer,3,0.1,7,2.193485589832591,1.7951526210047863
98,11,xgboost,3,0.12,1,1.8039957316085993,1.4475591048772454
99,11,xgboost_naive_transfer,3,0.12,1,2.229856687629048,1.8335832349457546
100,11,xgboost,3,0.12,2,1.7648409594854526,1.4177655403717193
101,11,xgboost_naive_transfer,3,0.12,2,1.9690428682907166,1.5982838411345017
102,11,xgboost,3,0.12,3,1.8507891759479995,1.4780533474837474
103,11,xgboost_naive_transfer,3,0.12,3,2.022128651993898,1.6403101884684488
104,11,xgboost,3,0.12,4,1.9621558571923863,1.5572258687898448
105,11,xgboost_naive_transfer,3,0.12,4,2.060902919256437,1.692387624145619
106,11,xgboost,3,0.12,5,2.132699276801422,1.6986357292303584
107,11,xgboost_naive_transfer,3,0.12,5,2.086854926456478,1.692481984786004
108,11,xgboost,3,0.12,6,2.250949344935299,1.8145341049395611
109,11,xgboost_naive_transfer,3,0.12,6,2.137537183135838,1.7435040525912981
110,11,xgboost,3,0.12,7,2.366145844033667,1.8834445509163276
111,11,xgboost_naive_transfer,3,0.12,7,2.1814098162366693,1.790218928988776
112,11,xgboost,3,0.15,1,1.7771646472310274,1.4257759749159038
113,11,xgboost_naive_transfer,3,0.15,1,2.209339959416777,1.817313179396054
114,11,xgboost,3,0.15,2,1.7919889665126791,1.4335707996547966
115,11,xgboost_naive_transfer,3,0.15,2,1.9650950942187515,1.581980195988795
116,11,xgboost,3,0.15,3,1.8336253349779141,1.4703321821256141
117,11,xgboost_naive_transfer,3,0.15,3,1.9862145229891395,1.6126070490743696
118,11,xgboost,3,0.15,4,1.9782742724751892,1.5838057844023194
119,11,xgboost_naive_transfer,3,0.15,4,2.0893346063426828,1.709460793745819
120,11,xgboost,3,0.15,5,2.1667855854939426,1.7323599784429684
121,11,xgboost_naive_transfer,3,0.15,5,2.091247135353831,1.7223450617104354
122,11,xgboost,3,0.15,6,2.254358972497036,1.8138775510530667
123,11,xgboost_naive_transfer,3,0.15,6,2.1276756479982666,1.7226506236868186
124,11,xgboost,3,0.15,7,2.3485323752567613,1.889013248178428
125,11,xgboost_naive_transfer,3,0.15,7,2.209212079994203,1.8159557163511821
126,12,xgboost,3,0.005,1,2.4391872730325392,1.9604412622434402
127,12,xgboost_naive_transfer,3,0.005,1,2.911571079695996,2.292588509422402
128,12,xgboost,3,0.005,2,2.031683178679082,1.639310260197817
129,12,xgboost_naive_transfer,3,0.005,2,2.6190863707592613,2.0525066370346154
130,12,xgboost,3,0.005,3,1.9668579294234212,1.5640059831243975
131,12,xgboost_naive_transfer,3,0.005,3,2.248613742539812,1.7695007807372447
132,12,xgboost,3,0.005,4,2.0403166471402843,1.611770736226912
133,12,xgboost_naive_transfer,3,0.005,4,1.9399995242126333,1.5256151102993016
134,12,xgboost,3,0.005,5,2.147385634409276,1.7071718848971786
135,12,xgboost_naive_transfer,3,0.005,5,1.8104558724397555,1.4290861004833009
136,12,xgboost,3,0.005,6,2.2020458613135143,1.7491665939177101
137,12,xgboost_naive_transfer,3,0.005,6,1.7898753105004122,1.412592423984197
