,seed,target_column,target_instances,method,v,target_tree_size,val_rmse,val_mae,rmse,mae
55,1,Hgv,95,xgboost_naive_transfer,0.15,3,2.4326808664332793,1.6977732452878602,2.4666345047338814,1.7835439575349492
56,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.15,3,2.439571727371729,1.7525929623373862,2.4740204288258556,1.8362509404888419
57,1,Hgv,95,xgboost,0.15,4,2.7940564270981474,2.108080586907683,2.9229550536031534,2.222475049758903
58,1,Hgv,95,xgboost_naive_transfer,0.15,4,2.453371986435303,1.7208109941042753,2.5208385904511843,1.8536193789061206
59,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.15,4,2.4416679280241302,1.7496547936698492,2.5189012482311592,1.8522937035456548
60,1,Hgv,190,xgboost,0.01,1,2.3772819396368234,1.7217309390675066,2.4331114484437695,1.7603829509575832
61,1,Hgv,190,xgboost_naive_transfer,0.01,1,2.397728663929526,1.686165517835041,2.469014804585845,1.717198263412252
62,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.01,1,2.3618161868969625,1.6736393776442442,2.4386045736463933,1.7172613503844236
63,1,Hgv,190,xgboost,0.01,2,2.3900182858818715,1.727284358405359,2.41669326536271,1.7467699983691594
64,1,Hgv,190,xgboost_naive_transfer,0.01,2,2.37302943599309,1.669905299011988,2.419132216893204,1.6920304473458079
65,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.01,2,2.3359946903219515,1.6392369164114007,2.390342720942015,1.6903325621232521
66,1,Hgv,190,xgboost,0.01,3,2.4289380154536278,1.7609483619569217,2.4593610920044817,1.7639044025986852
67,1,Hgv,190,xgboost_naive_transfer,0.01,3,2.3563436866967478,1.649197858011687,2.4201788906153086,1.6896643175822703
68,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.01,3,2.338287014870684,1.6320497104639138,2.3857795798572083,1.6749120312488126
69,1,Hgv,190,xgboost,0.01,4,2.5017960261257755,1.795209314698051,2.5650993628050403,1.851124905259227
70,1,Hgv,190,xgboost_naive_transfer,0.01,4,2.3619631497095908,1.65834973360697,2.462124271393136,1.7426018815446507
71,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.01,4,2.326087394807875,1.6250414744290356,2.423681222861768,1.7171500382747378
72,1,Hgv,190,xgboost,0.02,1,2.377120506906707,1.7198893563174873,2.434006630548999,1.759484153130092
73,1,Hgv,190,xgboost_naive_transfer,0.02,1,2.3911609622182866,1.6790500984091048,2.4583391267762944,1.710974936492895
74,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.02,1,2.344962957481119,1.6574996258706882,2.4155816448430913,1.7057939745054078
75,1,Hgv,190,xgboost,0.02,2,2.3875946523537017,1.7240416154012363,2.395025326160358,1.722119085085818
76,1,Hgv,190,xgboost_naive_transfer,0.02,2,2.36580758550923,1.665716232789733,2.4158971752231335,1.6888768030384114
77,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.02,2,2.3382782981702372,1.6403834901808194,2.3906785418756398,1.6909018368186486
78,1,Hgv,190,xgboost,0.02,3,2.426530965333444,1.7556920318309719,2.4626925404050715,1.7650611244170977
79,1,Hgv,190,xgboost_naive_transfer,0.02,3,2.3650729660743286,1.6581623072212885,2.4139063673835714,1.6872411167351336
80,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.02,3,2.332227312336877,1.629714313008178,2.3825658830194887,1.674383533069275
81,1,Hgv,190,xgboost,0.02,4,2.5006564794996917,1.7912391613778849,2.5686164371715474,1.8524082742258527
82,1,Hgv,190,xgboost_naive_transfer,0.02,4,2.365260454575103,1.66451374185073,2.474424109437062,1.7490455370161961
83,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.02,4,2.324315763848312,1.6204809257013049,2.4178425354756463,1.71281233587005
84,1,Hgv,190,xgboost,0.05,1,2.3735073999635024,1.720179018746278,2.4312288908933284,1.7591281783697568
85,1,Hgv,190,xgboost_naive_transfer,0.05,1,2.3879604958324006,1.6730874100584237,2.451423340730214,1.703855865681815
86,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.05,1,2.356599572964384,1.6675380710434435,2.4303317306913925,1.7118623282919576
87,1,Hgv,190,xgboost,0.05,2,2.380652599456705,1.7185293905274315,2.4009975424085876,1.7221897488760913
88,1,Hgv,190,xgboost_naive_transfer,0.05,2,2.362914013051136,1.666370993198662,2.4117787590430693,1.6898367188780252
89,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.05,2,2.330961846519118,1.6379709514648475,2.385696484807838,1.6882957957518436
90,1,Hgv,190,xgboost,0.05,3,2.422825267265422,1.7476875661218942,2.459373399017504,1.76071500900934
91,1,Hgv,190,xgboost_naive_transfer,0.05,3,2.3613109968191255,1.6476973109997757,2.424650920721461,1.6926016259304277
92,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.05,3,2.3299473131093587,1.632336157803916,2.3867718542191714,1.679221132193318
93,1,Hgv,190,xgboost,0.05,4,2.5052236257655243,1.8003361991979772,2.576616025702135,1.8583428630638383
94,1,Hgv,190,xgboost_naive_transfer,0.05,4,2.3504380948991495,1.654630809066078,2.457259116921945,1.7403679178112323
95,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.05,4,2.3370149057182124,1.6293095153450117,2.4191840701840523,1.7159482928776537
96,1,Hgv,190,xgboost,0.1,1,2.358470453446998,1.7162277393040193,2.4307109649140184,1.7540883872429636
97,1,Hgv,190,xgboost_naive_transfer,0.1,1,2.391034984808561,1.6739731041429107,2.4696082894964193,1.7177275503471878
98,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.1,1,2.350448708266856,1.658944759751563,2.4381381185467528,1.7216195173509539
99,1,Hgv,190,xgboost,0.1,2,2.3861109791339916,1.7269061152490879,2.380346664093019,1.6997899751504955
100,1,Hgv,190,xgboost_naive_transfer,0.1,2,2.3689867409259757,1.6668819773490489,2.429945133482633,1.69805027456285
101,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.1,2,2.3457996760446886,1.6453217846765409,2.3972274408778813,1.6963963987674495
102,1,Hgv,190,xgboost,0.1,3,2.4085539014671746,1.7418905876027337,2.453941635505595,1.7553658291277525
103,1,Hgv,190,xgboost_naive_transfer,0.1,3,2.35073685494681,1.6484126529783079,2.4232535251172496,1.6911820978178898
104,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.1,3,2.313292462828992,1.618145652896269,2.358181653027754,1.6737075575742777
105,1,Hgv,190,xgboost,0.1,4,2.4770294968619244,1.763149265505704,2.5606818011336245,1.8486029567125106
