,seed,target_instances,d,method,v,target_tree_size,val_rmse,val_mae,rmse,mae
28,1,100,1,xgboost,0.1,3,2.1508742776273246,1.733897297443894,2.1768625545393925,1.7450604431374306
29,1,100,1,xgboost_naive_transfer,0.1,3,0.9421941638542156,0.7472937192855964,0.9065918812172468,0.7252315759392203
30,1,100,1,xgboost,0.1,4,2.3795701401155673,1.905227393094437,2.3212263410285,1.8597336953680774
31,1,100,1,xgboost_naive_transfer,0.1,4,1.0340441341560713,0.8115067927984003,0.975243207767301,0.776859873426373
32,1,100,1,xgboost,0.15,1,1.9185757496491793,1.5325114959032116,2.0338001664254968,1.5958476516661033
33,1,100,1,xgboost_naive_transfer,0.15,1,1.0297971034422848,0.8149485714625094,1.0756127761863739,0.865308372564095
34,1,100,1,xgboost,0.15,2,1.9974364533270221,1.5873969772679652,2.037646835522125,1.6249438583570617
35,1,100,1,xgboost_naive_transfer,0.15,2,0.9329584310193397,0.724769581629573,0.8986317097413609,0.7158175145859279
36,1,100,1,xgboost,0.15,3,2.2266941432561063,1.784646573860417,2.261724202020209,1.8179253904031303
37,1,100,1,xgboost_naive_transfer,0.15,3,1.0229321375305658,0.8052650449767179,0.9557766862511715,0.7513724983721523
38,1,100,1,xgboost,0.15,4,2.391437069144718,1.9103707929842475,2.346089668098697,1.8751507146990334
39,1,100,1,xgboost_naive_transfer,0.15,4,1.1271236737554773,0.8907794793824373,1.027531252963312,0.8082766658777025
40,1,100,2,xgboost,0.01,1,1.9936595704735247,1.5896548989838666,2.089807118001639,1.6518055334258424
41,1,100,2,xgboost_naive_transfer,0.01,1,1.84635278481978,1.4564718386366178,1.9407102769849276,1.550456561914803
42,1,100,2,xgboost,0.01,2,2.0368875376192004,1.6290276567194817,2.053624143430989,1.6383576956772106
43,1,100,2,xgboost_naive_transfer,0.01,2,1.163125510038496,0.9144045706015833,1.1740461842730048,0.9169193690188981
44,1,100,2,xgboost,0.01,3,2.2233555465723334,1.7794160277616122,2.29215243779715,1.830687934469017
45,1,100,2,xgboost_naive_transfer,0.01,3,1.1020837906355057,0.8612323707285982,1.0854368681567859,0.8429992605629648
46,1,100,2,xgboost,0.01,4,2.438696034693717,1.9305717686998678,2.372556666562644,1.8949812684028
47,1,100,2,xgboost_naive_transfer,0.01,4,1.1166247279213293,0.883944904343831,1.1045042881088822,0.8525033733680973
48,1,100,2,xgboost,0.02,1,1.9493533218495427,1.5545124354185702,2.05078804636983,1.615607345080961
