,seed,splitting_variable,method,v,target_tree_size,val_rmse,val_mae,rmse,mae
18,1,CRIM,xgboost,0.05,2,4.262067778903472,3.057019948151152,4.136543982423447,2.676700007120768
19,1,CRIM,xgboost_naive_transfer,0.05,2,4.469076299115969,3.128656607159114,5.036414380917347,3.2891502253214515
20,1,CRIM,xgboost,0.05,3,4.0839615004746905,2.9704282760620115,4.1532127958521565,2.8737603664398192
21,1,CRIM,xgboost_naive_transfer,0.05,3,3.9490382286633845,2.920587795063601,5.1720156933818195,3.233143790562947
22,1,CRIM,xgboost,0.05,4,3.6893196117663494,2.787003164776301,4.605815330836615,3.202251755396525
23,1,CRIM,xgboost_naive_transfer,0.05,4,3.793438548128775,2.7061945252499346,5.112301738260314,3.1279960918426513
24,1,CRIM,xgboost,0.1,1,4.50198104271613,3.3105751781140342,4.708882780471577,3.1363973299662273
25,1,CRIM,xgboost_naive_transfer,0.1,1,4.1506583799057895,2.9311699398493367,4.955703644325632,3.23842929204305
26,1,CRIM,xgboost,0.1,2,4.3807947148903255,3.069651154340324,4.237271777236208,2.7666114902496335
27,1,CRIM,xgboost_naive_transfer,0.1,2,4.44451630090961,3.137607862181583,5.0040651417378585,3.235824565887451
28,1,CRIM,xgboost,0.1,3,4.112982181407524,2.9429775205709165,4.106141153885196,2.8638456249237056
29,1,CRIM,xgboost_naive_transfer,0.1,3,3.9344437852890284,2.921051507076975,5.372838894072836,3.258943271636963
30,1,CRIM,xgboost,0.1,4,3.562613861678438,2.6411202188265523,4.456559789613591,3.174579388300578
31,1,CRIM,xgboost_naive_transfer,0.1,4,3.7276106184591,2.752217422097417,5.284357965335356,3.102444772720337
32,1,CRIM,xgboost,0.15,1,4.498399144780297,3.303305706735385,4.710420816139786,3.1321060403188072
33,1,CRIM,xgboost_naive_transfer,0.15,1,4.232172372296241,3.026653558116848,4.901989001449649,3.229659636815389
34,1,CRIM,xgboost,0.15,2,4.227435382119455,2.9621765912589386,4.354261706673392,2.8910998503367105
35,1,CRIM,xgboost_naive_transfer,0.15,2,4.576777124644288,3.080608820511123,4.953244652263895,3.1988213698069257
36,1,CRIM,xgboost,0.15,3,3.9403983465535113,2.874882458832304,4.079829967312193,2.826771993637085
37,1,CRIM,xgboost_naive_transfer,0.15,3,3.798235558441502,2.864324000730353,5.373753232831825,3.3173945236206053
38,1,CRIM,xgboost,0.15,4,3.579182317794452,2.6613668797379835,4.233915842439463,2.9821509488423668
39,1,CRIM,xgboost_naive_transfer,0.15,4,3.690974424232617,2.744403011515989,5.345313441413925,3.2003851064046223
40,1,PTRATIO,xgboost,0.01,1,3.5779817537373937,2.475689028077206,7.581159995738595,3.969009930292765
41,1,PTRATIO,xgboost_naive_transfer,0.01,1,4.5764339876231235,3.0373591924117784,7.009397554524313,3.978532985051473
42,1,PTRATIO,xgboost,0.01,2,3.545233410589226,2.476620370250637,7.6695216868063465,3.9345670000712074
43,1,PTRATIO,xgboost_naive_transfer,0.01,2,4.965331608966822,2.929180077374992,6.926848625756856,3.876202615102132
44,1,PTRATIO,xgboost,0.01,3,3.374241157686793,2.3592707132889044,7.190841452573226,3.6362242539723715
45,1,PTRATIO,xgboost_naive_transfer,0.01,3,4.854217076697861,2.7325362965212032,6.54288718453587,3.508441273371379
46,1,PTRATIO,xgboost,0.01,4,3.7020583711826482,2.501658197176659,7.163437341442105,3.531687329610189
47,1,PTRATIO,xgboost_naive_transfer,0.01,4,5.1341187000324,3.0104629419617734,6.603714999103039,3.662118752797445
48,1,PTRATIO,xgboost,0.02,1,3.3881513891167647,2.3135728997699285,7.57549541152026,3.914929609298706
49,1,PTRATIO,xgboost_naive_transfer,0.02,1,4.6002180074301195,3.0649750951993266,7.02559402325316,4.026382735570271
50,1,PTRATIO,xgboost,0.02,2,3.5475248071013863,2.4681589352882516,7.635028323502275,3.9061025555928546
51,1,PTRATIO,xgboost_naive_transfer,0.02,2,4.914313406734979,2.8861852290266654,6.926347213315598,3.8281267007191975
52,1,PTRATIO,xgboost,0.02,3,3.330410387541102,2.359309661994546,7.1955506526675475,3.662232707341512
53,1,PTRATIO,xgboost_naive_transfer,0.02,3,4.969481114783084,2.936176076986022,6.715551351587696,3.797095603942871
54,1,PTRATIO,xgboost,0.02,4,3.6868802521617527,2.507645597296246,7.106754322774211,3.5003874905904135
55,1,PTRATIO,xgboost_naive_transfer,0.02,4,5.157489593336264,3.02188067032119,6.638800064388369,3.6996936639149984
